,id,type,special_status,notes
121,lncRNA_371,lncRNA,ceRNA,NA
122,lncRNA_460,lncRNA,ceRNA,NA
123,lncRNA_497,lncRNA,ceRNA,NA
124,lncRNA_6043,lncRNA,ceRNA,NA
125,lncRNA_6822,lncRNA,ceRNA,NA
126,lncRNA_7190,lncRNA,ceRNA,NA
127,lncRNA_9482,lncRNA,ceRNA,NA
128,lncRNA_4695,lncRNA,ceRNA,NA
129,lncRNA_9817,lncRNA,ceRNA,NA
130,lncRNA_13992,lncRNA,ceRNA,NA
131,lncRNA_3521,lncRNA,ceRNA,NA
132,lncRNA_4595,lncRNA,ceRNA,NA
133,lncRNA_10582,lncRNA,ceRNA,NA
134,lncRNA_10658,lncRNA,ceRNA,NA
135,lncRNA_11474,lncRNA,ceRNA,NA
136,lncRNA_11500,lncRNA,ceRNA,NA
137,lncRNA_11548,lncRNA,ceRNA,NA
138,lncRNA_11551,lncRNA,ceRNA,NA
139,lncRNA_15434,lncRNA,ceRNA,NA
140,lncRNA_2024,lncRNA,ceRNA,NA
141,lncRNA_2637,lncRNA,ceRNA,NA
142,lncRNA_5808,lncRNA,ceRNA,NA
143,lncRNA_5913,lncRNA,ceRNA,NA
144,lncRNA_5915,lncRNA,ceRNA,NA
145,lncRNA_5916,lncRNA,ceRNA,NA
146,lncRNA_7371,lncRNA,ceRNA,NA
147,lncRNA_7710,lncRNA,ceRNA,NA
148,lncRNA_8464,lncRNA,ceRNA,NA
149,lncRNA_8522,lncRNA,ceRNA,NA
150,lncRNA_11556,lncRNA,ceRNA,NA
151,lncRNA_11782,lncRNA,ceRNA,NA
152,lncRNA_13176,lncRNA,ceRNA,NA
153,lncRNA_13196,lncRNA,ceRNA,NA
154,lncRNA_14768,lncRNA,ceRNA,NA
155,lncRNA_3593,lncRNA,ceRNA,NA
156,lncRNA_3594,lncRNA,ceRNA,NA
157,lncRNA_5832,lncRNA,ceRNA,NA
158,lncRNA_6601,lncRNA,ceRNA,NA
159,lncRNA_7774,lncRNA,ceRNA,NA
160,lncRNA_8094,lncRNA,ceRNA,NA
161,lncRNA_8227,lncRNA,ceRNA,NA
162,lncRNA_9747,lncRNA,ceRNA,NA
163,lncRNA_9788,lncRNA,ceRNA,NA
164,lncRNA_9908,lncRNA,ceRNA,NA
165,lncRNA_7793,lncRNA,ceRNA,NA
166,lncRNA_10165,lncRNA,ceRNA,NA
167,lncRNA_13905,lncRNA,ceRNA,NA
168,lncRNA_2891,lncRNA,ceRNA,NA
169,lncRNA_12191,lncRNA,ceRNA,NA
170,lncRNA_7692,lncRNA,ceRNA,NA
171,lncRNA_5425,lncRNA,ceRNA,NA
172,lncRNA_5361,lncRNA,ceRNA,NA
173,lncRNA_5363,lncRNA,ceRNA,NA
174,lncRNA_2628,lncRNA,ceRNA,NA
175,lncRNA_2629,lncRNA,ceRNA,NA
176,lncRNA_2630,lncRNA,ceRNA,NA
177,lncRNA_2631,lncRNA,ceRNA,NA
178,lncRNA_12306,lncRNA,ceRNA,NA
179,lncRNA_12906,lncRNA,ceRNA,NA
180,lncRNA_13498,lncRNA,ceRNA,NA
181,lncRNA_15545,lncRNA,ceRNA,NA
182,lncRNA_15546,lncRNA,ceRNA,NA
183,lncRNA_2531,lncRNA,ceRNA,NA
184,lncRNA_2961,lncRNA,ceRNA,NA
185,lncRNA_7978,lncRNA,ceRNA,NA
186,lncRNA_928,lncRNA,ceRNA,NA
187,lncRNA_9439,lncRNA,ceRNA,NA
188,lncRNA_9440,lncRNA,ceRNA,NA
189,lncRNA_9516,lncRNA,ceRNA,NA
190,lncRNA_1823,lncRNA,ceRNA,NA
191,lncRNA_1824,lncRNA,ceRNA,NA
192,lncRNA_10318,lncRNA,ceRNA,NA
193,lncRNA_11314,lncRNA,ceRNA,NA
194,lncRNA_12307,lncRNA,ceRNA,NA
195,lncRNA_12308,lncRNA,ceRNA,NA
196,lncRNA_6689,lncRNA,ceRNA,NA
197,lncRNA_6433,lncRNA,ceRNA,NA
198,lncRNA_5860,lncRNA,ceRNA,NA
199,Pocillopora_meandrina_HIv1___RNAseq.g22310.t1,gene,NA,NA
200,Pocillopora_meandrina_HIv1___RNAseq.g25291.t1,gene,NA,NA
201,Pocillopora_meandrina_HIv1___RNAseq.g10347.t1,gene,NA,NA
202,Pocillopora_meandrina_HIv1___TS.g821.t1,gene,NA,NA
203,Pocillopora_meandrina_HIv1___RNAseq.g26466.t1,gene,NA,NA
204,Pocillopora_meandrina_HIv1___RNAseq.g14977.t1,gene,NA,NA
205,Pocillopora_meandrina_HIv1___RNAseq.g18208.t1,gene,NA,NA
206,Pocillopora_meandrina_HIv1___RNAseq.g20733.t1,gene,NA,NA
207,Pocillopora_meandrina_HIv1___RNAseq.g627.t1b,gene,NA,NA
208,Pocillopora_meandrina_HIv1___TS.g5059.t2,gene,NA,NA
