transcript_id,RNA-POR-71,RNA-POR-73,RNA-POR-76,RNA-POR-79,RNA-POR-82
Peve_00017366,0,0,0,0,44
Peve_00017361,0,0,0,0,0
Peve_00017360,0,0,0,0,0
Peve_00017363,13,0,0,0,0
Peve_00027300,2339,569,2946,2387,5014
Peve_00027301,7731,1543,13192,3795,8531
Peve_00027302,2953,308,4756,3949,2885
Peve_00003139,264,47,341,106,420
Peve_00003138,376,64,657,314,320
Peve_00014627,1301,421,9,0,1269
Peve_00014626,272,106,526,268,239
Peve_00014621,143,24,99,99,16
Peve_00014620,140,0,256,139,47
Peve_00014623,486,618,354,349,1599
Peve_00014622,667,359,8,0,417
Peve_00003131,125,32,25,42,17
Peve_00027304,1258,201,116,165,782
Peve_00003133,0,0,0,0,0
Peve_00003132,170,147,419,158,193
Peve_00003135,0,0,0,0,0
Peve_00003134,0,0,0,0,0
Peve_00003137,13,0,0,0,16
Peve_00003136,0,0,0,0,0
Peve_00027306,82,81,156,70,93
Peve_00027307,300,157,362,163,282
Peve_00003687,135,87,425,144,215
Peve_00003686,130,61,124,29,163
Peve_00003685,436,105,778,47,275
Peve_00003684,17,3,39,0,14
Peve_00003683,406,235,1242,269,855
Peve_00003682,329,93,501,290,945
Peve_00003681,2,2,30,0,0
Peve_00003680,28,428,1148,267,0
Peve_00016704,55,0,77,48,24
Peve_00016706,725,186,1697,897,743
Peve_00016707,36,57,94,118,50
Peve_00016700,43,0,14,0,12
Peve_00016701,322,106,87,108,235
Peve_00003689,283,307,846,191,296
Peve_00003688,228,161,942,180,307
Peve_00038246,0,0,0,0,0
Peve_00038240,0,0,0,0,0
Peve_00037211,0,0,0,0,0
Peve_00044459,41,24,128,37,51
Peve_00044458,0,0,0,0,0
Peve_00044457,8,0,0,3,139
Peve_00044456,5,0,0,0,0
Peve_00044455,175,137,547,0,291
Peve_00044454,1166,237,1339,35,1365
Peve_00044453,26,54,225,19,13
Peve_00044452,87,50,295,79,199
Peve_00044451,17815,14652,25985,12010,27727
Peve_00044450,787,515,714,439,1130
Peve_00042118,1071,145,4350,640,1175
Peve_00045328,25,21,0,0,0
Peve_00045329,1321,464,1113,102,194
Peve_00042110,959,290,663,470,1986
Peve_00045327,156,56,764,170,262
Peve_00042112,7,4,45,8,92
Peve_00042113,2243,531,214,1543,1452
Peve_00042114,3,0,0,0,8
Peve_00045320,98,13,83,0,53
Peve_00042117,242,100,143,99,207
Peve_00000798,77,180,1024,63,262
Peve_00000799,112,3,0,18,47
Peve_00000790,17,0,21,0,76
Peve_00000791,385,371,890,173,568
Peve_00000792,2116,864,5764,2344,4273
Peve_00000793,634,293,2109,536,433
Peve_00000794,69,0,0,21,56
Peve_00000795,17,0,31,0,10
Peve_00000796,9,0,61,9,0
Peve_00000797,16,13,0,0,7
Peve_00043867,49,0,139,46,62
Peve_00004489,0,0,0,0,49
Peve_00043865,620,198,1057,270,536
Peve_00043864,11,26,18,0,0
Peve_00043863,0,0,0,0,0
Peve_00043862,4,0,0,0,0
Peve_00043861,12,0,0,0,0
Peve_00043860,0,0,0,0,0
Peve_00004480,1149,413,1955,812,1428
Peve_00004481,41,11,123,9,9
Peve_00004482,0,0,0,0,0
Peve_00004483,1445,614,1159,643,1729
Peve_00004484,73,4,0,39,23
Peve_00004485,126,89,456,107,190
Peve_00004486,534,250,1454,437,382
Peve_00004487,551,284,1317,197,610
Peve_00043984,0,0,0,0,0
Peve_00016282,50,44,219,77,49
Peve_00009160,610,281,372,371,1169
Peve_00009161,154,77,166,38,183
Peve_00009162,471,275,1790,589,513
Peve_00009163,5,0,0,0,0
Peve_00009164,533,126,224,228,522
Peve_00009165,78,25,60,24,99
Peve_00009167,17,17,739,19,67
Peve_00009168,102,47,1150,23,140
Peve_00009169,61,38,0,36,56
Peve_00018623,188,147,973,261,429
Peve_00018622,262,89,400,207,276
Peve_00018625,250,97,574,172,311
Peve_00018624,11602,4516,18672,9308,8845
Peve_00034846,0,2,0,90,69
Peve_00043989,22,7,0,0,37
Peve_00043249,0,0,0,0,0
Peve_00043248,638,437,0,440,19
Peve_00039169,33,34,19549,31,13
Peve_00039168,142,73,448,9,140
Peve_00039167,1045,735,2526,1372,1132
Peve_00043242,22,0,0,0,10
Peve_00043241,2949,1502,3471,1482,2288
Peve_00043240,105,25,117,79,143
Peve_00039163,0,0,0,0,0
Peve_00039162,0,6,25,3,3
Peve_00043245,80,36,60,29,25
Peve_00039160,378,251,1393,457,682
Peve_00018251,0,0,0,0,0
Peve_00004601,0,0,0,0,0
Peve_00018252,0,0,0,0,0
Peve_00012894,1833,1050,5058,1169,3512
Peve_00022489,0,0,0,0,0
Peve_00038410,864,522,1638,430,1061
Peve_00038411,0,0,0,0,0
Peve_00038412,0,25,0,0,0
Peve_00038414,0,0,0,3,0
Peve_00038415,0,0,0,0,0
Peve_00038416,0,0,0,0,0
Peve_00038417,0,0,0,0,0
Peve_00038418,0,0,0,0,0
Peve_00038419,154,122,279,48,252
Peve_00041633,0,0,0,0,0
Peve_00034700,0,0,0,0,0
Peve_00034701,235,85,681,120,710
Peve_00034702,340,26,106,27,170
Peve_00034703,9,0,0,15,11
Peve_00034704,69,28,38,29,90
Peve_00034705,128,0,461,46,57
Peve_00034706,0,7,9,0,0
Peve_00034707,0,0,0,0,0
Peve_00034709,10,0,0,18,26
Peve_00003918,0,0,0,0,0
Peve_00003917,491,159,301,344,834
Peve_00003916,157,170,631,595,608
Peve_00003915,9631,5653,14073,7462,11251
Peve_00003914,382,322,281,191,537
Peve_00003913,117,0,0,153,34
Peve_00003912,6,0,18,0,11
Peve_00003911,14,4,0,8,0
Peve_00003910,0,0,0,0,5
Peve_00040747,678,186,859,105,586
Peve_00040746,0,0,0,0,0
Peve_00040745,55,0,330,69,0
Peve_00040744,0,0,0,0,0
Peve_00040743,83,51,79,225,476
Peve_00040742,0,24,0,0,48
Peve_00040741,73,161,188,285,77
Peve_00040740,14,32,43,31,10
Peve_00008368,0,2,0,0,0
Peve_00040749,0,0,0,13,0
Peve_00040748,250,104,114,167,325
Peve_00038671,0,15,0,0,0
Peve_00006240,336,190,1192,449,0
Peve_00006241,346,9,819,35,85
Peve_00006242,360,170,144,96,135
Peve_00006243,34,25,156,50,41
Peve_00006244,0,3,0,0,0
Peve_00006245,972,400,1662,443,427
Peve_00006246,280,363,865,183,474
Peve_00006247,8503,1081,4096,1597,8986
Peve_00006248,791,1015,1890,345,1288
Peve_00006249,141,172,168,19,143
Peve_00042583,0,0,0,0,0
Peve_00008157,4,0,0,0,0
Peve_00042581,0,11,0,0,12
Peve_00042580,0,0,0,0,0
Peve_00042587,0,0,0,0,0
Peve_00042585,0,0,0,0,0
Peve_00042584,0,0,0,0,0
Peve_00041836,0,0,0,0,0
Peve_00041837,797,0,190,130,469
Peve_00041834,547,187,587,269,781
Peve_00041835,0,0,0,0,0
Peve_00041832,0,3,53,0,0
Peve_00041833,0,0,0,0,0
Peve_00041830,0,0,0,0,0
Peve_00041831,120,52,44,126,126
Peve_00041838,245,4,574,173,511
Peve_00041839,72,9,0,9,36
Peve_00009681,0,0,0,0,0
Peve_00043673,0,0,0,0,14
Peve_00009683,0,0,0,0,17
Peve_00009986,2,8,0,0,0
Peve_00009987,480,317,453,36,512
Peve_00009984,50,70,176,10,59
Peve_00009985,144,36,195,42,109
Peve_00009982,2254,1517,3303,1257,3047
Peve_00009983,0,0,0,0,0
Peve_00009980,133,149,533,138,87
Peve_00009981,21,0,51,0,16
Peve_00006468,1040,469,865,319,1047
Peve_00009988,182,161,363,160,349
Peve_00009989,121,48,445,58,89
Peve_00007113,434,229,393,250,1039
Peve_00007112,198,123,192,165,935
Peve_00007111,10,13,52,11,26
Peve_00007110,28,51,98,0,0
Peve_00009687,43,0,0,0,17
Peve_00007115,0,0,0,0,0
Peve_00007114,262,249,526,175,462
Peve_00007119,8,0,14,4,29
Peve_00007118,88,70,71,13,256
Peve_00006466,0,0,0,0,0
Peve_00006467,17,0,0,0,20
Peve_00035897,0,0,0,0,0
Peve_00035896,0,0,0,0,0
Peve_00035895,0,0,31,0,0
Peve_00035894,329,106,960,305,294
Peve_00035893,114,33,227,107,179
Peve_00035892,3727,1556,13618,2083,3225
Peve_00035891,29,16,0,5,13
Peve_00035890,0,0,0,0,0
Peve_00035899,6,0,18,0,12
Peve_00035898,7,48,156,0,24
Peve_00017621,0,0,0,0,0
Peve_00042879,0,0,0,0,0
Peve_00042878,0,9,0,0,0
Peve_00042877,844,878,0,0,0
Peve_00042874,339,157,0,0,0
Peve_00042873,7,0,11,0,1
Peve_00042872,24,2,716,131,46
Peve_00042871,2,0,27,16,10
Peve_00042870,0,0,0,0,0
Peve_00007809,3182,948,1465,1187,4180
Peve_00007808,48,60,172,34,95
Peve_00007805,28,0,4,0,0
Peve_00007804,2,0,4,0,0
Peve_00007807,594,220,802,324,639
Peve_00007806,0,4,0,0,0
Peve_00007801,343,19,177,187,296
Peve_00007800,28,0,974,108,82
Peve_00007803,2359,1440,4302,1385,5180
Peve_00007802,656,250,378,208,732
Peve_00008359,3,0,0,0,10
Peve_00035279,0,0,0,5,0
Peve_00035278,0,0,0,19,0
Peve_00035273,0,0,0,0,0
Peve_00035272,231,12,2374,348,164
Peve_00008352,0,0,0,0,15
Peve_00008353,0,0,0,0,20
Peve_00008354,0,0,0,0,0
Peve_00035276,40,52,200,108,109
Peve_00035275,0,0,0,0,0
Peve_00035274,2458,1204,143,1744,2814
Peve_00019230,0,0,0,0,0
Peve_00019233,112,21,19,45,29
Peve_00019232,5901,4027,7850,3240,12362
Peve_00019235,0,0,0,0,0
Peve_00019234,13,0,0,4,13
Peve_00019237,33,2,50,15,11
Peve_00019236,98,21,73,53,343
Peve_00019239,0,0,0,0,0
Peve_00019238,0,0,0,0,0
Peve_00023681,24,7,24,0,28
Peve_00023680,0,0,0,3,3
Peve_00016979,148,105,82,120,90
Peve_00016978,11,11,75,45,45
Peve_00019701,2,0,0,0,2
Peve_00019700,0,12,3,0,0
Peve_00028183,490,179,598,241,626
Peve_00028182,315,135,757,149,253
Peve_00028181,0,0,0,0,0
Peve_00028187,376,161,502,218,526
Peve_00028186,718,297,1524,451,459
Peve_00028185,29463,8116,5558,12086,22607
Peve_00028184,166,61,456,50,282
Peve_00028189,56,55,880,128,48
Peve_00028188,1488,579,2058,1024,2408
Peve_00013865,0,0,0,2,0
Peve_00023465,0,0,0,0,0
