#Position (bp)	insert size
754757.5	116.61980821443014
1656143.0	113.6269658033862
2410900.0	113.34333405280955
3271772.0	114.68857871551124
4026529.0	114.5186866413232
4792800.5	115.18540376205108
5547557.5	113.22392439755922
6253699.5	118.55385196103103
7008456.5	113.95378775623831
7698421.5	112.95362454797174
8453178.5	113.91136222344122
9142849.0	114.29226103028293
9851686.0	116.03031410890674
1.05206785E7	117.97857049523063
1.1142579E7	112.81169530758318
1.1897336E7	113.0344687060432
1.2508278E7	113.45322044382587
1.3263035E7	116.65177865612648
1.3864909E7	113.92211911194643
1.4619666E7	113.95448480503445
1.5195149E7	115.27657937081692
1.586374E7	113.67913685339717
1.65184885E7	113.46772565606075
1.70671275E7	113.80015007886797
1.78218845E7	114.60642933352881
1.83684355E7	114.30026075505594
1.91231925E7	114.42172430446809
1.9663493E7	115.62736718001621
2.02334075E7	113.36788113150492
2.0948354E7	112.76624517394235
2.1475165E7	113.91938894560303
2.2229922E7	114.16755617375107
2.2755904E7	114.10173182619516
2.33842215E7	113.95896851707263
2.4025785E7	112.80201928186442
2.4530565E7	115.72421415096484
2.5285322E7	113.84157296312583
2.57885765E7	113.46152764384442
2.64102635E7	114.01172032653325
2.70381825E7	119.80724028798282
2.75208405E7	113.9903208546505
2.82755975E7	113.9714398963009
2.87390725E7	114.97229407369086
2.9252506E7	113.76230595690606
2.9948957E7	113.7253963533632
3.04033445E7	113.82769971975891
3.1060179E7	116.67250538406317
3.1601872E7	117.28601012425219
3.2041779E7	114.01116620661229
3.2796536E7	114.07362206060331
3.3229611E7	110.69928233852617
3.3680926E7	114.00943529596564
3.44153805E7	113.68397366955752
3.48414325E7	113.29742151869532
3.53871695E7	112.8610588043997
3.60193165E7	112.92905111876604
3.64390735E7	113.39187045185311
3.7066208E7	113.37225822633235
3.7610228E7	114.18389481055007
3.8021998E7	113.42321866420004
3.8706823E7	113.18532610323857
3.91774325E7	115.60657370517929
3.95692495E7	120.06718598455551
4.0282091E7	115.6177627844574
4.0714963E7	117.22584966509551
4.11055115E7	113.49352505303979
4.18434765E7	113.93119444032364
4.22496005E7	114.66150551803656
4.26311145E7	113.70637917539295
4.3377099E7	115.37354517864402
4.3767134E7	116.59950454170108
4.41349345E7	114.34469168395248
4.48607805E7	115.64939122444291
4.52565095E7	112.27191242377489
4.5619713E7	115.15765119705101
4.63138525E7	115.46736193631047
4.6734317E7	114.76271129141311
4.7092892E7	116.09869083585096
4.77493875E7	113.86849568155245
4.8206187E7	114.61177248677248
4.8561401E7	112.54981411243381
4.91732515E7	113.94214406764856
4.9671056E7	112.88927019383321
5.00245295E7	113.52568394922662
5.05867245E7	115.2229954821339
5.11309145E7	113.68458910267937
5.1482473E7	114.96318807585747
5.19868175E7	113.95094116355385
5.2582578E7	114.32044131381637
5.29220845E7	113.85931691818904
5.33478575E7	113.16616758757182
5.40135205E7	114.04600667881803
5.43496425E7	112.03770491803279
5.46926625E7	115.05201561352446
5.53618785E7	114.730421686747
5.57736155E7	113.30023290861762
5.6106637E7	113.47085534081803
5.66893395E7	114.51677060671985
5.7189478E7	114.1622356760551
5.7517322E7	112.46978328865058
5.79969355E7	115.57347331203673
5.8595903E7	112.99746674075769
5.89183505E7	112.43481004669948
5.928808E7	116.34965533288735
5.9925085E7	115.14084024618678
6.03101125E7	114.51022941277179
6.06233955E7	113.54464927249866
6.1179479E7	115.59844402437648
6.1691401E7	114.95936539623335
6.20037645E7	112.51789518035626
6.24297395E7	114.4687405911836
6.30528345E7	113.41188729728253
6.33816165E7	116.26839752407153
6.3691266E7	114.04318939605473
6.42881295E7	117.41909787094258
6.4751209E7	115.4436999444929
6.50546385E7	113.75476628278332
6.55033785E7	113.6027800459543
6.6107834E7	113.42663054026566
6.6413851E7	116.61286254728877
6.67149425E7	113.23438801692825
6.7311094E7	115.29332348826364
6.7769525E7	112.89062591830738
6.80690755E7	113.9476505438701
6.8507958E7	114.01426193118758
6.91016335E7	114.10248149232929
6.9417508E7	116.68745706153695
6.9709964E7	114.8289521332631
7.02738955E7	115.15345119176533
7.0756333E7	113.3283351221668
7.1046643E7	112.75188459122319
7.143505E7	113.91826437168847
7.2012414E7	114.53066574736235
7.2378764E7	117.36978431277083
7.26618735E7	115.25970743890112
7.31496495E7	114.2700073796801
7.36992055E7	114.85567701536141
7.3979042E7	116.04615851806864
7.4271059E7	112.74312536468989
7.4827699E7	117.13014624023174
7.5290439E7	114.30811284991462
7.55637055E7	112.50100306820863
7.5924076E7	113.56482588606941
7.64674395E7	113.0143156897252
7.6861826E7	113.45810222324089
7.71327625E7	114.38822240767786
7.7551005E7	113.87805876156627
7.80905005E7	114.78426752753117
7.8427015E7	114.03050197773518
7.869422E7	125.43138995084654
7.91582285E7	113.69455373783391
7.9686778E7	113.74174877752108
7.99775265E7	116.83521528725649
8.0240967E7	113.82503071596113
8.0739957E7	117.12998326691853
8.12579895E7	115.52290917039379
8.1520251E7	117.76247848537005
8.17882035E7	114.42584771623171
8.23102185E7	115.27949569998123
8.2797023E7	116.2097940489075
8.3057135E7	112.82578397212544
8.33480505E7	113.69510617760618
8.38610335E7	112.54648198281073
8.4324875E7	115.38816333453474
8.45762365E7	113.90329084287201
8.48683455E7	113.63553495895862
8.53633825E7	113.86725656180273
8.58260305E7	113.34679956982394
8.6072054E7	115.24677395969262
8.63461035E7	119.25758489915532
8.68346225E7	113.54116520258503
8.731533E7	113.8942539675513
8.7558716E7	112.64624098867148
8.78085945E7	115.64844937243204
8.829123E7	114.0080548898831
8.87687365E7	113.53731818770098
8.90339545E7	114.14195305026124
8.9270519E7	115.42585890375032
8.9715447E7	115.92323238114349
9.01868485E7	111.70123533686287
9.04966775E7	114.50972762645914
9.07301425E7	117.37932436493486
9.11226665E7	115.64060830943947
9.1589106E7	119.41065775701412
9.1951339E7	113.47487551788362
9.218337E7	113.57973863509439
9.2518179E7	114.02552908095309
9.2981295E7	114.02887121640657
9.3401243E7	113.21773707545951
9.3631904E7	112.24337476857974
9.39037865E7	115.97539569915948
9.43631845E7	113.35122205380826
9.4820207E7	115.3509286149654
9.50735305E7	116.53086241707528
9.53009505E7	114.46011279222877
9.57294575E7	114.39894579811039
9.61826895E7	114.02291785105173
9.65089395E7	117.42698195009733
9.6733469E7	115.15315435525193
9.70812965E7	116.0231993066518
9.7524324E7	114.77530184404485
9.79312535E7	114.52313750629608
9.8150708E7	113.72251233993848
9.84008155E7	125.78052367734185
9.8836239E7	112.46611957322673
9.92710615E7	115.87624198629685
9.95580975E7	115.78099517390581
9.97747125E7	114.35375155098168
1.001376145E8	114.81953469443125
1.005689145E8	113.87898147303093
1.009607695E8	114.7648444279162
1.01174632E8	117.2483164983165
1.01425511E8	113.6482355864811
1.018526615E8	124.60564443541128
1.02279284E8	113.47150780586514
1.02569697E8	114.6735317565772
1.02782456E8	118.00726314192521
1.03129569E8	113.40408163265306
1.03552714E8	115.36383036987375
1.03960358E8	113.09695690413369
1.041716665E8	112.98012188044109
1.043973915E8	113.66882378975825
1.04817593E8	114.40116469279592
1.05236882E8	116.48136171974028
1.055562375E8	112.8897880146759
1.057655075E8	119.0544918297933
1.06073966E8	114.15315003682296
1.06490692E8	113.45940411264138
1.069061995E8	114.53465961304424
1.071447035E8	115.55044469907786
1.073519915E8	114.72599914965987
1.077350865E8	113.46898350575219
1.0814748E8	114.11438496807403
1.08519142E8	115.3258006828158
1.08724591E8	116.19446500768748
1.089692445E8	115.31817006087151
1.093790745E8	115.20648764143155
1.09788455E8	121.95456641475599
1.100937995E8	114.99486186418797
1.10298253E8	120.90720774477629
1.10606221E8	113.79383875020743
1.1101449E8	114.23087138487953
1.11421212E8	113.63593957915978
1.116639695E8	113.49233479026681
1.11866425E8	114.12078056551175
1.12230856E8	114.58768496312051
1.12634754E8	115.03446922624109
1.1302508E8	119.22953351032129
1.13226606E8	115.22677042801557
1.134411215E8	113.11011454029496
1.138439845E8	114.47426831899135
1.14246745E8	113.43701153840472
1.145855835E8	113.91704073150457
1.147868495E8	113.51942135827798
1.150514285E8	114.28820060109908
1.15452592E8	117.1778539057203
1.158520615E8	116.91504052265174
1.1614187E8	113.92088917147608
1.16339353E8	114.98658933820609
1.166435325E8	114.61456134425399
1.17037729E8	113.64443153205501
1.17430975E8	114.11750167708223
1.17684761E8	112.63441965159522
1.1788121E8	112.48800622022235
1.18216237E8	115.13060184128433
1.18608021E8	113.9429188189037
1.189994865E8	114.5988449477745
1.19223342E8	113.77945145842403
1.194184155E8	114.23751835535977
1.197799585E8	113.94863641077045
1.201693965E8	113.38133744598669
1.205570665E8	119.27113321120126
1.207555765E8	120.45588235294117
1.20948278E8	115.32545720435762
1.21327463E8	117.38610612594755
1.217112615E8	111.94833164812943
1.220868335E8	113.26241032133599
1.22277646E8	118.8992408557626
1.224745395E8	114.76930986615483
1.228540875E8	114.95947444645955
1.232333035E8	115.00885783353625
1.23601501E8	113.61388434260775
1.237908155E8	119.88987939171473
1.239905645E8	114.78368354309558
1.24368316E8	113.71603372073989
1.247450685E8	112.74001387199108
1.25111407E8	113.35324700266125
1.25299086E8	114.98928447977877
1.25495804E8	113.94518862766539
1.25869346E8	114.57156338856751
1.262412135E8	114.83291864402665
1.266123695E8	113.5768543038863
1.26798541E8	125.15748031496064
1.269839345E8	115.13009329637246
1.27353959E8	114.45250880351821
1.277241375E8	116.83738356370192
1.28093706E8	116.65932434661349
1.282935265E8	110.85231943628891
1.284780155E8	113.96268791070304
1.288308705E8	115.88101356815527
1.29197885E8	114.26462563782151
1.29564347E8	115.21024417110335
1.297827645E8	119.21569465213986
1.299651545E8	113.00295834491521
1.3029378E8	112.92730126938588
1.30656934E8	113.89704463876282
1.310190285E8	113.52978388923613
1.312636815E8	114.13288912800563
1.31444257E8	127.52066159281458
1.31740463E8	113.94394891972499
1.32099606E8	116.61616306329773
1.32458332E8	113.46961245057447
1.327374075E8	113.74599742599743
1.329164755E8	116.24592922275293
1.331744355E8	113.9535134981448
1.335316205E8	114.29454904816394
1.33888409E8	113.6931982854615
1.34206738E8	114.78739737464632
1.343847185E8	117.99653493163514
1.34600517E8	113.59226373467395
1.34956139E8	113.73106536880324
1.35311234E8	114.69007788840837
1.35664372E8	114.60204288212017
1.358482355E8	122.12370707488623
1.360227625E8	115.4803239434854
1.36363698E8	113.27140061504053
1.367124735E8	112.94349840632746
1.370606085E8	114.57772171833533
1.37300088E8	120.91779265813703
1.37473541E8	116.12314961312555
1.37754665E8	113.20734075010016
1.38099891E8	114.5025610748536
1.38443563E8	114.6371097999143
1.387453275E8	113.0744609817563
1.38916851E8	113.30919414284291
1.391292455E8	115.00793730281937
1.39470849E8	114.4043254453209
1.398119265E8	113.24799315431319
1.40152002E8	116.71290597729808
1.40353287E8	112.52887233127956
1.40522969E8	113.5342080203153
1.40830337E8	116.10470727705996
1.41168527E8	114.40433660299432
1.41506241E8	115.50417045393787
1.417846415E8	114.19460206062416
1.419528735E8	115.04617445810804
1.42179005E8	113.94560302059095
1.42514103E8	113.46973576005834
1.42849009E8	114.00571884559118
1.431830955E8	114.60551890073121
1.43376815E8	112.8211555424875
1.43543421E8	114.63997454526171
1.438493665E8	117.2252850857502
1.44181814E8	114.51788354299053
1.445139845E8	114.22999132751038
1.447967035E8	114.26480223455981
1.449625245E8	114.84015156380451
1.451774565E8	114.22265970066378
1.455085E8	115.50363817201486
1.458387975E8	113.54940440072814
1.46168776E8	115.37353340861677
1.463783035E8	113.8312405335418
1.46543071E8	112.91692000996761
1.468271445E8	115.14481231760088
1.471547355E8	112.89804904660467
1.474815275E8	110.56413073331503
1.47788481E8	114.42720077728073
1.47950831E8	119.70561396548304
1.481315345E8	112.88685152727219
1.48455976E8	114.87254971214637
1.487801825E8	113.34972963544392
1.49104179E8	113.73178398097782
1.49354026E8	114.28216498948207
1.4951554E8	112.905979039433
1.497506555E8	113.16040706732522
1.5007271E8	114.79398466188704
1.503937345E8	115.69694401280783
1.507135845E8	116.46914829051184
1.509122015E8	112.65602413424675
1.51071528E8	114.73061466800621
1.513507275E8	112.86240392073901
1.516684035E8	115.7494014787773
1.51985449E8	116.72398456681866
1.52302244E8	118.16102449466725
1.52460756E8	120.97368421052632
1.526186905E8	115.84562814512053
1.52933832E8	116.54760075908187
1.53248482E8	114.19178330016611
1.53562924E8	114.3735033943633
1.53845255E8	115.60528874807868
1.54002369E8	116.40542618629173
1.54190928E8	115.06418216248099
1.545039765E8	116.05089048271415
1.54816662E8	114.30866479813942
1.55129005E8	113.57162899003485
1.553825175E8	111.24143209235957
1.55538568E8	113.0410308033018
1.55752926E8	112.9571415502836
1.56064133E8	115.09592542474816
1.56375E8	114.11710582725983
1.56685749E8	112.2110682282555
1.56915281E8	114.41673765770152
1.570699645E8	113.97064970045976
1.573051395E8	114.11635811635811
