"","lncRNA_id","POC.47.TP2","POC.48.TP2","POC.50.TP2","POC.53.TP2","POC.57.TP2"
"1","lncRNA_001",49.4590272221851,64.0367544242472,58.8501978852856,59.4801908617698,58.5389468918881
"2","lncRNA_002",1.42043757467145,1.31430216956533,1.5848704435661,1.42467532467532,4.10497076023392
"3","lncRNA_003",1.42094017094017,0.85978835978836,3.03766835016835,1.43862090290662,3.69973544973545
"4","lncRNA_004",1.59588858610116,1.50141975270714,1.47598476283991,1.47527315519699,1.5619397546328
"5","lncRNA_005",1.29149980660244,1.15655850537097,1.3985378356696,0.529768860163485,2.31192556479548
"6","lncRNA_006",92.7362383342821,95.6016948168111,95.0331756317712,94.2114888123924,92.4052631883957
"7","lncRNA_008",1.32371635248825,1.98275862721834,3.01976379965908,2.29388880422523,3.06854973811723
"8","lncRNA_009",1.32371635248825,1.98275862721834,3.01976379965908,2.29388880422523,3.06854973811723
"9","lncRNA_010",1.37251261633636,4.21938405661155,3.86840645404321,3.4242836699811,4.57096225404346
"10","lncRNA_011",1.68427821241025,2.41396062620319,3.77344133690859,1.62620911396524,3.33971990935312
"11","lncRNA_012",1.8182073774179,1.69191304694671,0.774377464128157,1.46199195541301,1.98896653197038
"12","lncRNA_013",1.8182073774179,1.69191304694671,0.774377464128157,1.46199195541301,1.98896653197038
"13","lncRNA_014",1.71169644621431,1.54235223882965,1.18664051851466,1.7347895842055,1.71984969950829
"14","lncRNA_015",8.17253493600101,7.64245052841075,7.27652969655849,8.75695006280021,8.06980783704138
"15","lncRNA_016",2.57386811937251,4.0018262735654,3.9098827009455,2.63723544973545,3.58120127367647
"16","lncRNA_017",7.12417088413465,6.42054322489105,4.0108459551725,6.9650410611509,4.58571272518657
"17","lncRNA_018",23.1281064614398,14.7157190635451,10.3616813294233,19.4877344877345,10.0918056009589
"18","lncRNA_019",16.5589000371609,18.9588956365272,23.8109161793372,10.515221337802,15.9934868440929
"19","lncRNA_020",2.01333144340664,2.82996197881066,3.38531176127084,1.0191637630662,1.84755067567568
"20","lncRNA_021",3.0461359371129,2.86589147974384,1.9422258103839,2.91915287952905,3.25493444169695
"21","lncRNA_022",2.62078379350953,2.74291998368222,2.68493934800302,2.51081765020168,3.04950391847621
"22","lncRNA_023",34.3859649122807,3.57142857142857,NA,27.2727272727273,5.37414965986395
"23","lncRNA_024",4.34765609332362,3.69720448258411,4.34035924354189,3.12028744324004,4.35004571276831
"24","lncRNA_025",1.69546106833433,1.51284170627514,2.41123839308292,1.91578663235795,3.47399006131913
"25","lncRNA_026",1.09860023894913,1.08887989437573,1.13172283976383,1.04926919485743,1.22640217879046
"26","lncRNA_027",2.03526783037079,1.75294396603657,1.42352295219391,1.06849331490201,1.82365559782617
"27","lncRNA_028",1.44376610792745,1.54419497603499,1.06856753131928,1.74627914335812,1.27769022097047
"28","lncRNA_029",1.44376610792745,1.54419497603499,1.06856753131928,1.74627914335812,1.27769022097047
"29","lncRNA_030",1.09790947504987,1.55470622080768,1.58867829672656,1.44038375308906,1.64061255273955
"30","lncRNA_031",0.851552223720454,1.57386594731757,1.60154878657146,1.40114061412804,1.81710287759456
"31","lncRNA_032",1.35372264899819,1.39339165514372,1.07254651877078,1.29643607490643,1.39136117615314
"32","lncRNA_033",1.4091139179866,1.34527424696337,1.40771730588664,1.2405303030303,1.826161543701
"33","lncRNA_034",0,0,1.5625,0,0
"34","lncRNA_035",26.2834901520285,13.9380703748447,28.3340318265384,18.3542453307316,23.171702571663
"35","lncRNA_036",1.29848783694938,1.45393787499051,0.993867243867244,1.52315938030224,0.758825079030559
"36","lncRNA_037",1.33365898720791,0.879949148340339,0.978652405436655,1.80956629319298,1.78874211424726
"37","lncRNA_038",1.34546117185845,1.33296987689344,1.44207729670236,1.43778205672135,1.310528344146
"38","lncRNA_039",1.21693954890406,1.60462966345643,1.12760638261124,1.5286473115018,1.6038812987083
"39","lncRNA_040",1.48008783228409,2.13215742512797,1.7681921633284,1.83313195599307,2.05230909766415
"40","lncRNA_041",1.48008783228409,2.13215742512797,1.7681921633284,1.83313195599307,2.05230909766415
"41","lncRNA_044",0,2.7027027027027,26.6666666666667,8.69565217391304,0
"42","lncRNA_045",0.998168498168498,0,0.75,0.844418739155581,0.677093156767953
"43","lncRNA_046",1.39733784733785,1.08400813204849,1.78215381567157,1.60708499166737,1.09367589399942
"44","lncRNA_047",1.2703071339435,1.02395670290156,1.58844144440292,1.42021464379907,0.972156350221704
"45","lncRNA_048",55.8302808302808,52.8125,51.4430014430014,61.7636684303351,67.5419317524581
"46","lncRNA_049",1.09498221110062,1.79834527576403,0.822335700039442,0.989815076056024,1.28848747016976
"47","lncRNA_050",1.13826356427424,1.07021532611369,1.2609445550622,1.27376473989627,1.06386053632643
"48","lncRNA_051",0,0.29773794067712,0.807702862884572,1.14451257047197,0.874983476337626
"49","lncRNA_052",0.947439657117077,0,0.757575757575758,0.336700336700337,0.324675324675325
"50","lncRNA_053",1.3464511378725,0.2756458761215,0.809905292663913,1.50617848970252,0.863209268381682
"51","lncRNA_057",4.01210459938728,3.54767529559145,4.74658293340001,4.13115658146451,4.49714243542146
"52","lncRNA_058",3.5832773128347,5.35349851526322,0.821385902031063,3.48784283449872,12.4357061972065
"53","lncRNA_059",15.4971764346764,10.671678695536,10.516137133729,6.35769459298871,9.22011784511784
"54","lncRNA_061",0,0.355392156862745,1.22505925793307,0.985724545281332,0.929964397683193
"55","lncRNA_062",1.87012987012987,0,1.28787878787879,0.909090909090909,0
