Orthogroup	Species	Pocillopora_meandrina_HIv1.genes.pep	Orthologs
OG0000027	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g26191.t1	Peve_00013211
OG0000027	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g26191.t1	FUN_029591-T1, FUN_029666-T1
OG0000027	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g2270.t1a	FUN_029705-T1, FUN_029681-T1
OG0000027	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g2270.t1a	Peve_00013206, Peve_00012798
OG0000031	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g284.t1	FUN_002494-T1, FUN_002625-T1, FUN_002503-T1, FUN_002523-T1, FUN_002561-T1, FUN_002501-T1, FUN_002484-T1, FUN_002499-T1, FUN_002475-T1, FUN_002558-T1, FUN_002534-T1, FUN_002628-T2, FUN_002554-T1, FUN_002531-T1, FUN_006784-T1, FUN_006788-T1, FUN_002539-T1, FUN_002481-T1, FUN_002543-T2, FUN_002543-T5, FUN_002513-T1, FUN_002553-T1, FUN_002529-T1, FUN_002567-T1, FUN_002560-T1, FUN_018022-T1, FUN_002622-T1, FUN_002628-T1, FUN_002543-T3, FUN_002504-T1, FUN_002517-T1, FUN_002565-T1, FUN_002575-T1, FUN_002495-T1, FUN_002490-T1, FUN_002527-T1, FUN_002536-T1, FUN_002560-T2, FUN_002476-T1, FUN_002492-T1, FUN_002626-T1, FUN_002526-T1, FUN_002546-T1, FUN_002508-T2, FUN_002543-T1, FUN_002573-T1, FUN_002572-T1, FUN_002508-T1, FUN_002480-T1, FUN_002480-T2, FUN_002515-T1, FUN_002543-T4
OG0000040	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g3379.t1, Pocillopora_meandrina_HIv1___TS.g9288.t1, Pocillopora_meandrina_HIv1___RNAseq.g25327.t1	FUN_044850-T1
OG0000040	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g3379.t1, Pocillopora_meandrina_HIv1___TS.g9288.t1, Pocillopora_meandrina_HIv1___RNAseq.g25327.t1	Peve_00002262, Peve_00009119, Peve_00017947, Peve_00016251, Peve_00021721, Peve_00041785, Peve_00017670, Peve_00016779, Peve_00004851, Peve_00043535, Peve_00004582, Peve_00034220, Peve_00032487, Peve_00030513, Peve_00026883, Peve_00039539, Peve_00044435, Peve_00026859, Peve_00028892, Peve_00041543, Peve_00038591, Peve_00040815, Peve_00040293, Peve_00023212, Peve_00040294, Peve_00011998, Peve_00000363, Peve_00005518, Peve_00024018, Peve_00029889, Peve_00020815, Peve_00010455, Peve_00004852, Peve_00012472, Peve_00012589, Peve_00003500, Peve_00026775, Peve_00030512, Peve_00039767, Peve_00028123, Peve_00001017, Peve_00040590, Peve_00044183
OG0000041	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___TS.g25175.t1	Peve_00037851, Peve_00022350, Peve_00030829, Peve_00044466, Peve_00039493, Peve_00039491, Peve_00039483, Peve_00039492, Peve_00037865, Peve_00037874, Peve_00039488, Peve_00037121, Peve_00037842, Peve_00037848, Peve_00002481, Peve_00037850, Peve_00039485, Peve_00037880, Peve_00037124, Peve_00019078, Peve_00039490, Peve_00039480, Peve_00037861, Peve_00037870, Peve_00037875, Peve_00019081, Peve_00037127, Peve_00037877, Peve_00037879, Peve_00024703, Peve_00008309, Peve_00007718, Peve_00037881, Peve_00037873, Peve_00037126, Peve_00022352, Peve_00039498, Peve_00026693, Peve_00039495, Peve_00026692, Peve_00037844, Peve_00026696, Peve_00002479, Peve_00030073, Peve_00037678, Peve_00034869
OG0000042	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g28608.t1a	FUN_017214-T1, FUN_005359-T1, FUN_030112-T1, FUN_010904-T1, FUN_013549-T1, FUN_006523-T1, FUN_026293-T1
OG0000045	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___TS.g5095.t1c	Peve_00037385, Peve_00042827, Peve_00043198, Peve_00015851, Peve_00024265, Peve_00016392, Peve_00016787, Peve_00025366, Peve_00023629, Peve_00042613, Peve_00019280, Peve_00028636, Peve_00020910, Peve_00039344, Peve_00008142, Peve_00030948, Peve_00041626, Peve_00035825, Peve_00021153, Peve_00012200, Peve_00004138, Peve_00004427, Peve_00007023, Peve_00030796, Peve_00009456, Peve_00027926, Peve_00027450
