Orthogroup	Species	Pocillopora_meandrina_HIv1.genes.pep	Orthologs
OG0000494	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g6894.t1, Pocillopora_meandrina_HIv1___RNAseq.g6895.t1, Pocillopora_meandrina_HIv1___RNAseq.g5774.t1, Pocillopora_meandrina_HIv1___TS.g630.t1b, Pocillopora_meandrina_HIv1___RNAseq.g6892.t1, Pocillopora_meandrina_HIv1___RNAseq.g5769.t1, Pocillopora_meandrina_HIv1___RNAseq.g5773.t1	FUN_031687-T1, FUN_031687-T2, FUN_031980-T1
OG0000496	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g24182.t1	FUN_033048-T1, FUN_033047-T1
OG0000496	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g24182.t1	Peve_00020127, Peve_00017020, Peve_00020149, Peve_00012841, Peve_00034635, Peve_00020151, Peve_00020153, Peve_00020152, Peve_00020150, Peve_00020148, Peve_00012844, Peve_00012842
OG0000497	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___TS.g20546.t1, Pocillopora_meandrina_HIv1___RNAseq.g27020.t1, Pocillopora_meandrina_HIv1___TS.g15020.t1, Pocillopora_meandrina_HIv1___RNAseq.g27692.t1, Pocillopora_meandrina_HIv1___RNAseq.g3237.t1, Pocillopora_meandrina_HIv1___TS.g8485.t1, Pocillopora_meandrina_HIv1___RNAseq.g27686.t1, Pocillopora_meandrina_HIv1___RNAseq.g13431.t1, Pocillopora_meandrina_HIv1___RNAseq.g13439.t1, Pocillopora_meandrina_HIv1___RNAseq.g27674.t1, Pocillopora_meandrina_HIv1___RNAseq.g13386.t1, Pocillopora_meandrina_HIv1___RNAseq.g13393.t1	Peve_00008521
OG0000497	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g27686.t1, Pocillopora_meandrina_HIv1___RNAseq.g13431.t1, Pocillopora_meandrina_HIv1___RNAseq.g13439.t1, Pocillopora_meandrina_HIv1___RNAseq.g27674.t1, Pocillopora_meandrina_HIv1___RNAseq.g13386.t1	FUN_034686-T1
OG0000497	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g13393.t1	FUN_040433-T1
OG0000498	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g5043.t1, Pocillopora_meandrina_HIv1___RNAseq.g24091.t1, Pocillopora_meandrina_HIv1___RNAseq.g9213.t1, Pocillopora_meandrina_HIv1___RNAseq.g9205.t1, Pocillopora_meandrina_HIv1___RNAseq.g9196.t1, Pocillopora_meandrina_HIv1___RNAseq.g9200.t1, Pocillopora_meandrina_HIv1___RNAseq.g9208.t1, Pocillopora_meandrina_HIv1___RNAseq.g5046.t1, Pocillopora_meandrina_HIv1___RNAseq.g9215.t1, Pocillopora_meandrina_HIv1___TS.g12038.t1, Pocillopora_meandrina_HIv1___RNAseq.g9203.t1, Pocillopora_meandrina_HIv1___RNAseq.g5049.t1, Pocillopora_meandrina_HIv1___RNAseq.g9211.t1	Peve_00016719
OG0000498	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g5043.t1, Pocillopora_meandrina_HIv1___RNAseq.g24091.t1, Pocillopora_meandrina_HIv1___RNAseq.g9213.t1, Pocillopora_meandrina_HIv1___RNAseq.g9205.t1, Pocillopora_meandrina_HIv1___RNAseq.g9196.t1, Pocillopora_meandrina_HIv1___RNAseq.g9200.t1, Pocillopora_meandrina_HIv1___RNAseq.g9208.t1, Pocillopora_meandrina_HIv1___RNAseq.g5046.t1, Pocillopora_meandrina_HIv1___RNAseq.g9215.t1, Pocillopora_meandrina_HIv1___TS.g12038.t1, Pocillopora_meandrina_HIv1___RNAseq.g9203.t1, Pocillopora_meandrina_HIv1___RNAseq.g5049.t1, Pocillopora_meandrina_HIv1___RNAseq.g9211.t1	FUN_035651-T1
OG0000500	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___TS.g14357.t1	FUN_044422-T1
OG0000500	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___TS.g14357.t1	Peve_00020963
OG0000500	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g27024.t1, Pocillopora_meandrina_HIv1___TS.g14188.t1, Pocillopora_meandrina_HIv1___RNAseq.g12255.t1, Pocillopora_meandrina_HIv1___RNAseq.g20820.t1b, Pocillopora_meandrina_HIv1___RNAseq.g27338.t1b, Pocillopora_meandrina_HIv1___RNAseq.g19329.t1a, Pocillopora_meandrina_HIv1___RNAseq.g20591.t1, Pocillopora_meandrina_HIv1___RNAseq.g17657.t1, Pocillopora_meandrina_HIv1___TS.g7023.t1	FUN_039395-T1
OG0000500	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g27024.t1, Pocillopora_meandrina_HIv1___TS.g14188.t1, Pocillopora_meandrina_HIv1___RNAseq.g12255.t1, Pocillopora_meandrina_HIv1___RNAseq.g20820.t1b, Pocillopora_meandrina_HIv1___RNAseq.g27338.t1b, Pocillopora_meandrina_HIv1___RNAseq.g19329.t1a, Pocillopora_meandrina_HIv1___RNAseq.g20591.t1, Pocillopora_meandrina_HIv1___RNAseq.g17657.t1, Pocillopora_meandrina_HIv1___TS.g7023.t1	Peve_00036789
OG0000501	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g20818.t1, Pocillopora_meandrina_HIv1___RNAseq.g1799.t1, Pocillopora_meandrina_HIv1___RNAseq.g25009.t1, Pocillopora_meandrina_HIv1___RNAseq.g18201.t1, Pocillopora_meandrina_HIv1___RNAseq.g10145.t1, Pocillopora_meandrina_HIv1___RNAseq.g6730.t1, Pocillopora_meandrina_HIv1___RNAseq.g23932.t1, Pocillopora_meandrina_HIv1___RNAseq.g23206.t1, Pocillopora_meandrina_HIv1___RNAseq.g22035.t1, Pocillopora_meandrina_HIv1___RNAseq.g25010.t1, Pocillopora_meandrina_HIv1___RNAseq.g1800.t1, Pocillopora_meandrina_HIv1___RNAseq.g20817.t1, Pocillopora_meandrina_HIv1___RNAseq.g28484.t1	Peve_00011404
OG0000501	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g20818.t1, Pocillopora_meandrina_HIv1___RNAseq.g1799.t1, Pocillopora_meandrina_HIv1___RNAseq.g25009.t1, Pocillopora_meandrina_HIv1___RNAseq.g18201.t1, Pocillopora_meandrina_HIv1___RNAseq.g10145.t1, Pocillopora_meandrina_HIv1___RNAseq.g6730.t1, Pocillopora_meandrina_HIv1___RNAseq.g23932.t1, Pocillopora_meandrina_HIv1___RNAseq.g23206.t1, Pocillopora_meandrina_HIv1___RNAseq.g22035.t1, Pocillopora_meandrina_HIv1___RNAseq.g25010.t1, Pocillopora_meandrina_HIv1___RNAseq.g1800.t1, Pocillopora_meandrina_HIv1___RNAseq.g20817.t1, Pocillopora_meandrina_HIv1___RNAseq.g28484.t1	FUN_040851-T1
OG0000502	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g7099.t1, Pocillopora_meandrina_HIv1___RNAseq.g7100.t1, Pocillopora_meandrina_HIv1___RNAseq.g7098.t1, Pocillopora_meandrina_HIv1___RNAseq.g7102.t1, Pocillopora_meandrina_HIv1___RNAseq.g7096.t1, Pocillopora_meandrina_HIv1___RNAseq.g7094.t1, Pocillopora_meandrina_HIv1___RNAseq.g7093.t1, Pocillopora_meandrina_HIv1___RNAseq.g7091.t1	Peve_00036062, Peve_00025225, Peve_00027044, Peve_00025222
OG0000502	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g7099.t1, Pocillopora_meandrina_HIv1___RNAseq.g7100.t1, Pocillopora_meandrina_HIv1___RNAseq.g7098.t1, Pocillopora_meandrina_HIv1___RNAseq.g7102.t1, Pocillopora_meandrina_HIv1___RNAseq.g7096.t1, Pocillopora_meandrina_HIv1___RNAseq.g7094.t1, Pocillopora_meandrina_HIv1___RNAseq.g7093.t1, Pocillopora_meandrina_HIv1___RNAseq.g7091.t1	FUN_042988-T1, FUN_042975-T1, FUN_042980-T1
OG0000503	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g3478.t1, Pocillopora_meandrina_HIv1___TS.g18756.t1b, Pocillopora_meandrina_HIv1___TS.g4035.t1, Pocillopora_meandrina_HIv1___TS.g18252.t1, Pocillopora_meandrina_HIv1___TS.g12427.t1, Pocillopora_meandrina_HIv1___TS.g23308.t1, Pocillopora_meandrina_HIv1___TS.g20724.t1, Pocillopora_meandrina_HIv1___RNAseq.g1124.t1, Pocillopora_meandrina_HIv1___TS.g14389.t1a, Pocillopora_meandrina_HIv1___RNAseq.g14357.t1, Pocillopora_meandrina_HIv1___RNAseq.g13435.t1, Pocillopora_meandrina_HIv1___RNAseq.g5919.t1	Peve_00029471
OG0000503	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g3478.t1, Pocillopora_meandrina_HIv1___TS.g18756.t1b, Pocillopora_meandrina_HIv1___TS.g4035.t1, Pocillopora_meandrina_HIv1___TS.g18252.t1, Pocillopora_meandrina_HIv1___TS.g12427.t1, Pocillopora_meandrina_HIv1___TS.g23308.t1, Pocillopora_meandrina_HIv1___TS.g20724.t1, Pocillopora_meandrina_HIv1___RNAseq.g1124.t1, Pocillopora_meandrina_HIv1___TS.g14389.t1a, Pocillopora_meandrina_HIv1___RNAseq.g14357.t1, Pocillopora_meandrina_HIv1___RNAseq.g13435.t1, Pocillopora_meandrina_HIv1___RNAseq.g5919.t1	FUN_044711-T1, FUN_044407-T1
OG0000506	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g23616.t1	Peve_00002698
OG0000506	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g16829.t1, Pocillopora_meandrina_HIv1___RNAseq.g14438.t1, Pocillopora_meandrina_HIv1___RNAseq.g14188.t1, Pocillopora_meandrina_HIv1___RNAseq.g22154.t1, Pocillopora_meandrina_HIv1___TS.g16491.t1, Pocillopora_meandrina_HIv1___TS.g14057.t1	Peve_00002699, Peve_00033500, Peve_00033496
OG0000506	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___TS.g14145.t1, Pocillopora_meandrina_HIv1___TS.g9460.t1	FUN_045294-T1
OG0000506	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___TS.g14145.t1, Pocillopora_meandrina_HIv1___TS.g9460.t1	Peve_00002542
OG0000507	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___TS.g14195.t1, Pocillopora_meandrina_HIv1___RNAseq.g3301.t1, Pocillopora_meandrina_HIv1___RNAseq.g26855.t1, Pocillopora_meandrina_HIv1___RNAseq.g26859.t1, Pocillopora_meandrina_HIv1___TS.g3861.t1, Pocillopora_meandrina_HIv1___TS.g24793.t1, Pocillopora_meandrina_HIv1___RNAseq.g5.t1, Pocillopora_meandrina_HIv1___RNAseq.g554.t1, Pocillopora_meandrina_HIv1___TS.g6121.t1, Pocillopora_meandrina_HIv1___TS.g1221.t1, Pocillopora_meandrina_HIv1___TS.g8381.t1, Pocillopora_meandrina_HIv1___RNAseq.g6496.t1, Pocillopora_meandrina_HIv1___RNAseq.g29889.t1	Peve_00000447
OG0000507	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___TS.g14195.t1, Pocillopora_meandrina_HIv1___RNAseq.g3301.t1, Pocillopora_meandrina_HIv1___RNAseq.g26855.t1, Pocillopora_meandrina_HIv1___RNAseq.g26859.t1, Pocillopora_meandrina_HIv1___TS.g3861.t1, Pocillopora_meandrina_HIv1___TS.g24793.t1, Pocillopora_meandrina_HIv1___RNAseq.g5.t1, Pocillopora_meandrina_HIv1___RNAseq.g554.t1, Pocillopora_meandrina_HIv1___TS.g6121.t1, Pocillopora_meandrina_HIv1___TS.g1221.t1, Pocillopora_meandrina_HIv1___TS.g8381.t1, Pocillopora_meandrina_HIv1___RNAseq.g6496.t1, Pocillopora_meandrina_HIv1___RNAseq.g29889.t1	FUN_045661-T1
OG0000508	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___TS.g12963.t1, Pocillopora_meandrina_HIv1___RNAseq.g10221.t1a, Pocillopora_meandrina_HIv1___TS.g26816.t1, Pocillopora_meandrina_HIv1___RNAseq.g25051.t1, Pocillopora_meandrina_HIv1___RNAseq.g25054.t1, Pocillopora_meandrina_HIv1___RNAseq.g25025.t1, Pocillopora_meandrina_HIv1___RNAseq.g17724.t1, Pocillopora_meandrina_HIv1___RNAseq.g9168.t1, Pocillopora_meandrina_HIv1___RNAseq.g19287.t1, Pocillopora_meandrina_HIv1___RNAseq.g22056.t1, Pocillopora_meandrina_HIv1___TS.g26817.t1, Pocillopora_meandrina_HIv1___RNAseq.g16845.t1, Pocillopora_meandrina_HIv1___RNAseq.g25021.t1, Pocillopora_meandrina_HIv1___TS.g27962.t1b	FUN_045788-T1
OG0000514	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g3446.t1, Pocillopora_meandrina_HIv1___RNAseq.g27070.t1, Pocillopora_meandrina_HIv1___RNAseq.g16073.t1, Pocillopora_meandrina_HIv1___RNAseq.g4338.t1, Pocillopora_meandrina_HIv1___RNAseq.g21856.t1, Pocillopora_meandrina_HIv1___RNAseq.g20826.t1, Pocillopora_meandrina_HIv1___RNAseq.g21470.t1, Pocillopora_meandrina_HIv1___RNAseq.g21855.t1, Pocillopora_meandrina_HIv1___RNAseq.g3445.t1, Pocillopora_meandrina_HIv1___RNAseq.g28309.t1b, Pocillopora_meandrina_HIv1___RNAseq.g12428.t1, Pocillopora_meandrina_HIv1___RNAseq.17277_t, Pocillopora_meandrina_HIv1___RNAseq.g26343.t1	Peve_00014761, Peve_00040360
OG0000515	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g24926.t1, Pocillopora_meandrina_HIv1___RNAseq.g27519.t1, Pocillopora_meandrina_HIv1___RNAseq.g27536.t1, Pocillopora_meandrina_HIv1___RNAseq.g27529.t1, Pocillopora_meandrina_HIv1___RNAseq.g27522.t1, Pocillopora_meandrina_HIv1___RNAseq.g13153.t1, Pocillopora_meandrina_HIv1___RNAseq.g10098.t1, Pocillopora_meandrina_HIv1___RNAseq.g3565.t1, Pocillopora_meandrina_HIv1___RNAseq.g3405.t1, Pocillopora_meandrina_HIv1___RNAseq.g24862.t1, Pocillopora_meandrina_HIv1___RNAseq.g19448.t1, Pocillopora_meandrina_HIv1___RNAseq.g16054.t1, Pocillopora_meandrina_HIv1___RNAseq.g24014.t1, Pocillopora_meandrina_HIv1___TS.g18624.t1	Peve_00023963
OG0000518	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___TS.g17903.t1	Peve_00029211, Peve_00010810, Peve_00042196, Peve_00008905, Peve_00022839, Peve_00022691, Peve_00041643, Peve_00029959, Peve_00031125, Peve_00008158, Peve_00001800, Peve_00033853, Peve_00006105, Peve_00036083
OG0000519	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g8943.t1, Pocillopora_meandrina_HIv1___RNAseq.g8939.t1a, Pocillopora_meandrina_HIv1___RNAseq.g8934.t1, Pocillopora_meandrina_HIv1___RNAseq.g9109.t1, Pocillopora_meandrina_HIv1___RNAseq.g8935.t1, Pocillopora_meandrina_HIv1___RNAseq.g8939.t1b, Pocillopora_meandrina_HIv1___RNAseq.g9110.t1, Pocillopora_meandrina_HIv1___RNAseq.g8933.t1a, Pocillopora_meandrina_HIv1___RNAseq.g9111.t1, Pocillopora_meandrina_HIv1___RNAseq.g8936.t1, Pocillopora_meandrina_HIv1___RNAseq.g8945.t1, Pocillopora_meandrina_HIv1___RNAseq.g8944.t1, Pocillopora_meandrina_HIv1___RNAseq.g8937.t1b	Peve_00007506, Peve_00007507
OG0000524	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g30055.t1, Pocillopora_meandrina_HIv1___RNAseq.g30053.t1, Pocillopora_meandrina_HIv1___RNAseq.g30057.t1, Pocillopora_meandrina_HIv1___TS.g22347.t1, Pocillopora_meandrina_HIv1___RNAseq.g30059.t1, Pocillopora_meandrina_HIv1___RNAseq.g30052.t1, Pocillopora_meandrina_HIv1___TS.g22352.t1, Pocillopora_meandrina_HIv1___TS.g22354.t1, Pocillopora_meandrina_HIv1___RNAseq.g30058.t1, Pocillopora_meandrina_HIv1___RNAseq.g30049.t1, Pocillopora_meandrina_HIv1___RNAseq.g30051.t1, Pocillopora_meandrina_HIv1___RNAseq.g9368.t1	Peve_00020636, Peve_00040659, Peve_00040656
OG0000525	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___TS.g15696.t1	Peve_00043910, Peve_00012751, Peve_00010740, Peve_00018863, Peve_00034324, Peve_00040014, Peve_00012260, Peve_00012261, Peve_00023693, Peve_00037572, Peve_00012888, Peve_00001344, Peve_00045311, Peve_00005791
OG0000526	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g12135.t1, Pocillopora_meandrina_HIv1___RNAseq.g27787.t1	Peve_00037352, Peve_00011767, Peve_00037350, Peve_00037343, Peve_00037351, Peve_00037349, Peve_00037320, Peve_00037353, Peve_00037049, Peve_00011768, Peve_00037319, Peve_00037050, Peve_00027474
OG0000527	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g4125.t1	Peve_00018428, Peve_00030774, Peve_00041894, Peve_00031426, Peve_00041893, Peve_00041896, Peve_00032165, Peve_00000555, Peve_00000563, Peve_00028067, Peve_00030773, Peve_00018444, Peve_00018242, Peve_00031323
OG0000528	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___TS.g26419.t1b	Peve_00009394, Peve_00012417, Peve_00041917, Peve_00027040, Peve_00039415, Peve_00009771, Peve_00036592, Peve_00018470, Peve_00018469, Peve_00027120, Peve_00010220, Peve_00038901, Peve_00041916, Peve_00014196
OG0000539	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g19753.t1, Pocillopora_meandrina_HIv1___RNAseq.g19752.t1, Pocillopora_meandrina_HIv1___RNAseq.g19757.t1, Pocillopora_meandrina_HIv1___RNAseq.g19759.t1, Pocillopora_meandrina_HIv1___RNAseq.g19758.t1, Pocillopora_meandrina_HIv1___TS.g29150.t2, Pocillopora_meandrina_HIv1___RNAseq.g19754.t1, Pocillopora_meandrina_HIv1___RNAseq.g19761.t1	Peve_00032010, Peve_00022743, Peve_00039547
OG0000539	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g19753.t1, Pocillopora_meandrina_HIv1___RNAseq.g19752.t1, Pocillopora_meandrina_HIv1___RNAseq.g19757.t1, Pocillopora_meandrina_HIv1___RNAseq.g19759.t1, Pocillopora_meandrina_HIv1___RNAseq.g19758.t1, Pocillopora_meandrina_HIv1___TS.g29150.t2, Pocillopora_meandrina_HIv1___RNAseq.g19754.t1, Pocillopora_meandrina_HIv1___RNAseq.g19761.t1	FUN_001525-T1, FUN_001523-T1, FUN_001524-T1
OG0000545	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g24642.t1, Pocillopora_meandrina_HIv1___RNAseq.g24644.t1	Peve_00030310, Peve_00020062
OG0000545	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g24642.t1, Pocillopora_meandrina_HIv1___RNAseq.g24644.t1	FUN_041188-T1, FUN_003457-T1, FUN_041173-T1, FUN_003479-T1, FUN_041184-T1, FUN_003462-T1, FUN_041190-T1, FUN_041175-T1, FUN_003480-T1, FUN_003489-T1
OG0000548	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g8253.t1b, Pocillopora_meandrina_HIv1___RNAseq.g8254.t1, Pocillopora_meandrina_HIv1___TS.g19998.t1b	Peve_00026673, Peve_00026667
OG0000548	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g8253.t1b, Pocillopora_meandrina_HIv1___RNAseq.g8254.t1, Pocillopora_meandrina_HIv1___TS.g19998.t1b	FUN_005145-T1, FUN_005145-T2, FUN_005153-T1, FUN_005151-T1, FUN_005136-T1, FUN_005135-T1, FUN_005134-T1, FUN_005150-T1, FUN_005142-T1
OG0000554	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g18394.t1, Pocillopora_meandrina_HIv1___RNAseq.g18398.t1	Peve_00042645, Peve_00024458, Peve_00042643, Peve_00042646, Peve_00005516, Peve_00005515, Peve_00042641, Peve_00024461, Peve_00033318, Peve_00042636
OG0000554	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g18394.t1, Pocillopora_meandrina_HIv1___RNAseq.g18398.t1	FUN_008375-T1, FUN_008376-T1
OG0000555	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g28364.t1	FUN_018487-T1, FUN_018459-T1
OG0000555	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g25715.t2	Peve_00032108
OG0000555	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g25715.t2	FUN_028268-T1, FUN_033956-T1, FUN_033953-T1
OG0000556	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g2445.t1, Pocillopora_meandrina_HIv1___TS.g6271.t1, Pocillopora_meandrina_HIv1___RNAseq.g10754.t1, Pocillopora_meandrina_HIv1___RNAseq.g29055.t1, Pocillopora_meandrina_HIv1___RNAseq.g29060.t1, Pocillopora_meandrina_HIv1___RNAseq.g29043.t1, Pocillopora_meandrina_HIv1___RNAseq.g29049.t1, Pocillopora_meandrina_HIv1___RNAseq.g29038.t1a, Pocillopora_meandrina_HIv1___RNAseq.g29062.t1a, Pocillopora_meandrina_HIv1___RNAseq.g29059.t1, Pocillopora_meandrina_HIv1___TS.g6264.t1, Pocillopora_meandrina_HIv1___RNAseq.g29054.t1, Pocillopora_meandrina_HIv1___RNAseq.g29058.t1	FUN_009951-T1
OG0000558	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g3678.t1, Pocillopora_meandrina_HIv1___RNAseq.g6159.t1, Pocillopora_meandrina_HIv1___RNAseq.g11141.t1, Pocillopora_meandrina_HIv1___RNAseq.g19245.t1, Pocillopora_meandrina_HIv1___RNAseq.g2214.t1	Peve_00018711
OG0000558	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g3678.t1, Pocillopora_meandrina_HIv1___RNAseq.g6159.t1, Pocillopora_meandrina_HIv1___RNAseq.g11141.t1, Pocillopora_meandrina_HIv1___RNAseq.g19245.t1, Pocillopora_meandrina_HIv1___RNAseq.g2214.t1	FUN_015874-T1, FUN_011379-T1, FUN_045046-T1, FUN_045280-T1, FUN_045173-T1, FUN_045010-T1, FUN_044573-T1, FUN_044855-T1
OG0000559	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g13650.t1	FUN_012585-T1
OG0000559	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g13650.t1	Peve_00037650, Peve_00038786, Peve_00021125, Peve_00025707, Peve_00011294, Peve_00011293, Peve_00024353, Peve_00012148, Peve_00021126, Peve_00007594, Peve_00011297, Peve_00025708
OG0000560	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g1223.t1, Pocillopora_meandrina_HIv1___TS.g11539.t1, Pocillopora_meandrina_HIv1___TS.g11545.t1, Pocillopora_meandrina_HIv1___RNAseq.g16527.t1, Pocillopora_meandrina_HIv1___RNAseq.g16532.t1, Pocillopora_meandrina_HIv1___RNAseq.g16536.t1, Pocillopora_meandrina_HIv1___RNAseq.g14229.t1, Pocillopora_meandrina_HIv1___TS.g11538.t1, Pocillopora_meandrina_HIv1___RNAseq.g16528.t1, Pocillopora_meandrina_HIv1___RNAseq.g1222.t1, Pocillopora_meandrina_HIv1___TS.g11540.t2, Pocillopora_meandrina_HIv1___RNAseq.g1224.t1, Pocillopora_meandrina_HIv1___TS.g11534.t1	FUN_012622-T1
OG0000561	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g13127.t1	Peve_00037199, Peve_00037274
OG0000561	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g13792.t1	Peve_00037276
OG0000561	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g13792.t1	FUN_016897-T1, FUN_016876-T1, FUN_016887-T1, FUN_016892-T1, FUN_016890-T1, FUN_016875-T1, FUN_016886-T1, FUN_012636-T1, FUN_012636-T2
OG0000562	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g18365.t1, Pocillopora_meandrina_HIv1___RNAseq.g18354.t1, Pocillopora_meandrina_HIv1___RNAseq.g18360.t1, Pocillopora_meandrina_HIv1___TS.g21359.t1	Peve_00017220, Peve_00020924, Peve_00027103, Peve_00037833, Peve_00014291
OG0000562	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g18365.t1, Pocillopora_meandrina_HIv1___RNAseq.g18354.t1, Pocillopora_meandrina_HIv1___RNAseq.g18360.t1, Pocillopora_meandrina_HIv1___TS.g21359.t1	FUN_034664-T1, FUN_038972-T1, FUN_012806-T1, FUN_013032-T1, FUN_016846-T1
OG0000563	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___TS.g27628.t1, Pocillopora_meandrina_HIv1___RNAseq.g16046.t1	FUN_020593-T1
OG0000563	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___TS.g27628.t1, Pocillopora_meandrina_HIv1___RNAseq.g16046.t1	Peve_00027260
OG0000563	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g27119.t1	Peve_00027261
OG0000563	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g27119.t1	FUN_039028-T1, FUN_012913-T1, FUN_031008-T1, FUN_026890-T1, FUN_015649-T1, FUN_013895-T1, FUN_013745-T1
OG0000564	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g17457.t1a	FUN_015693-T1
OG0000564	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g17457.t1a	Peve_00014383
OG0000564	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g15360.t1b	FUN_028404-T1
OG0000566	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g7679.t1	Peve_00013665, Peve_00013664, Peve_00008710, Peve_00011601
OG0000566	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g7679.t1	FUN_044933-T1, FUN_044498-T1, FUN_044845-T1, FUN_045804-T2, FUN_045804-T1, FUN_027453-T1, FUN_040849-T1
OG0000568	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___TS.g20331.t1a	Peve_00036137
OG0000568	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___TS.g20331.t1a	FUN_021819-T1, FUN_039687-T1, FUN_033576-T1, FUN_015675-T1, FUN_042179-T1, FUN_037157-T1, FUN_039671-T1, FUN_017294-T1, FUN_017269-T1, FUN_029989-T1, FUN_026567-T1, FUN_039995-T1
OG0000569	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g12680.t1, Pocillopora_meandrina_HIv1___RNAseq.g12674.t1, Pocillopora_meandrina_HIv1___RNAseq.g12675.t1	Peve_00026215, Peve_00015722
