Orthogroup	Species	Apulchra-genome.pep	Orthologs
OG0000017	Porites_evermanni_v1.annot.pep	FUN_003905-T1	Peve_00038444
OG0000017	Porites_evermanni_v1.annot.pep	FUN_003947-T1, FUN_003954-T1, FUN_003949-T1, FUN_003908-T1, FUN_003575-T1, FUN_003973-T1, FUN_003808-T1, FUN_003826-T1, FUN_003819-T1, FUN_003912-T1, FUN_003959-T1, FUN_003909-T1, FUN_003958-T1, FUN_003976-T1, FUN_003805-T1, FUN_003825-T1, FUN_003972-T1, FUN_003906-T1, FUN_003828-T1, FUN_003824-T1, FUN_003813-T1, FUN_003822-T1, FUN_003803-T1, FUN_003968-T1, FUN_003811-T1, FUN_003815-T1, FUN_003814-T1, FUN_003941-T1, FUN_003942-T1, FUN_003950-T1, FUN_003945-T2, FUN_003945-T1, FUN_003943-T1, FUN_003946-T1, FUN_003948-T1, FUN_003951-T1, FUN_003957-T1, FUN_003809-T1, FUN_003820-T1, FUN_003827-T1, FUN_003804-T1, FUN_003821-T1, FUN_003810-T1, FUN_003802-T1, FUN_003970-T1, FUN_003966-T1, FUN_003975-T1, FUN_003974-T1, FUN_003801-T1, FUN_003907-T1, FUN_003914-T1, FUN_003910-T1, FUN_003911-T1, FUN_003955-T1, FUN_003964-T1, FUN_003961-T1, FUN_003963-T1, FUN_003816-T1, FUN_003832-T1, FUN_003823-T1, FUN_003812-T1, FUN_003831-T1, FUN_003830-T1, FUN_003817-T1, FUN_003836-T1, FUN_003834-T1	Peve_00038450
OG0000018	Porites_evermanni_v1.annot.pep	FUN_039823-T1	Peve_00010904, Peve_00031614, Peve_00005551, Peve_00035950, Peve_00031812, Peve_00036756, Peve_00033166, Peve_00028291, Peve_00027737, Peve_00043408, Peve_00042298, Peve_00036749, Peve_00017357, Peve_00033167, Peve_00028290, Peve_00017356, Peve_00007571, Peve_00017359, Peve_00026031, Peve_00033072, Peve_00040626, Peve_00032598, Peve_00039908, Peve_00027565, Peve_00045242, Peve_00028375, Peve_00028374, Peve_00028376, Peve_00039906, Peve_00039907, Peve_00027566, Peve_00045253, Peve_00022760, Peve_00022769, Peve_00024073, Peve_00024055, Peve_00007563, Peve_00007564, Peve_00035677, Peve_00017358, Peve_00036750, Peve_00018537, Peve_00027386, Peve_00024491, Peve_00017854, Peve_00001260, Peve_00026228, Peve_00026230, Peve_00026229, Peve_00039992, Peve_00039993, Peve_00026792, Peve_00014121, Peve_00030005, Peve_00036905, Peve_00036906, Peve_00021487, Peve_00036903, Peve_00039998, Peve_00040000, Peve_00039985, Peve_00014122, Peve_00039988, Peve_00014127, Peve_00026788, Peve_00015521, Peve_00039999, Peve_00039996, Peve_00026888
OG0000026	Porites_evermanni_v1.annot.pep	FUN_002843-T1, FUN_010226-T1, FUN_002949-T1, FUN_002876-T1, FUN_039015-T1, FUN_002652-T1, FUN_019355-T1, FUN_028529-T1, FUN_019348-T1, FUN_019374-T1, FUN_019253-T1, FUN_006020-T1, FUN_006344-T1, FUN_019819-T1, FUN_027793-T1, FUN_019265-T1, FUN_020922-T1, FUN_020926-T1, FUN_006309-T1, FUN_020026-T1, FUN_028707-T1, FUN_027769-T1, FUN_019320-T1, FUN_020962-T1, FUN_019866-T1, FUN_020953-T1, FUN_028605-T1, FUN_019268-T1, FUN_020987-T1, FUN_028675-T1, FUN_028569-T1, FUN_019576-T1, FUN_006024-T1, FUN_019643-T1, FUN_019766-T1, FUN_019590-T1, FUN_028673-T1, FUN_020964-T1, FUN_028603-T1, FUN_028542-T1, FUN_019867-T1, FUN_020954-T1, FUN_020988-T1, FUN_019277-T1, FUN_020936-T1, FUN_019618-T1, FUN_019734-T1, FUN_019686-T1, FUN_028741-T1, FUN_028627-T1, FUN_020025-T1, FUN_028674-T1, FUN_028604-T1, FUN_028708-T1, FUN_028774-T1, FUN_002925-T1, FUN_020612-T1, FUN_019578-T1	Peve_00043097
OG0000027	Porites_evermanni_v1.annot.pep	FUN_029680-T1, FUN_029707-T1, FUN_029707-T2, FUN_029674-T1	Peve_00013205
OG0000027	Porites_evermanni_v1.annot.pep	FUN_029591-T1, FUN_029666-T1	Peve_00013211
OG0000027	Pocillopora_meandrina_HIv1.genes.pep	FUN_029591-T1, FUN_029666-T1	Pocillopora_meandrina_HIv1___RNAseq.g26191.t1
OG0000027	Porites_evermanni_v1.annot.pep	FUN_001559-T1	Peve_00028951
OG0000027	Pocillopora_meandrina_HIv1.genes.pep	FUN_029705-T1, FUN_029681-T1	Pocillopora_meandrina_HIv1___RNAseq.g2270.t1a
OG0000027	Porites_evermanni_v1.annot.pep	FUN_029705-T1, FUN_029681-T1	Peve_00013206, Peve_00012798
