Orthogroup	Species	Apulchra-genome.pep	Orthologs
OG0002983	Porites_evermanni_v1.annot.pep	FUN_045535-T1	Peve_00032170, Peve_00012237
OG0002983	Pocillopora_meandrina_HIv1.genes.pep	FUN_045535-T1	Pocillopora_meandrina_HIv1___RNAseq.g25214.t1, Pocillopora_meandrina_HIv1___TS.g24787.t1, Pocillopora_meandrina_HIv1___TS.g22930.t1
OG0002984	Porites_evermanni_v1.annot.pep	FUN_045622-T1	Peve_00003369
OG0002984	Pocillopora_meandrina_HIv1.genes.pep	FUN_045622-T1	Pocillopora_meandrina_HIv1___RNAseq.g12899.t1, Pocillopora_meandrina_HIv1___RNAseq.g11334.t1, Pocillopora_meandrina_HIv1___RNAseq.g15402.t1, Pocillopora_meandrina_HIv1___RNAseq.g6296.t1
OG0002985	Porites_evermanni_v1.annot.pep	FUN_045699-T1	Peve_00007842, Peve_00025449, Peve_00044721, Peve_00004560, Peve_00024105
OG0002986	Porites_evermanni_v1.annot.pep	FUN_045709-T1	Peve_00006573, Peve_00029110, Peve_00002277, Peve_00006029
OG0002986	Pocillopora_meandrina_HIv1.genes.pep	FUN_045709-T1	Pocillopora_meandrina_HIv1___RNAseq.g10056.t1
OG0002987	Pocillopora_meandrina_HIv1.genes.pep	FUN_045720-T1	Pocillopora_meandrina_HIv1___TS.g28767.t1
OG0002987	Porites_evermanni_v1.annot.pep	FUN_045720-T1	Peve_00016781
OG0002988	Porites_evermanni_v1.annot.pep	FUN_045749-T1	Peve_00045179
OG0002988	Pocillopora_meandrina_HIv1.genes.pep	FUN_045749-T1	Pocillopora_meandrina_HIv1___TS.g14866.t1, Pocillopora_meandrina_HIv1___RNAseq.g11328.t1, Pocillopora_meandrina_HIv1___RNAseq.g16241.t1, Pocillopora_meandrina_HIv1___TS.g9805.t1
OG0002989	Porites_evermanni_v1.annot.pep	FUN_045816-T1, FUN_045815-T1, FUN_045771-T1	Peve_00015318
OG0002989	Pocillopora_meandrina_HIv1.genes.pep	FUN_045816-T1, FUN_045815-T1, FUN_045771-T1	Pocillopora_meandrina_HIv1___TS.g23727.t1, Pocillopora_meandrina_HIv1___RNAseq.g17568.t1
OG0003178	Porites_evermanni_v1.annot.pep	FUN_000198-T2, FUN_000198-T1	Peve_00027180, Peve_00027181
OG0003178	Pocillopora_meandrina_HIv1.genes.pep	FUN_000198-T2, FUN_000198-T1	Pocillopora_meandrina_HIv1___RNAseq.g28902.t1
OG0003179	Pocillopora_meandrina_HIv1.genes.pep	FUN_000201-T1	Pocillopora_meandrina_HIv1___RNAseq.g28905.t1
OG0003179	Porites_evermanni_v1.annot.pep	FUN_000201-T1	Peve_00038742, Peve_00024060, Peve_00019870
OG0003180	Porites_evermanni_v1.annot.pep	FUN_000204-T1, FUN_000204-T2	Peve_00019864, Peve_00024056
OG0003180	Pocillopora_meandrina_HIv1.genes.pep	FUN_000204-T1, FUN_000204-T2	Pocillopora_meandrina_HIv1___RNAseq.g28909.t1
OG0003181	Porites_evermanni_v1.annot.pep	FUN_000210-T2, FUN_000210-T1	Peve_00022648, Peve_00022649
OG0003181	Pocillopora_meandrina_HIv1.genes.pep	FUN_000210-T2, FUN_000210-T1	Pocillopora_meandrina_HIv1___TS.g6133.t2
OG0003182	Porites_evermanni_v1.annot.pep	FUN_000216-T1	Peve_00019415, Peve_00018873
OG0003182	Pocillopora_meandrina_HIv1.genes.pep	FUN_000216-T1	Pocillopora_meandrina_HIv1___RNAseq.g28926.t1, Pocillopora_meandrina_HIv1___RNAseq.g28922.t1
OG0003183	Porites_evermanni_v1.annot.pep	FUN_000240-T1	Peve_00030206, Peve_00033354, Peve_00033355
OG0003183	Pocillopora_meandrina_HIv1.genes.pep	FUN_000240-T1	Pocillopora_meandrina_HIv1___TS.g6176.t1
OG0003184	Porites_evermanni_v1.annot.pep	FUN_000244-T1	Peve_00030204, Peve_00033356, Peve_00030205
OG0003184	Pocillopora_meandrina_HIv1.genes.pep	FUN_000244-T1	Pocillopora_meandrina_HIv1___RNAseq.g28958.t1b
OG0003185	Porites_evermanni_v1.annot.pep	FUN_000294-T1, FUN_000292-T1	Peve_00009811
OG0003185	Pocillopora_meandrina_HIv1.genes.pep	FUN_000294-T1, FUN_000292-T1	Pocillopora_meandrina_HIv1___RNAseq.g30138.t1, Pocillopora_meandrina_HIv1___RNAseq.g30137.t1
OG0003186	Porites_evermanni_v1.annot.pep	FUN_000317-T1	Peve_00033572
OG0003186	Pocillopora_meandrina_HIv1.genes.pep	FUN_000317-T1	Pocillopora_meandrina_HIv1___TS.g6238.t1, Pocillopora_meandrina_HIv1___RNAseq.g29017.t1, Pocillopora_meandrina_HIv1___RNAseq.g29351.t1
OG0003188	Porites_evermanni_v1.annot.pep	FUN_019472-T1, FUN_000386-T1, FUN_019022-T1	Peve_00018263
OG0003188	Pocillopora_meandrina_HIv1.genes.pep	FUN_019472-T1, FUN_000386-T1, FUN_019022-T1	Pocillopora_meandrina_HIv1___RNAseq.g12426.t1
OG0003189	Porites_evermanni_v1.annot.pep	FUN_000411-T1	Peve_00010962, Peve_00010961
OG0003189	Pocillopora_meandrina_HIv1.genes.pep	FUN_000411-T1	Pocillopora_meandrina_HIv1___RNAseq.g2316.t1, Pocillopora_meandrina_HIv1___RNAseq.g2317.t1
OG0003190	Pocillopora_meandrina_HIv1.genes.pep	FUN_000415-T1	Pocillopora_meandrina_HIv1___RNAseq.g1005.t1
OG0003190	Porites_evermanni_v1.annot.pep	FUN_000415-T1	Peve_00005975, Peve_00036303, Peve_00026199
OG0003191	Porites_evermanni_v1.annot.pep	FUN_000480-T1, FUN_000478-T1	Peve_00038239
OG0003191	Pocillopora_meandrina_HIv1.genes.pep	FUN_000480-T1	Pocillopora_meandrina_HIv1___RNAseq.g2346.t1
OG0003191	Pocillopora_meandrina_HIv1.genes.pep	FUN_000478-T1	Pocillopora_meandrina_HIv1___TS.g4854.t1
OG0003192	Pocillopora_meandrina_HIv1.genes.pep	FUN_000511-T1, FUN_027907-T1	Pocillopora_meandrina_HIv1___RNAseq.g2404.t1
OG0003192	Porites_evermanni_v1.annot.pep	FUN_000511-T1, FUN_027907-T1	Peve_00029231, Peve_00029313
OG0003193	Porites_evermanni_v1.annot.pep	FUN_000586-T3, FUN_000586-T2, FUN_000586-T1	Peve_00025314
OG0003193	Pocillopora_meandrina_HIv1.genes.pep	FUN_000586-T3, FUN_000586-T2, FUN_000586-T1	Pocillopora_meandrina_HIv1___TS.g6498.t2
OG0003194	Porites_evermanni_v1.annot.pep	FUN_000599-T1	Peve_00041264, Peve_00038243
OG0003194	Pocillopora_meandrina_HIv1.genes.pep	FUN_000599-T1	Pocillopora_meandrina_HIv1___RNAseq.g29282.t1, Pocillopora_meandrina_HIv1___RNAseq.g29279.t1
OG0003195	Porites_evermanni_v1.annot.pep	FUN_000870-T1	Peve_00001215, Peve_00001217, Peve_00002066
OG0003195	Pocillopora_meandrina_HIv1.genes.pep	FUN_000870-T1	Pocillopora_meandrina_HIv1___RNAseq.g1813.t1
OG0003196	Porites_evermanni_v1.annot.pep	FUN_000905-T1	Peve_00009736, Peve_00009733
OG0003196	Pocillopora_meandrina_HIv1.genes.pep	FUN_000905-T1	Pocillopora_meandrina_HIv1___RNAseq.g29456.t1, Pocillopora_meandrina_HIv1___RNAseq.g29455.t1
OG0003197	Porites_evermanni_v1.annot.pep	FUN_000940-T1	Peve_00001198, Peve_00001199, Peve_00001206, Peve_00001196
OG0003198	Porites_evermanni_v1.annot.pep	FUN_000971-T1	Peve_00032927, Peve_00007801, Peve_00032926
OG0003198	Pocillopora_meandrina_HIv1.genes.pep	FUN_000971-T1	Pocillopora_meandrina_HIv1___RNAseq.g29136.t1
OG0003199	Porites_evermanni_v1.annot.pep	FUN_000991-T1	Peve_00004454
OG0003199	Pocillopora_meandrina_HIv1.genes.pep	FUN_000991-T1	Pocillopora_meandrina_HIv1___RNAseq.g29197.t1, Pocillopora_meandrina_HIv1___RNAseq.g29196.t1, Pocillopora_meandrina_HIv1___RNAseq.g29200.t1
OG0003200	Porites_evermanni_v1.annot.pep	FUN_000997-T1	Peve_00004450
OG0003200	Pocillopora_meandrina_HIv1.genes.pep	FUN_000997-T1	Pocillopora_meandrina_HIv1___RNAseq.g29184.t1, Pocillopora_meandrina_HIv1___RNAseq.g29186.t1, Pocillopora_meandrina_HIv1___RNAseq.g29181.t1
OG0003201	Porites_evermanni_v1.annot.pep	FUN_001001-T1, FUN_000998-T1	Peve_00012487, Peve_00012484
OG0003201	Pocillopora_meandrina_HIv1.genes.pep	FUN_001001-T1, FUN_000998-T1	Pocillopora_meandrina_HIv1___RNAseq.g29178.t1
OG0003202	Porites_evermanni_v1.annot.pep	FUN_001033-T1	Peve_00041066
OG0003202	Pocillopora_meandrina_HIv1.genes.pep	FUN_001033-T1	Pocillopora_meandrina_HIv1___RNAseq.g29622.t1, Pocillopora_meandrina_HIv1___RNAseq.g29621.t1, Pocillopora_meandrina_HIv1___RNAseq.g29620.t2
OG0003203	Pocillopora_meandrina_HIv1.genes.pep	FUN_001067-T1	Pocillopora_meandrina_HIv1___RNAseq.g29656.t1
OG0003203	Porites_evermanni_v1.annot.pep	FUN_001067-T1	Peve_00018944, Peve_00018943, Peve_00029706
OG0003204	Porites_evermanni_v1.annot.pep	FUN_001084-T1, FUN_001084-T2	Peve_00030614, Peve_00033071
OG0003204	Pocillopora_meandrina_HIv1.genes.pep	FUN_001084-T1, FUN_001084-T2	Pocillopora_meandrina_HIv1___RNAseq.g2709.t1
OG0003205	Pocillopora_meandrina_HIv1.genes.pep	FUN_001091-T1, FUN_001091-T2	Pocillopora_meandrina_HIv1___RNAseq.g26910.t1
OG0003205	Porites_evermanni_v1.annot.pep	FUN_001091-T1, FUN_001091-T2	Peve_00010887, Peve_00000759
OG0003206	Pocillopora_meandrina_HIv1.genes.pep	FUN_001106-T1	Pocillopora_meandrina_HIv1___RNAseq.g29367.t1b
OG0003206	Porites_evermanni_v1.annot.pep	FUN_001106-T1	Peve_00029331, Peve_00003165, Peve_00035208
OG0003207	Porites_evermanni_v1.annot.pep	FUN_001130-T1	Peve_00029377
OG0003207	Pocillopora_meandrina_HIv1.genes.pep	FUN_001130-T1	Pocillopora_meandrina_HIv1___TS.g6540.t1, Pocillopora_meandrina_HIv1___RNAseq.g29350.t1, Pocillopora_meandrina_HIv1___TS.g6539.t1
OG0003208	Porites_evermanni_v1.annot.pep	FUN_001133-T1	Peve_00029380, Peve_00029381
OG0003208	Pocillopora_meandrina_HIv1.genes.pep	FUN_001133-T1	Pocillopora_meandrina_HIv1___RNAseq.g29342.t1, Pocillopora_meandrina_HIv1___RNAseq.g29345.t1
OG0003209	Porites_evermanni_v1.annot.pep	FUN_001139-T1, FUN_001139-T2	Peve_00029334
OG0003209	Pocillopora_meandrina_HIv1.genes.pep	FUN_001139-T1, FUN_001139-T2	Pocillopora_meandrina_HIv1___RNAseq.g29338.t1, Pocillopora_meandrina_HIv1___RNAseq.g29336.t1
OG0003210	Porites_evermanni_v1.annot.pep	FUN_001186-T1, FUN_001188-T1	Peve_00017207, Peve_00009673
OG0003210	Pocillopora_meandrina_HIv1.genes.pep	FUN_001186-T1, FUN_001188-T1	Pocillopora_meandrina_HIv1___TS.g6724.t2
OG0003211	Porites_evermanni_v1.annot.pep	FUN_001221-T1	Peve_00014737, Peve_00035365, Peve_00014738, Peve_00035366
OG0003212	Pocillopora_meandrina_HIv1.genes.pep	FUN_001257-T1	Pocillopora_meandrina_HIv1___TS.g4540.t1
OG0003212	Porites_evermanni_v1.annot.pep	FUN_001257-T1	Peve_00008795, Peve_00008798, Peve_00008799
OG0003213	Pocillopora_meandrina_HIv1.genes.pep	FUN_001291-T1	Pocillopora_meandrina_HIv1___RNAseq.g2225.t1
OG0003213	Porites_evermanni_v1.annot.pep	FUN_001291-T1	Peve_00037006
OG0003214	Porites_evermanni_v1.annot.pep	FUN_001322-T1, FUN_001318-T1	Peve_00036962
OG0003214	Pocillopora_meandrina_HIv1.genes.pep	FUN_001322-T1	Pocillopora_meandrina_HIv1___TS.g4771.t1a
OG0003214	Pocillopora_meandrina_HIv1.genes.pep	FUN_001318-T1	Pocillopora_meandrina_HIv1___TS.g4771.t1b
OG0003215	Porites_evermanni_v1.annot.pep	FUN_001342-T1	Peve_00037046, Peve_00036938
OG0003215	Pocillopora_meandrina_HIv1.genes.pep	FUN_001342-T1	Pocillopora_meandrina_HIv1___RNAseq.g12407.t1, Pocillopora_meandrina_HIv1___RNAseq.g2292.t1
OG0003216	Porites_evermanni_v1.annot.pep	FUN_001377-T1	Peve_00021886, Peve_00025088, Peve_00025084
OG0003216	Pocillopora_meandrina_HIv1.genes.pep	FUN_001377-T1	Pocillopora_meandrina_HIv1___RNAseq.g2136.t1
OG0003217	Porites_evermanni_v1.annot.pep	FUN_001380-T1, FUN_001378-T1	Peve_00012534, Peve_00021885, Peve_00025100
OG0003218	Porites_evermanni_v1.annot.pep	FUN_001472-T1	Peve_00044700, Peve_00026260, Peve_00026259
OG0003218	Pocillopora_meandrina_HIv1.genes.pep	FUN_001472-T1	Pocillopora_meandrina_HIv1___RNAseq.g1911.t1
OG0003220	Pocillopora_meandrina_HIv1.genes.pep	FUN_001492-T1	Pocillopora_meandrina_HIv1___RNAseq.g1907.t1
OG0003220	Porites_evermanni_v1.annot.pep	FUN_001492-T1	Peve_00002876, Peve_00002881, Peve_00002883
OG0003221	Porites_evermanni_v1.annot.pep	FUN_001500-T1, FUN_001502-T1, FUN_001497-T1	Peve_00012117
OG0003221	Pocillopora_meandrina_HIv1.genes.pep	FUN_001500-T1, FUN_001502-T1, FUN_001497-T1	Pocillopora_meandrina_HIv1___RNAseq.g1894.t1
OG0003222	Porites_evermanni_v1.annot.pep	FUN_001503-T1, FUN_001501-T1	Peve_00018431, Peve_00018430
OG0003222	Pocillopora_meandrina_HIv1.genes.pep	FUN_001503-T1, FUN_001501-T1	Pocillopora_meandrina_HIv1___RNAseq.g1086.t1
OG0003223	Porites_evermanni_v1.annot.pep	FUN_001513-T1, FUN_001511-T1, FUN_001514-T1	Peve_00012124
OG0003223	Pocillopora_meandrina_HIv1.genes.pep	FUN_001513-T1, FUN_001511-T1, FUN_001514-T1	Pocillopora_meandrina_HIv1___RNAseq.g1885.t1
OG0003224	Porites_evermanni_v1.annot.pep	FUN_001517-T1	Peve_00027848, Peve_00012127, Peve_00012797
OG0003224	Pocillopora_meandrina_HIv1.genes.pep	FUN_001517-T1	Pocillopora_meandrina_HIv1___TS.g4391.t1
OG0003225	Porites_evermanni_v1.annot.pep	FUN_001533-T1	Peve_00000624
OG0003225	Pocillopora_meandrina_HIv1.genes.pep	FUN_001533-T1	Pocillopora_meandrina_HIv1___RNAseq.g2055.t1, Pocillopora_meandrina_HIv1___RNAseq.g2051.t1, Pocillopora_meandrina_HIv1___RNAseq.g2054.t1
OG0003226	Porites_evermanni_v1.annot.pep	FUN_001549-T1	Peve_00003914, Peve_00003915
OG0003226	Pocillopora_meandrina_HIv1.genes.pep	FUN_001549-T1	Pocillopora_meandrina_HIv1___RNAseq.g2066.t1, Pocillopora_meandrina_HIv1___RNAseq.g2067.t1
OG0003227	Porites_evermanni_v1.annot.pep	FUN_001558-T1	Peve_00027303
OG0003227	Pocillopora_meandrina_HIv1.genes.pep	FUN_001558-T1	Pocillopora_meandrina_HIv1___RNAseq.g2006.t1, Pocillopora_meandrina_HIv1___RNAseq.g2012.t1, Pocillopora_meandrina_HIv1___RNAseq.g2011.t1
OG0003228	Porites_evermanni_v1.annot.pep	FUN_001585-T2, FUN_001585-T1, FUN_036476-T1	Peve_00034529
OG0003228	Pocillopora_meandrina_HIv1.genes.pep	FUN_001585-T2, FUN_001585-T1, FUN_036476-T1	Pocillopora_meandrina_HIv1___RNAseq.g751.t1
OG0003229	Porites_evermanni_v1.annot.pep	FUN_001593-T1	Peve_00004144, Peve_00023227
OG0003229	Pocillopora_meandrina_HIv1.genes.pep	FUN_001593-T1	Pocillopora_meandrina_HIv1___RNAseq.g1990.t1a, Pocillopora_meandrina_HIv1___RNAseq.g1990.t1b
OG0003230	Porites_evermanni_v1.annot.pep	FUN_001595-T1, FUN_001594-T1	Peve_00004148
OG0003230	Pocillopora_meandrina_HIv1.genes.pep	FUN_001595-T1, FUN_001594-T1	Pocillopora_meandrina_HIv1___RNAseq.g1988.t1, Pocillopora_meandrina_HIv1___RNAseq.g1987.t1
OG0003231	Porites_evermanni_v1.annot.pep	FUN_001611-T1	Peve_00039370, Peve_00010546
OG0003231	Pocillopora_meandrina_HIv1.genes.pep	FUN_001611-T1	Pocillopora_meandrina_HIv1___RNAseq.g173.t1, Pocillopora_meandrina_HIv1___RNAseq.g172.t1
OG0003232	Porites_evermanni_v1.annot.pep	FUN_001624-T2, FUN_001624-T1, FUN_001624-T3	Peve_00042511
OG0003232	Pocillopora_meandrina_HIv1.genes.pep	FUN_001624-T2, FUN_001624-T1, FUN_001624-T3	Pocillopora_meandrina_HIv1___TS.g4673.t1
OG0003233	Porites_evermanni_v1.annot.pep	FUN_001635-T1	Peve_00030250, Peve_00030251, Peve_00009927
OG0003233	Pocillopora_meandrina_HIv1.genes.pep	FUN_001635-T1	Pocillopora_meandrina_HIv1___TS.g4663.t2
OG0003235	Porites_evermanni_v1.annot.pep	FUN_001649-T1, FUN_001651-T1	Peve_00038367, Peve_00020141
OG0003235	Pocillopora_meandrina_HIv1.genes.pep	FUN_001649-T1, FUN_001651-T1	Pocillopora_meandrina_HIv1___TS.g6603.t1
OG0003236	Porites_evermanni_v1.annot.pep	FUN_001671-T3, FUN_001671-T1, FUN_001671-T2	Peve_00038393
OG0003236	Pocillopora_meandrina_HIv1.genes.pep	FUN_001671-T3, FUN_001671-T1, FUN_001671-T2	Pocillopora_meandrina_HIv1___RNAseq.g29390.t1
OG0003237	Porites_evermanni_v1.annot.pep	FUN_001678-T1, FUN_001681-T1, FUN_001682-T1	Peve_00041263
OG0003237	Pocillopora_meandrina_HIv1.genes.pep	FUN_001678-T1, FUN_001681-T1, FUN_001682-T1	Pocillopora_meandrina_HIv1___RNAseq.g29283.t1
OG0003238	Porites_evermanni_v1.annot.pep	FUN_001720-T1, FUN_001685-T1, FUN_001698-T1	Peve_00041622
OG0003238	Pocillopora_meandrina_HIv1.genes.pep	FUN_001720-T1, FUN_001685-T1, FUN_001698-T1	Pocillopora_meandrina_HIv1___RNAseq.g2704.t1
OG0003239	Porites_evermanni_v1.annot.pep	FUN_001718-T1	Peve_00029434, Peve_00029432
OG0003239	Pocillopora_meandrina_HIv1.genes.pep	FUN_001718-T1	Pocillopora_meandrina_HIv1___RNAseq.g2088.t1, Pocillopora_meandrina_HIv1___RNAseq.g2254.t1
OG0003240	Porites_evermanni_v1.annot.pep	FUN_001728-T1, FUN_001728-T2	Peve_00007897, Peve_00041640
OG0003240	Pocillopora_meandrina_HIv1.genes.pep	FUN_001728-T1, FUN_001728-T2	Pocillopora_meandrina_HIv1___RNAseq.g2699.t1
OG0003241	Porites_evermanni_v1.annot.pep	FUN_001730-T1	Peve_00041641, Peve_00007904, Peve_00007903
OG0003241	Pocillopora_meandrina_HIv1.genes.pep	FUN_001730-T1	Pocillopora_meandrina_HIv1___RNAseq.g2698.t1
OG0003242	Porites_evermanni_v1.annot.pep	FUN_001749-T1, FUN_001749-T3, FUN_001749-T2	Peve_00019400
OG0003242	Pocillopora_meandrina_HIv1.genes.pep	FUN_001749-T1, FUN_001749-T3, FUN_001749-T2	Pocillopora_meandrina_HIv1___RNAseq.g2654.t1
OG0003243	Porites_evermanni_v1.annot.pep	FUN_001794-T2, FUN_001794-T1	Peve_00037091
OG0003243	Pocillopora_meandrina_HIv1.genes.pep	FUN_001794-T2, FUN_001794-T1	Pocillopora_meandrina_HIv1___RNAseq.g15131.t1, Pocillopora_meandrina_HIv1___RNAseq.g15130.t1
OG0003244	Porites_evermanni_v1.annot.pep	FUN_011683-T1, FUN_001799-T1	Peve_00032283, Peve_00037580
OG0003244	Pocillopora_meandrina_HIv1.genes.pep	FUN_011683-T1, FUN_001799-T1	Pocillopora_meandrina_HIv1___RNAseq.g23917.t1a
OG0003245	Porites_evermanni_v1.annot.pep	FUN_001845-T2, FUN_001845-T3, FUN_001845-T1	Peve_00006788
OG0003245	Pocillopora_meandrina_HIv1.genes.pep	FUN_001845-T2, FUN_001845-T3, FUN_001845-T1	Pocillopora_meandrina_HIv1___RNAseq.g2618.t1
OG0003246	Porites_evermanni_v1.annot.pep	FUN_038101-T2, FUN_038101-T1, FUN_001859-T1	Peve_00009167
OG0003246	Pocillopora_meandrina_HIv1.genes.pep	FUN_038101-T2, FUN_038101-T1, FUN_001859-T1	Pocillopora_meandrina_HIv1___RNAseq.g25708.t1
OG0003247	Porites_evermanni_v1.annot.pep	FUN_001860-T1	Peve_00020619, Peve_00032178, Peve_00020617
OG0003247	Pocillopora_meandrina_HIv1.genes.pep	FUN_001860-T1	Pocillopora_meandrina_HIv1___RNAseq.g2600.t1
OG0003248	Porites_evermanni_v1.annot.pep	FUN_001889-T1, FUN_001886-T1, FUN_001889-T2	Peve_00030492
OG0003248	Pocillopora_meandrina_HIv1.genes.pep	FUN_001889-T1, FUN_001886-T1, FUN_001889-T2	Pocillopora_meandrina_HIv1___RNAseq.g2578.t2
OG0003249	Pocillopora_meandrina_HIv1.genes.pep	FUN_001926-T1, FUN_040909-T1	Pocillopora_meandrina_HIv1___TS.g13244.t1
OG0003249	Porites_evermanni_v1.annot.pep	FUN_001926-T1, FUN_040909-T1	Peve_00033674, Peve_00042835
OG0003252	Porites_evermanni_v1.annot.pep	FUN_042340-T1, FUN_002012-T1	Peve_00039662, Peve_00039648
OG0003252	Pocillopora_meandrina_HIv1.genes.pep	FUN_042340-T1, FUN_002012-T1	Pocillopora_meandrina_HIv1___TS.g17283.t1
OG0003254	Porites_evermanni_v1.annot.pep	FUN_002043-T1	Peve_00034084
OG0003254	Pocillopora_meandrina_HIv1.genes.pep	FUN_002043-T1	Pocillopora_meandrina_HIv1___RNAseq.g26918.t1, Pocillopora_meandrina_HIv1___RNAseq.g24694.t1, Pocillopora_meandrina_HIv1___TS.g26841.t1
OG0003257	Porites_evermanni_v1.annot.pep	FUN_002080-T1, FUN_002080-T2, FUN_002080-T3	Peve_00042452
OG0003257	Pocillopora_meandrina_HIv1.genes.pep	FUN_002080-T1, FUN_002080-T2, FUN_002080-T3	Pocillopora_meandrina_HIv1___TS.g4232.t1
OG0003258	Pocillopora_meandrina_HIv1.genes.pep	FUN_040280-T1, FUN_002089-T1, FUN_040281-T1, FUN_042165-T1	Pocillopora_meandrina_HIv1___RNAseq.g19308.t1
OG0003259	Porites_evermanni_v1.annot.pep	FUN_007229-T1, FUN_002202-T1, FUN_031244-T1	Peve_00043687
OG0003259	Pocillopora_meandrina_HIv1.genes.pep	FUN_007229-T1, FUN_002202-T1, FUN_031244-T1	Pocillopora_meandrina_HIv1___TS.g22606.t1
OG0003261	Porites_evermanni_v1.annot.pep	FUN_002348-T1	Peve_00016156, Peve_00030964, Peve_00028135, Peve_00006069
OG0003262	Porites_evermanni_v1.annot.pep	FUN_002351-T1, FUN_002351-T2	Peve_00035726, Peve_00022330
OG0003262	Pocillopora_meandrina_HIv1.genes.pep	FUN_002351-T1, FUN_002351-T2	Pocillopora_meandrina_HIv1___RNAseq.g32.t1
OG0003264	Porites_evermanni_v1.annot.pep	FUN_018972-T1, FUN_002400-T1, FUN_002388-T1	Peve_00009847
OG0003264	Pocillopora_meandrina_HIv1.genes.pep	FUN_018972-T1, FUN_002400-T1, FUN_002388-T1	Pocillopora_meandrina_HIv1___RNAseq.g873.t1
OG0003267	Porites_evermanni_v1.annot.pep	FUN_002425-T1, FUN_002424-T1	Peve_00034031, Peve_00034030
OG0003267	Pocillopora_meandrina_HIv1.genes.pep	FUN_002425-T1, FUN_002424-T1	Pocillopora_meandrina_HIv1___RNAseq.g14843.t1
OG0003268	Pocillopora_meandrina_HIv1.genes.pep	FUN_002427-T1, FUN_018643-T1, FUN_028709-T1	Pocillopora_meandrina_HIv1___RNAseq.g25931.t1, Pocillopora_meandrina_HIv1___RNAseq.g6821.t1
OG0003269	Porites_evermanni_v1.annot.pep	FUN_002472-T1, FUN_002433-T1	Peve_00034052
OG0003269	Pocillopora_meandrina_HIv1.genes.pep	FUN_002472-T1	Pocillopora_meandrina_HIv1___RNAseq.g14855.t1
OG0003269	Pocillopora_meandrina_HIv1.genes.pep	FUN_002433-T1	Pocillopora_meandrina_HIv1___RNAseq.g14854.t1
OG0003273	Porites_evermanni_v1.annot.pep	FUN_002538-T1, FUN_036771-T1	Peve_00015913
OG0003273	Pocillopora_meandrina_HIv1.genes.pep	FUN_002538-T1, FUN_036771-T1	Pocillopora_meandrina_HIv1___RNAseq.g9259.t1, Pocillopora_meandrina_HIv1___RNAseq.g456.t1
OG0003274	Pocillopora_meandrina_HIv1.genes.pep	FUN_022619-T1, FUN_002545-T1	Pocillopora_meandrina_HIv1___TS.g21800.t2
OG0003274	Porites_evermanni_v1.annot.pep	FUN_022619-T1, FUN_002545-T1	Peve_00012271, Peve_00020248
OG0003277	Porites_evermanni_v1.annot.pep	FUN_002657-T1	Peve_00027966, Peve_00027967, Peve_00018806
OG0003277	Pocillopora_meandrina_HIv1.genes.pep	FUN_002657-T1	Pocillopora_meandrina_HIv1___RNAseq.g12809.t1
OG0003278	Pocillopora_meandrina_HIv1.genes.pep	FUN_002659-T1	Pocillopora_meandrina_HIv1___RNAseq.g25703.t1a
OG0003278	Porites_evermanni_v1.annot.pep	FUN_002659-T1	Peve_00022948
OG0003279	Porites_evermanni_v1.annot.pep	FUN_002660-T3, FUN_002660-T2, FUN_002660-T1	Peve_00011551
OG0003279	Pocillopora_meandrina_HIv1.genes.pep	FUN_002660-T3, FUN_002660-T2, FUN_002660-T1	Pocillopora_meandrina_HIv1___TS.g4023.t2
OG0003280	Porites_evermanni_v1.annot.pep	FUN_002663-T1, FUN_002662-T2, FUN_002662-T1	Peve_00015035
OG0003280	Pocillopora_meandrina_HIv1.genes.pep	FUN_002663-T1, FUN_002662-T2, FUN_002662-T1	Pocillopora_meandrina_HIv1___RNAseq.g20671.t1
OG0003281	Porites_evermanni_v1.annot.pep	FUN_002665-T1	Peve_00025033
OG0003281	Pocillopora_meandrina_HIv1.genes.pep	FUN_002665-T1	Pocillopora_meandrina_HIv1___RNAseq.g20665.t1, Pocillopora_meandrina_HIv1___RNAseq.g20661.t1, Pocillopora_meandrina_HIv1___RNAseq.g20660.t1
OG0003282	Porites_evermanni_v1.annot.pep	FUN_044466-T1, FUN_002930-T1, FUN_002685-T1	Peve_00007258
OG0003282	Pocillopora_meandrina_HIv1.genes.pep	FUN_044466-T1, FUN_002930-T1, FUN_002685-T1	Pocillopora_meandrina_HIv1___TS.g27729.t1
OG0003283	Pocillopora_meandrina_HIv1.genes.pep	FUN_002698-T1	Pocillopora_meandrina_HIv1___RNAseq.g20728.t1, Pocillopora_meandrina_HIv1___RNAseq.g20721.t1
OG0003283	Porites_evermanni_v1.annot.pep	FUN_002698-T1	Peve_00034497, Peve_00009952
OG0003284	Porites_evermanni_v1.annot.pep	FUN_002739-T1, FUN_002760-T1	Peve_00019123, Peve_00005213, Peve_00005207
OG0003285	Pocillopora_meandrina_HIv1.genes.pep	FUN_002746-T1	Pocillopora_meandrina_HIv1___RNAseq.g20648.t1, Pocillopora_meandrina_HIv1___RNAseq.g20644.t1, Pocillopora_meandrina_HIv1___RNAseq.g20651.t1, Pocillopora_meandrina_HIv1___RNAseq.g20646.t1
OG0003287	Porites_evermanni_v1.annot.pep	FUN_002806-T2, FUN_002806-T1, FUN_002806-T3	Peve_00044239
