#Position (bp)	Coverage
470725.5	65.45749429072175
1412175.5	70.9294311965585
2353625.5	67.30644431462106
3295075.5	72.14346593021403
4236525.5	66.54824897764087
5177975.5	49.35587869775347
6119425.5	64.53508417866058
7060875.5	60.8097604758617
8002325.5	51.601337298847525
8943775.5	77.64252482872165
9885225.5	38.18020606511233
1.08266755E7	65.3853778745552
1.17681255E7	59.73435870200223
1.27095755E7	54.479454033671466
1.36510255E7	28.911664984863773
1.45924755E7	20.214407562802062
1.55339255E7	58.47664559987254
1.64753755E7	60.471658611715974
1.74168255E7	71.63941260821073
1.83582755E7	54.994150512507304
1.92997255E7	55.080200754155825
2.02411755E7	73.57819746136279
2.11815185E7	60.88197322078796
2.16522435E7	21.443089430894307
2.21240755E7	63.49443836634978
2.30655255E7	62.59720643687928
2.40069755E7	59.04663338467258
2.49484255E7	69.98022518455574
2.58898755E7	71.42072547665835
2.68313255E7	53.031882734080405
2.77727755E7	46.8476403420256
2.87142255E7	60.37210048329704
2.96556755E7	64.05815391151947
3.05971255E7	66.24442190238462
3.15385755E7	64.71481756864411
3.24800255E7	53.39166498486377
3.34214755E7	41.31782250783366
3.43629255E7	53.49607095437889
3.53043755E7	56.7426023686866
3.62458255E7	64.37754315152159
3.71872755E7	71.63750703701737
3.81287255E7	57.80342344256201
3.90701755E7	62.66347655212704
4.00116255E7	61.34518668012109
4.09530755E7	68.0793456901588
4.18945255E7	56.458973923203565
4.27621645E7	74.92916601581199
4.32328895E7	36.162292883174594
4.37774255E7	67.004864836157
4.47188755E7	63.30018163471241
4.56603255E7	59.53925221732434
4.66017755E7	67.52164214775081
4.75432255E7	68.78189919804556
4.84846755E7	42.53126984969993
4.94261255E7	61.529110414785706
5.03675755E7	54.14428912847204
5.13090255E7	61.05189548037602
5.22504755E7	40.15452971480163
5.31919255E7	54.45506187264326
5.41333755E7	73.44911785012481
5.50748255E7	58.376693398481066
5.60162755E7	66.73518083806894
5.69577255E7	66.2175633331563
5.78991755E7	59.75118593658718
5.88406255E7	62.26222741515747
5.97820755E7	41.89444261511498
6.07235255E7	57.312100483297044
6.16649755E7	59.06880450369111
6.25183765E7	61.167215869299355
6.29891015E7	42.94972117798044
6.35478755E7	70.94643369270806
6.44893255E7	63.773682086143715
6.54307755E7	51.37776727388603
6.63722255E7	59.087161293749006
6.73136755E7	29.25796909023315
6.82551255E7	66.10966381645335
6.91965755E7	71.39922991130703
7.01380255E7	75.18341069626639
7.10794755E7	72.22631791385629
7.20209255E7	72.08432524297626
7.29623755E7	55.976997185193056
7.39038255E7	53.86528971267725
7.48452755E7	49.282696903712356
7.57867255E7	32.748592065430984
7.67281755E7	32.22229008444421
7.76696255E7	16.982557756651975
7.86110755E7	34.48849221944872
7.95525255E7	37.29911307026396
8.04939755E7	62.71874342769133
8.14354255E7	48.65842158372723
8.21123265E7	32.20854270138135
8.25830515E7	53.39297823843598
8.33183255E7	28.41877848000425
8.42597755E7	52.05549630888523
8.52012255E7	60.16000955972171
8.61426755E7	41.50806415635456
8.70841255E7	46.247199532635825
8.80255755E7	50.2159328695098
8.89670255E7	61.76350310690955
8.99084755E7	66.71828668543205
9.08499255E7	61.77491741462637
9.17913755E7	64.26208720590579
9.27328255E7	60.28430506134155
9.36742755E7	40.86783790960752
9.46157255E7	31.107942004354985
9.55571755E7	37.64493069201763
9.64654235E7	54.47137407633427
9.69361485E7	73.82154689476538
9.74400755E7	71.16103988528334
9.83815255E7	55.595355037442246
9.93229755E7	62.33339954325774
1.002644255E8	59.78978915502682
1.012058755E8	55.95280471612938
1.021473255E8	64.26918583036804
1.030887755E8	57.87523713420787
1.040302255E8	8.42661957618567
1.049716755E8	35.67392214137766
1.059131255E8	55.86417016304637
1.068545755E8	72.69710871527963
1.077960255E8	69.87763981092995
1.087374755E8	70.99814753837165
1.096789255E8	68.3728631366509
1.10575763E8	60.101646865557804
1.11046488E8	72.77061361725974
1.115618255E8	44.73585214297095
1.125032755E8	49.25851718094429
1.134447255E8	63.66703914174943
1.143861755E8	63.790475330607045
1.153276255E8	54.267814541398906
1.162690755E8	56.098045568006796
1.172105255E8	69.05206755536672
1.181519755E8	66.93505018853895
1.190934255E8	31.519808805565884
1.200348755E8	75.09440012746296
1.209763255E8	55.32072653884965
1.219177755E8	61.99926496361995
1.228592255E8	68.55508736523448
1.238006755E8	65.04831270911892
1.24670665E8	58.105535303038465
1.2514139E8	63.501759713408106
1.256835755E8	72.06387912262998
