CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
12	69861	3558639	1.93	3628500
13	61841	3650381	1.67	3712222
14	70931	3618379	1.92	3689310
15	59772	3622795	1.62	3682567
16	78730	3578126	2.15	3656856
17	54058	3637934	1.46	3691992
18	50121	3687622	1.34	3737743
19	49938	3672845	1.34	3722783
20	52726	3611666	1.44	3664392
21	48101	3653735	1.30	3701836
22	45358	3722642	1.20	3768000
23	44291	3714219	1.18	3758510
24	41916	3714481	1.12	3756397
25	42078	3733320	1.11	3775398
26	42020	3702750	1.12	3744770
27	40637	3715750	1.08	3756387
28	40789	3716135	1.09	3756924
29	41214	3703651	1.10	3744865
30	38613	3717491	1.03	3756104
31	38792	3757321	1.02	3796113
32	38211	3734139	1.01	3772350
33	37100	3766032	0.98	3803132
34	37441	3762850	0.99	3800291
35	36783	3779871	0.96	3816654
36	36141	3790224	0.94	3826365
37	36509	3779547	0.96	3816056
38	37414	3750721	0.99	3788135
39	35488	3782636	0.93	3818124
40	34841	3787313	0.91	3822154
41	34583	3768772	0.91	3803355
42	33981	3800938	0.89	3834919
43	34078	3788293	0.89	3822371
44	34199	3771185	0.90	3805384
45	33419	3787181	0.87	3820600
46	33623	3763938	0.89	3797561
47	35015	3753115	0.92	3788130
48	33717	3764026	0.89	3797743
49	34150	3760779	0.90	3794929
50	33114	3727196	0.88	3760310
51	33079	3736906	0.88	3769985
52	33160	3728285	0.88	3761445
53	33340	3700119	0.89	3733459
54	32713	3682830	0.88	3715543
55	33484	3665433	0.91	3698917
56	35283	3643897	0.96	3679180
57	33741	3650104	0.92	3683845
58	34133	3634730	0.93	3668863
59	34427	3578881	0.95	3613308
60	33878	3577161	0.94	3611039
61	34636	3554808	0.96	3589444
62	34522	3499624	0.98	3534146
63	35018	3488563	0.99	3523581
64	35706	3472853	1.02	3508559
65	36773	3440798	1.06	3477571
66	35531	3421004	1.03	3456535
67	35830	3393941	1.04	3429771
68	35997	3345305	1.06	3381302
69	36385	3320144	1.08	3356529
70	35981	3280659	1.08	3316640
71	36866	3243764	1.12	3280630
72	36690	3217915	1.13	3254605
73	37623	3184091	1.17	3221714
74	38606	3153151	1.21	3191757
75	37125	3112522	1.18	3149647
76	37339	3081959	1.20	3119298
77	37689	3035635	1.23	3073324
78	37113	3006096	1.22	3043209
79	37367	2964162	1.24	3001529
80	37885	2909858	1.29	2947743
81	38096	2891503	1.30	2929599
82	38254	2854271	1.32	2892525
83	38942	2806764	1.37	2845706
84	37976	2777210	1.35	2815186
85	38346	2742984	1.38	2781330
86	38073	2688243	1.40	2726316
87	37667	2662094	1.40	2699761
88	38065	2613955	1.44	2652020
89	38604	2576612	1.48	2615216
90	37933	2547115	1.47	2585048
91	38276	2500844	1.51	2539120
92	39051	2456820	1.56	2495871
93	37943	2429483	1.54	2467426
94	37663	2390394	1.55	2428057
95	37784	2343392	1.59	2381176
96	37327	2312332	1.59	2349659
97	36637	2271985	1.59	2308622
98	37063	2227235	1.64	2264298
99	36703	2189666	1.65	2226369
100	36435	2152257	1.66	2188692
101	37360	2108030	1.74	2145390
102	36058	2080473	1.70	2116531
103	35879	2050906	1.72	2086785
104	35830	2002531	1.76	2038361
105	35295	1976884	1.75	2012179
106	35266	1939247	1.79	1974513
107	34914	1899414	1.80	1934328
108	34668	1864639	1.83	1899307
109	35091	1829185	1.88	1864276
110	35108	1788945	1.92	1824053
111	34080	1763879	1.90	1797959
112	33814	1728759	1.92	1762573
113	33462	1696890	1.93	1730352
114	33267	1665165	1.96	1698432
115	32415	1624076	1.96	1656491
116	32684	1593784	2.01	1626468
117	31739	1565649	1.99	1597388
