Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-145-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-150-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-173-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-178-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed
ptg000007l:2393026-2393539	Cluster_4241	N	78	1959	11950	1127	0
ptg000007l:2482791-2483325	Cluster_4242	N	19	14	0	508	234
ptg000007l:2483488-2483913	Cluster_4243	N	1	7	0	101	3
ptg000007l:2531538-2532169	Cluster_4244	N	5	12	41	163	583
ptg000007l:2624711-2625138	Cluster_4245	N	52	83	1	0	31
ptg000007l:3013851-3014341	Cluster_4246	N	3190	2889	1906	1894	1495
ptg000007l:3177192-3177689	Cluster_4247	N	32	115	15	24	105
ptg000007l:3210817-3211601	Cluster_4248	N	5	0	1930	34	492
ptg000007l:3211934-3212360	Cluster_4249	N	6	0	45	1	124
ptg000007l:3278808-3279312	Cluster_4250	N	148	465	1509	201	1445
ptg000007l:3279507-3280486	Cluster_4251	N	236	1440	17	231	975
ptg000007l:3331311-3331736	Cluster_4252	N	5030	9696	9832	8394	6979
ptg000007l:3363173-3363600	Cluster_4253	N	32	61	18	25	22
ptg000007l:3377283-3377376	Cluster_4254	Y	31	54	93	101	53
ptg000007l:3420750-3421177	Cluster_4255	N	18	155	0	4	0
ptg000007l:3522296-3522721	Cluster_4256	N	0	0	1	101	2
ptg000007l:3529172-3529779	Cluster_4257	N	187	2	2	6	318
ptg000007l:3561552-3561978	Cluster_4258	N	1	0	1	9	329
ptg000007l:3602138-3602557	Cluster_4259	N	0	82	8	3	1
ptg000007l:3848577-3849006	Cluster_4260	N	25	181	43	20	16
ptg000007l:3986341-3986872	Cluster_4261	N	294	670	243	290	418
ptg000007l:4020857-4021285	Cluster_4262	N	126	5	6	3	0
ptg000007l:4067091-4068470	Cluster_4263	N	1894	2815	2160	2187	2924
ptg000007l:4074704-4075132	Cluster_4264	N	5	15	338	204	48
ptg000007l:4092235-4092665	Cluster_4265	N	15	2	165	67	245
ptg000007l:4417310-4417754	Cluster_4266	N	77	1178	29	9	1
ptg000007l:4418308-4418737	Cluster_4267	N	27	0	77	41	2
ptg000007l:4420844-4421274	Cluster_4268	N	123	10	505	1	299
ptg000007l:4425744-4426303	Cluster_4269	N	2	1	1	108	118
ptg000007l:4429138-4429835	Cluster_4270	N	20	5	333	2	18
ptg000007l:4452680-4453101	Cluster_4271	N	13	82	10	10	1
ptg000007l:4454436-4454865	Cluster_4272	N	0	119	0	60	31
ptg000007l:4459811-4460620	Cluster_4273	N	0	458	1	0	0
ptg000007l:4487191-4487621	Cluster_4274	N	330	4	1	2	144
ptg000007l:4489331-4489757	Cluster_4275	N	0	162	1	27	19
ptg000007l:4490783-4491210	Cluster_4276	N	0	290	3	0	1
ptg000007l:4578344-4578822	Cluster_4277	N	566	550	365	244	286
ptg000007l:4589691-4590118	Cluster_4278	N	85	69	58	81	89
ptg000007l:4982811-4983240	Cluster_4279	N	79	40	72	19	21
ptg000007l:5112703-5113122	Cluster_4280	N	5	73	14	4	8
ptg000007l:5113518-5113947	Cluster_4281	N	6	31	117	75	60
ptg000007l:5228318-5229388	Cluster_4282	N	100	44	60	650	194
ptg000007l:5443516-5443944	Cluster_4283	N	0	160	0	1	0
ptg000007l:5555637-5556066	Cluster_4284	N	0	184	87	0	1
ptg000007l:5605985-5606494	Cluster_4285	N	1261	10	22	5	13
ptg000007l:5644312-5644739	Cluster_4286	N	1	0	1	331	2
ptg000007l:5681512-5681943	Cluster_4287	N	759	18	34	9	17
ptg000007l:5698687-5699115	Cluster_4288	N	0	753	1	1	18
ptg000007l:5701638-5702066	Cluster_4289	N	0	11	7	0	152
ptg000007l:5743714-5744143	Cluster_4290	N	180	0	0	0	0
ptg000007l:6083766-6084196	Cluster_4291	N	175	0	72	21	194
ptg000007l:6153602-6154029	Cluster_4292	N	150	3	28	13	1
ptg000007l:6154394-6154822	Cluster_4293	N	0	0	592	0	0
ptg000007l:6192423-6192851	Cluster_4294	N	1	165	0	0	1
ptg000007l:6212054-6213580	Cluster_4295	N	347	111	213	601	213
ptg000007l:6215014-6215443	Cluster_4296	N	27	63	38	46	65
ptg000007l:6268620-6269069	Cluster_4297	N	213	43	232	125	12
ptg000007l:6301118-6301550	Cluster_4298	N	117	3	210	83	191
ptg000007l:6372516-6372943	Cluster_4299	N	7	260	0	4	0
ptg000007l:6423581-6424009	Cluster_4300	N	1	52	71	30	54
ptg000007l:6424323-6425196	Cluster_4301	N	2	165	119	54	339
ptg000007l:6489611-6490247	Cluster_4302	N	383	1649	2825	89	1482
ptg000007l:6514699-6515117	Cluster_4303	N	56	14	17	44	8
ptg000007l:6518555-6519141	Cluster_4304	N	109	2187	4	17	1
ptg000007l:6627390-6627817	Cluster_4305	N	7	111	1	231	173
ptg000007l:6712981-6713404	Cluster_4306	N	1	265	0	17	35
ptg000007l:6732194-6732623	Cluster_4307	N	0	0	2	347	1
ptg000007l:6778539-6778960	Cluster_4308	N	19	39	21	40	16
ptg000007l:6780990-6781462	Cluster_4309	N	57	445	26	324	14
ptg000007l:6837306-6837967	Cluster_4310	N	210	3	652	1764	18
ptg000007l:6837985-6838772	Cluster_4311	N	504	7	1396	186	274
ptg000007l:6838844-6839439	Cluster_4312	N	363	7	64	43	187
ptg000007l:6848796-6849223	Cluster_4313	N	15	5	114	23	27
ptg000007l:6853441-6853869	Cluster_4314	N	0	3	100	55	0
ptg000007l:6856944-6857369	Cluster_4315	N	104	12	0	0	4
ptg000007l:6874733-6875169	Cluster_4316	N	15	41	88	21	127
ptg000007l:6878923-6879547	Cluster_4317	N	36	7	69	144	446
ptg000007l:6920949-6921804	Cluster_4318	N	15	12234	7086	20871	85
ptg000007l:6940722-6941152	Cluster_4319	N	82	46	190	24	73
ptg000007l:6986591-6987016	Cluster_4320	N	0	29	1	20	67
ptg000007l:6990063-6990493	Cluster_4321	N	108	56	1	1	216
ptg000007l:6998936-6999361	Cluster_4322	N	9	39	7	13	40
ptg000007l:7056873-7057299	Cluster_4323	N	8	112	7	2	52
ptg000007l:7060502-7060923	Cluster_4324	N	17	1	104	85	5
ptg000007l:7084568-7084995	Cluster_4325	N	5	0	96	8	0
ptg000007l:7181996-7182426	Cluster_4326	N	271	13	22	104	3
ptg000007l:7242433-7243259	Cluster_4327	N	81	273	29	1236	21
ptg000007l:7247836-7248245	Cluster_4328	N	11	262	0	8	12
ptg000007l:7248296-7248723	Cluster_4329	N	3	107	2	237	164
ptg000007l:7334810-7335231	Cluster_4330	N	23	29	29	36	14
ptg000007l:7418328-7418770	Cluster_4331	N	92	95	38	35	150
ptg000007l:7436666-7437095	Cluster_4332	N	703	1	19	51	0
ptg000007l:7451859-7452386	Cluster_4333	N	85	650	34	0	2
ptg000007l:7550504-7551007	Cluster_4334	N	77	81	311	1	5
ptg000007l:7602529-7603286	Cluster_4335	N	39	1336	43	21	595
ptg000007l:7609345-7610004	Cluster_4336	N	218	16	23	3	10
ptg000007l:7623960-7624389	Cluster_4337	N	819	653	117	920	842
ptg000007l:7680203-7680632	Cluster_4338	N	434	98	266	304	2
ptg000007l:7760022-7760449	Cluster_4339	N	1	166	105	1	1
ptg000007l:7771194-7771608	Cluster_4340	N	110	82	32	0	4
ptg000007l:7859488-7859888	Cluster_4341	N	153	0	1	0	2
ptg000007l:7864151-7864575	Cluster_4342	N	0	77	0	33	3
ptg000007l:7909853-7910277	Cluster_4343	N	125	83	27	2	4
ptg000007l:7963782-7964211	Cluster_4344	N	0	0	173	0	0
ptg000007l:7964415-7964853	Cluster_4345	N	262	420	207	59	1187
ptg000007l:8056699-8057126	Cluster_4346	N	0	2	1	13	590
ptg000007l:8097387-8097815	Cluster_4347	N	0	0	0	239	0
ptg000007l:8105476-8105902	Cluster_4348	N	8	12	135	4	20
ptg000007l:8118893-8119482	Cluster_4349	N	0	4	29	6	709
ptg000007l:8119727-8120242	Cluster_4350	N	1	4	16	36	325
ptg000007l:8120308-8120739	Cluster_4351	N	9	18	320	266	165
ptg000007l:8128029-8129291	Cluster_4352	N	3	19	890	790	920
ptg000007l:8222519-8222946	Cluster_4353	N	1	52	4	134	3
ptg000007l:8312799-8313282	Cluster_4354	N	328	753	43	489	35
ptg000007l:8344380-8344792	Cluster_4355	N	46	26	5	24	12
ptg000007l:8363130-8363556	Cluster_4356	N	23	96	11	0	1
ptg000007l:8365997-8366426	Cluster_4357	N	3	122	26	61	8
ptg000007l:8366812-8367415	Cluster_4358	N	7	32	199	28	73
ptg000007l:8370344-8371070	Cluster_4359	N	2398	1122	15666	208	1077
ptg000007l:8371597-8372046	Cluster_4360	N	148	104	412	24	86
ptg000007l:8372072-8373400	Cluster_4361	N	2177	2756	5	2553	2736
ptg000007l:8373917-8374671	Cluster_4362	N	4440	5076	4	3096	6369
ptg000007l:8380840-8381572	Cluster_4363	N	893	973	1	780	903
ptg000007l:8463422-8463875	Cluster_4364	N	98	55	209	26	61
ptg000007l:8468849-8469278	Cluster_4365	N	0	0	3	126	3
ptg000007l:8471409-8471837	Cluster_4366	N	0	53	19	117	0
ptg000007l:8706906-8707315	Cluster_4367	N	13	94	7	1	4
ptg000007l:8726083-8726510	Cluster_4368	N	13	21	26	60	5
ptg000007l:8727941-8728368	Cluster_4369	N	11	20	25	60	5
ptg000007l:8739095-8739522	Cluster_4370	N	18	30	32	67	12
ptg000007l:8742811-8743238	Cluster_4371	N	13	21	21	59	5
ptg000007l:8757677-8758104	Cluster_4372	N	16	27	28	62	9
ptg000007l:8765134-8765564	Cluster_4373	N	21	44	64	29	84
ptg000007l:8777542-8777980	Cluster_4374	N	0	119	17	71	96
ptg000007l:8785107-8785536	Cluster_4375	N	334	11	16	7	2
ptg000007l:8790576-8791296	Cluster_4376	N	185	87	112	43	38
ptg000007l:8791504-8792613	Cluster_4377	N	796	476	438	68	88
ptg000007l:8794561-8795267	Cluster_4378	N	131	149	198	48	91
ptg000007l:8796127-8797613	Cluster_4379	N	647	594	1060	496	415
ptg000007l:8797732-8799171	Cluster_4380	N	546	608	786	352	245
ptg000007l:8799239-8799922	Cluster_4381	N	267	160	356	125	92
ptg000007l:8800443-8800925	Cluster_4382	N	141	128	179	26	50
ptg000007l:8801373-8801783	Cluster_4383	N	73	53	109	29	41
ptg000007l:8802856-8807565	Cluster_4384	N	4226	28905	30187	7083	17467
ptg000007l:8807867-8810033	Cluster_4385	N	2656	2255	2757	6010	1387
ptg000007l:8810910-8811462	Cluster_4386	N	90	48	97	24	47
ptg000007l:8812065-8812494	Cluster_4387	N	83	50	76	43	53
ptg000007l:8814646-8815074	Cluster_4388	N	120	0	4	1	3
ptg000007l:8818302-8819863	Cluster_4389	N	15068	28613	12240	12647	17464
ptg000007l:8820914-8821678	Cluster_4390	N	264	199	337	68	130
ptg000007l:8822284-8823614	Cluster_4391	N	398	251	1053	482	406
ptg000007l:8826322-8826743	Cluster_4392	N	40	62	29	9	28
ptg000007l:8826856-8827274	Cluster_4393	N	33	43	78	80	14
ptg000007l:8827540-8827967	Cluster_4394	N	133	25	43	144	14
ptg000007l:8828478-8832217	Cluster_4395	N	2263	1996	4851	914	7187
ptg000007l:8834578-8835051	Cluster_4396	N	70	98	113	25	67
ptg000007l:8835073-8836612	Cluster_4397	N	319	362	338	54	186
ptg000007l:8836816-8838047	Cluster_4398	N	776	1995	3826	290	950
ptg000007l:8838902-8840139	Cluster_4399	N	263	869	201	45	103
ptg000007l:8840234-8840663	Cluster_4400	N	44	207	127	56	55
ptg000007l:8841259-8842036	Cluster_4401	N	221	513	274	67	158
ptg000007l:8842082-8842790	Cluster_4402	N	245	280	215	49	57
ptg000007l:8844751-8845691	Cluster_4403	N	316	239	428	1550	462
ptg000007l:8846828-8848076	Cluster_4404	N	401	658	1225	206	293
ptg000007l:8849495-8850087	Cluster_4405	N	59	290	71	35	39
ptg000007l:8850129-8851358	Cluster_4406	N	476	795	437	1380	344
ptg000007l:8852386-8852889	Cluster_4407	N	198	133	156	69	51
ptg000007l:8852936-8854764	Cluster_4408	N	784	748	11740	9768	10411
ptg000007l:8855580-8856349	Cluster_4409	N	580	761	135	85	449
ptg000007l:8856499-8856919	Cluster_4410	N	66	64	31	20	68
ptg000007l:8856951-8857376	Cluster_4411	N	43	111	28	27	29
ptg000007l:8857865-8858351	Cluster_4412	N	309	114	44	10	20
ptg000007l:8858616-8859044	Cluster_4413	N	15	24	70	109	7
ptg000007l:8859351-8859779	Cluster_4414	N	63	26	95	47	17
ptg000007l:8859822-8860615	Cluster_4415	N	360	327	429	135	202
ptg000007l:8863462-8863891	Cluster_4416	N	85	29	74	6	75
ptg000007l:8864423-8864844	Cluster_4417	N	32	33	67	0	35
ptg000007l:8867247-8867653	Cluster_4418	N	49	27	31	54	26
ptg000007l:8869495-8870138	Cluster_4419	N	436	288	235	472	118
ptg000007l:8871426-8872935	Cluster_4420	N	594	785	697	713	747
ptg000007l:8875858-8876286	Cluster_4421	N	25	233	36	8	11
ptg000007l:8876350-8876940	Cluster_4422	N	145	110	143	47	80
ptg000007l:8877280-8878223	Cluster_4423	N	233	188	173	40	86
ptg000007l:8878287-8879245	Cluster_4424	N	258	277	354	85	120
ptg000007l:8879324-8879753	Cluster_4425	N	88	74	68	80	67
ptg000007l:8879915-8880869	Cluster_4426	N	436	191	223	154	114
ptg000007l:8881567-8882375	Cluster_4427	N	259	298	299	110	226
ptg000007l:8882470-8883791	Cluster_4428	N	558	341	469	189	214
ptg000007l:8883820-8884726	Cluster_4429	N	419	313	380	236	359
ptg000007l:8885128-8885950	Cluster_4430	N	339	168	246	95	77
ptg000007l:8888636-8889065	Cluster_4431	N	593	9	13	5	1
ptg000007l:8894026-8895077	Cluster_4432	N	191	191	244	55	62
ptg000007l:8895529-8898288	Cluster_4433	N	795	1695	1498	210	1360
ptg000007l:8906442-8907168	Cluster_4434	N	145	140	259	34	19
ptg000007l:8907194-8908964	Cluster_4435	N	572	465	749	218	244
ptg000007l:8909895-8910313	Cluster_4436	N	19	19	36	53	6
ptg000007l:8914794-8915207	Cluster_4437	N	9	57	88	17	42
ptg000007l:8916379-8917097	Cluster_4438	N	493	198	170	135	102
ptg000007l:8917136-8917554	Cluster_4439	N	92	88	81	33	56
ptg000007l:8917564-8917992	Cluster_4440	N	95	90	126	36	43
ptg000007l:8919319-8919746	Cluster_4441	N	84	32	61	47	49
ptg000007l:8924656-8925089	Cluster_4442	N	403	164	181	327	1184
ptg000007l:8927677-8929011	Cluster_4443	N	2863	1920	2216	5218	2885
ptg000007l:8929158-8930380	Cluster_4444	N	1241	3715	1611	7397	5226
ptg000007l:8930480-8931632	Cluster_4445	N	761	7480	594	314	294
ptg000007l:8931807-8932557	Cluster_4446	N	292	266	262	141	165
ptg000007l:8932562-8933370	Cluster_4447	N	134	109	132	42	75
ptg000007l:8936925-8937355	Cluster_4448	N	111	91	121	42	33
ptg000007l:8938996-8939716	Cluster_4449	N	69	1221	74	27	512
ptg000007l:8942703-8943131	Cluster_4450	N	92	18	44	29	14
ptg000007l:8944468-8945688	Cluster_4451	N	27	1390	4041	146	4786
ptg000007l:8946323-8946723	Cluster_4452	N	34	52	90	22	43
ptg000007l:8946812-8947415	Cluster_4453	N	49	95	147	35	69
ptg000007l:8948103-8949204	Cluster_4454	N	437	493	324	797	129
ptg000007l:8949265-8949694	Cluster_4455	N	146	160	99	244	50
ptg000007l:8950055-8950471	Cluster_4456	N	9	75	40	103	12
ptg000007l:8960290-8960714	Cluster_4457	N	18	47	71	43	43
ptg000007l:8961703-8963607	Cluster_4458	N	5743	10040	851	10569	12307
ptg000007l:8964265-8964693	Cluster_4459	N	12	26	52	25	30
ptg000007l:8965199-8965635	Cluster_4460	N	123	29	22	83	15
ptg000007l:8965794-8966221	Cluster_4461	N	37	147	43	12	103
ptg000007l:8967206-8968340	Cluster_4462	N	2438	7181	7394	4058	12470
ptg000007l:8970174-8970870	Cluster_4463	N	101	138	223	112	159
ptg000007l:8976211-8976627	Cluster_4464	N	18	141	164	15	81
ptg000007l:8977164-8977586	Cluster_4465	N	18	89	157	3	84
ptg000007l:8978208-8978636	Cluster_4466	N	69	45	48	157	50
ptg000007l:8979434-8980215	Cluster_4467	N	2485	4285	3508	3509	5404
ptg000007l:8980564-8980996	Cluster_4468	N	174	162	164	49	107
ptg000007l:8981330-8982408	Cluster_4469	N	219	278	239	77	123
ptg000007l:8984020-8986336	Cluster_4470	N	799	413	570	4079	14472
ptg000007l:8986644-8987162	Cluster_4471	N	99	117	162	146	299
ptg000007l:8987697-8988119	Cluster_4472	N	90	92	66	29	39
ptg000007l:8993660-8994081	Cluster_4473	N	69	43	70	26	36
ptg000007l:8994411-8994823	Cluster_4474	N	110	44	96	15	21
ptg000007l:8999373-8999803	Cluster_4475	N	565	252	102	110	501
ptg000007l:8999979-9000409	Cluster_4476	N	1	154	14	1	2
ptg000007l:9004907-9005872	Cluster_4477	N	661	641	652	162	325
ptg000007l:9006218-9006644	Cluster_4478	N	74	44	78	19	42
ptg000007l:9006847-9007793	Cluster_4479	N	5370	4454	1920	3158	3181
ptg000007l:9008529-9009012	Cluster_4480	N	231	163	217	38	114
ptg000007l:9009323-9010501	Cluster_4481	N	2482	293	144	1705	1803
ptg000007l:9010508-9011241	Cluster_4482	N	331	228	103	1404	1415
ptg000007l:9014063-9015030	Cluster_4483	N	217	122	223	149	80
ptg000007l:9020582-9020991	Cluster_4484	N	65	39	67	15	9
ptg000007l:9022039-9022461	Cluster_4485	N	83	67	91	40	47
ptg000007l:9024208-9025085	Cluster_4486	N	191	162	172	105	103
ptg000007l:9025199-9025607	Cluster_4487	N	92	47	69	32	41
ptg000007l:9025864-9027319	Cluster_4488	N	1668	768	568	928	667
ptg000007l:9029593-9029993	Cluster_4489	N	88	38	46	15	50
ptg000007l:9031036-9031465	Cluster_4490	N	57	35	72	16	43
ptg000007l:9033107-9033789	Cluster_4491	N	226	685	141	308	181
ptg000007l:9034681-9035161	Cluster_4492	N	354	157	159	20	528
ptg000007l:9035350-9035815	Cluster_4493	N	508	1194	284	355	802
ptg000007l:9036044-9036530	Cluster_4494	N	380	614	544	352	321
ptg000007l:9037226-9038380	Cluster_4495	N	2816	4316	7641	2861	9386
ptg000007l:9041078-9041945	Cluster_4496	N	346	460	988	378	491
ptg000007l:9042772-9043194	Cluster_4497	N	54	34	103	21	11
ptg000007l:9047837-9048924	Cluster_4498	N	605	468	639	205	242
ptg000007l:9049277-9052540	Cluster_4499	N	7173	7209	9617	12221	7687
ptg000007l:9052849-9053633	Cluster_4500	N	69	40	170	89	48
ptg000007l:9067848-9069781	Cluster_4501	N	7501	372	8835	4602	219
ptg000007l:9070032-9070467	Cluster_4502	N	100	92	559	541	59
ptg000007l:9070737-9071931	Cluster_4503	N	10933	10086	94	546	4454
ptg000007l:9071976-9072779	Cluster_4504	N	1451	601	293	65	464
ptg000007l:9075845-9076400	Cluster_4505	N	138	257	104	48	59
ptg000007l:9077807-9078231	Cluster_4506	N	75	55	82	40	32
ptg000007l:9078254-9079069	Cluster_4507	N	282	334	501	45	603
ptg000007l:9079595-9080189	Cluster_4508	N	154	104	116	26	107
ptg000007l:9081611-9082408	Cluster_4509	N	176	821	173	75	110
ptg000007l:9082428-9083287	Cluster_4510	N	121	401	100	18	47
ptg000007l:9084795-9085274	Cluster_4511	N	37	36	505	94	7
ptg000007l:9085631-9086077	Cluster_4512	N	0	0	395	2	1
ptg000007l:9088504-9089806	Cluster_4513	N	300	600	306	330	406
ptg000007l:9089905-9091384	Cluster_4514	N	140	156	150	769	60
ptg000007l:9091934-9092361	Cluster_4515	N	58	26	100	21	29
ptg000007l:9097151-9097580	Cluster_4516	N	62	47	124	36	35
ptg000007l:9097706-9098741	Cluster_4517	N	31	54	53	659	28
ptg000007l:9099291-9099718	Cluster_4518	N	58	24	94	23	33
ptg000007l:9104522-9104949	Cluster_4519	N	85	79	64	25	32
ptg000007l:9106284-9107404	Cluster_4520	N	6113	7247	4903	10713	8
ptg000007l:9115639-9116461	Cluster_4521	N	29506	168	164	34	734
ptg000007l:9118638-9119066	Cluster_4522	N	89	106	90	17	41
ptg000007l:9121826-9123561	Cluster_4523	N	1997	3424	1762	729	3443
ptg000007l:9125876-9127063	Cluster_4524	N	882	758	119	826	195
ptg000007l:9127863-9128375	Cluster_4525	N	173	452	235	55	176
ptg000007l:9129121-9130479	Cluster_4526	N	2605	6384	3630	2533	7341
ptg000007l:9130533-9131021	Cluster_4527	N	24	0	975	293	8
ptg000007l:9131098-9131537	Cluster_4528	N	72	149	31	141	93
ptg000007l:9132049-9132497	Cluster_4529	N	628	659	248	393	291
ptg000007l:9132916-9133527	Cluster_4530	N	853	1255	482	551	882
ptg000007l:9133656-9134512	Cluster_4531	N	212	471	105	1311	70
ptg000007l:9134567-9135270	Cluster_4532	N	289	101	436	16	57
ptg000007l:9135653-9136113	Cluster_4533	N	134	123	32	452	31
ptg000007l:9136256-9138194	Cluster_4534	N	6556	31535	10693	5736	17711
ptg000007l:9142400-9142867	Cluster_4535	N	125	160	76	96	40
ptg000007l:9144472-9145893	Cluster_4536	N	598	2032	2531	3151	21
ptg000007l:9146431-9146861	Cluster_4537	N	4	5	3	3938	0
ptg000007l:9147364-9147921	Cluster_4538	N	22	40	27	5542	16
ptg000007l:9148024-9149421	Cluster_4539	N	117	81	115	3605	39
ptg000007l:9149531-9150107	Cluster_4540	N	81	77	91	3351	20
ptg000007l:9150383-9150810	Cluster_4541	N	52	35	53	66	26
ptg000007l:9151371-9153243	Cluster_4542	N	3031	6503	5607	2975	83
ptg000007l:9156303-9157980	Cluster_4543	N	79	196	149	8155	4132
ptg000007l:9158100-9158907	Cluster_4544	N	207	491	169	639	3696
ptg000007l:9169055-9169467	Cluster_4545	N	46	68	83	22	42
ptg000007l:9169887-9170314	Cluster_4546	N	23	32	48	16	36
ptg000007l:9171266-9171694	Cluster_4547	N	45	100	41	112	33
ptg000007l:9171968-9172395	Cluster_4548	N	41	34	169	15	23
ptg000007l:9173522-9173997	Cluster_4549	N	184	172	311	22	4
ptg000007l:9175661-9176080	Cluster_4550	N	81	89	95	19	33
ptg000007l:9177822-9178302	Cluster_4551	N	102	117	97	18	26
ptg000007l:9179524-9179953	Cluster_4552	N	65	71	152	24	28
ptg000007l:9186090-9186992	Cluster_4553	N	54	1815	92	197	135
ptg000007l:9187760-9188181	Cluster_4554	N	20	107	41	6	8
ptg000007l:9188350-9189493	Cluster_4555	N	188	418	310	43	76
ptg000007l:9191997-9192398	Cluster_4556	N	43	63	57	14	19
ptg000007l:9194455-9195345	Cluster_4557	N	361	298	357	188	211
ptg000007l:9195371-9195988	Cluster_4558	N	117	125	156	51	72
ptg000007l:9197415-9197977	Cluster_4559	N	162	479	451	116	104
ptg000007l:9198520-9199185	Cluster_4560	N	145	173	206	65	91
ptg000007l:9200795-9201361	Cluster_4561	N	289	278	287	194	96
ptg000007l:9201536-9201953	Cluster_4562	N	31	81	53	20	58
ptg000007l:9205292-9206429	Cluster_4563	N	1310	2742	2150	2511	1010
ptg000007l:9209405-9209862	Cluster_4564	N	74	95	101	25	56
ptg000007l:9210681-9211987	Cluster_4565	N	102	10785	76	36	168
ptg000007l:9212068-9213429	Cluster_4566	N	279	2905	235	53	248
ptg000007l:9213621-9214048	Cluster_4567	N	59	124	81	11	39
ptg000007l:9217215-9217644	Cluster_4568	N	6	8	90	53	1
ptg000007l:9218858-9219286	Cluster_4569	N	70	187	63	44	98
ptg000007l:9219646-9220075	Cluster_4570	N	96	95	107	12	44
ptg000007l:9222259-9222689	Cluster_4571	N	149	151	107	25	12
ptg000007l:9222860-9223571	Cluster_4572	N	100	255	148	539	132
ptg000007l:9223623-9224381	Cluster_4573	N	218	594	203	171	200
ptg000007l:9224446-9226187	Cluster_4574	N	1302	2445	2441	1333	1782
ptg000007l:9226371-9226945	Cluster_4575	N	175	187	337	119	4
ptg000007l:9235565-9235995	Cluster_4576	N	295	191	242	166	86
ptg000007l:9236885-9237439	Cluster_4577	N	352	41	56	30	40
ptg000007l:9238050-9238786	Cluster_4578	N	32	228	219	204	53
ptg000007l:9238853-9239280	Cluster_4579	N	1	23	90	20	77
ptg000007l:9239694-9240183	Cluster_4580	N	3	410	238	176	359
ptg000007l:9240585-9242971	Cluster_4581	N	2154	2679	3387	1768	2585
ptg000007l:9243660-9244660	Cluster_4582	N	208	154	479	60	90
ptg000007l:9244744-9245147	Cluster_4583	N	27	27	120	11	11
ptg000007l:9245361-9245879	Cluster_4584	N	57	50	245	19	182
ptg000007l:9251119-9251583	Cluster_4585	N	30	82	296	21	60
ptg000007l:9256097-9256511	Cluster_4586	N	31	104	31	14	22
ptg000007l:9258271-9259232	Cluster_4587	N	34	353	26	10	701
ptg000007l:9262279-9262710	Cluster_4588	N	65	147	1	11	0
ptg000007l:9274869-9275286	Cluster_4589	N	79	82	66	29	16
ptg000007l:9275609-9276011	Cluster_4590	N	7	67	22	16	18
ptg000007l:9277172-9277601	Cluster_4591	N	85	101	88	45	34
ptg000007l:9277670-9280021	Cluster_4592	N	974	2055	1154	1209	443
ptg000007l:9280026-9283046	Cluster_4593	N	1380	1802	1680	607	558
ptg000007l:9283471-9283965	Cluster_4594	N	84	120	146	25	47
ptg000007l:9284130-9285106	Cluster_4595	N	6084	626	1452	79	77
ptg000007l:9285893-9286889	Cluster_4596	N	658	270	130	82	103
ptg000007l:9287913-9291172	Cluster_4597	N	153	48189	14073	16867	37044
ptg000007l:9291963-9292390	Cluster_4598	N	42	59	78	26	99
ptg000007l:9293102-9294695	Cluster_4599	N	7519	1185	10210	8233	3574
ptg000007l:9294971-9295637	Cluster_4600	N	169	1561	307	183	711
ptg000007l:9297844-9298764	Cluster_4601	N	292	171	260	78	295
ptg000007l:9299832-9300343	Cluster_4602	N	50	98	692	55	96
ptg000007l:9300472-9300899	Cluster_4603	N	94	52	85	14	43
ptg000007l:9301138-9301551	Cluster_4604	N	43	33	75	13	18
ptg000007l:9302835-9303457	Cluster_4605	N	391	42	92	2	36
ptg000007l:9305046-9306921	Cluster_4606	N	2865	2292	3111	610	776
ptg000007l:9306999-9307769	Cluster_4607	N	958	302	883	658	113
ptg000007l:9309787-9310582	Cluster_4608	N	806	154	549	613	106
ptg000007l:9311740-9312175	Cluster_4609	N	68	15	896	2	210
ptg000007l:9314947-9315375	Cluster_4610	N	177	63	158	71	86
ptg000007l:9315724-9316155	Cluster_4611	N	67	50	86	28	49
ptg000007l:9318420-9320342	Cluster_4612	N	1219	1146	1115	647	12775
ptg000007l:9320543-9321130	Cluster_4613	N	46	69	126	28	103
ptg000007l:9321677-9322173	Cluster_4614	N	79	190	112	24	17
ptg000007l:9323283-9323972	Cluster_4615	N	2804	1325	2162	1160	823
ptg000007l:9324457-9324969	Cluster_4616	N	131	68	149	79	37
ptg000007l:9325689-9326089	Cluster_4617	N	150	8	16	16	6
ptg000007l:9326736-9327143	Cluster_4618	N	42	49	59	11	59
ptg000007l:9327276-9328417	Cluster_4619	N	899	599	199	381	217
ptg000007l:9328760-9329264	Cluster_4620	N	118	93	111	35	22
ptg000007l:9329277-9329697	Cluster_4621	N	88	108	141	50	49
ptg000007l:9329723-9330947	Cluster_4622	N	286	646	403	109	152
ptg000007l:9335581-9336987	Cluster_4623	N	195	376	329	140	228
ptg000007l:9337256-9337730	Cluster_4624	N	63	60	176	48	21
ptg000007l:9337985-9339036	Cluster_4625	N	120	604	39	11	47
ptg000007l:9342302-9342796	Cluster_4626	N	152	274	51	380	16
ptg000007l:9342830-9343259	Cluster_4627	N	114	185	164	815	28
