Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-145-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-150-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-173-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-178-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed
ntLink_8:1346454-1346882	Cluster_73	N	77	107	138	133	166
ntLink_8:1355145-1355574	Cluster_74	N	1	118	11	1	0
ntLink_8:1391723-1392153	Cluster_75	N	33	16	35	1323	136
ntLink_8:1470315-1470744	Cluster_76	N	17	36	222	91	6
ntLink_8:1519713-1520140	Cluster_77	N	52	28	175	5	10
ntLink_8:1520660-1521642	Cluster_78	N	313	208	217	9	190
ntLink_8:1665622-1666050	Cluster_79	N	43	38	76	36	1
ntLink_8:1667995-1668596	Cluster_80	N	212	244	134	191	2
ntLink_8:1673715-1674143	Cluster_81	N	2	0	5	240	1
ntLink_8:1674549-1674975	Cluster_82	N	67	3	44	53	3
ntLink_8:1675927-1676353	Cluster_83	N	1	12	4	3	247
ntLink_8:1681560-1682495	Cluster_84	N	466	100	136	59	117
ntLink_8:1711533-1712046	Cluster_85	N	20	123	61	23	348
ntLink_8:1809200-1811159	Cluster_86	N	2142	586	215	2871	23
ntLink_8:1811189-1812101	Cluster_87	N	526	4	101	485	17
ntLink_8:1813716-1814162	Cluster_88	N	357	26	46	192	13
ntLink_8:1817852-1818270	Cluster_89	N	12	17	7	40	5
ntLink_8:1821365-1823299	Cluster_90	N	1146	14	2414	6	2462
ntLink_8:1826789-1827214	Cluster_91	N	12	1	5	116	27
ntLink_8:1842969-1843397	Cluster_92	N	153	22	5	24	42
ntLink_8:1947100-1947642	Cluster_93	N	880	461	665	861	660
ntLink_8:1953231-1953771	Cluster_94	N	541	1089	446	401	420
ntLink_8:1954788-1955330	Cluster_95	N	644	974	649	1702	236
ntLink_8:2025990-2026419	Cluster_96	N	543	194	116	0	0
ntLink_8:2029859-2030307	Cluster_97	N	14	320	0	2	0
ntLink_8:2040768-2041261	Cluster_98	N	93	342	42	178	71
ntLink_8:2057864-2058290	Cluster_99	N	0	98	1	48	7
ntLink_8:2064843-2065269	Cluster_100	N	0	0	158	1	0
ntLink_8:2071534-2072029	Cluster_101	N	23	476	36	270	127
ntLink_8:2090224-2091498	Cluster_102	N	1177	561	1417	3894	284
ntLink_8:2102576-2103004	Cluster_103	N	605	645	23	0	1
ntLink_8:2154123-2154553	Cluster_104	N	224	2	108	161	0
ntLink_8:2154740-2155453	Cluster_105	N	146	2	208	682	1
ntLink_8:2160036-2160478	Cluster_106	N	1	59	37	59	156
ntLink_8:2163166-2163713	Cluster_107	N	274	35	575	423	160
ntLink_8:2164611-2165343	Cluster_108	N	38	36	1	116	153
ntLink_8:2188542-2188970	Cluster_109	N	0	7	61	59	6
ntLink_8:2189110-2189603	Cluster_110	N	1	442	195	318	117
ntLink_8:2206416-2206844	Cluster_111	N	1	0	1	94	0
ntLink_8:2209567-2210602	Cluster_112	N	2286	18	27	63	59
ntLink_8:2216268-2216693	Cluster_113	N	2	45	0	1	79
ntLink_8:2231021-2231815	Cluster_114	N	179	1259	80	1	46
ntLink_8:2295023-2295447	Cluster_115	N	49	39	48	41	19
ntLink_8:2301711-2302152	Cluster_116	N	41	22	37	212	1
ntLink_8:2307827-2308276	Cluster_117	N	1034	307	165	183	938
ntLink_8:2393593-2394088	Cluster_118	N	27	48	84	57	14
ntLink_8:2430331-2430772	Cluster_119	N	154	51	561	572	110
ntLink_8:2440786-2441213	Cluster_120	N	9	62	0	126	43
ntLink_8:2450002-2450484	Cluster_121	N	115	1157	149	2669	6
ntLink_8:2481321-2481816	Cluster_122	N	591	144	665	888	23
ntLink_8:2501707-2502119	Cluster_123	N	4	64	13	20	0
ntLink_8:2503527-2503952	Cluster_124	N	109	31	5	52	184
ntLink_8:2511225-2511672	Cluster_125	N	0	306	167	194	0
ntLink_8:2532473-2532900	Cluster_126	N	122	31	0	2	0
ntLink_8:2567091-2567510	Cluster_127	N	16	18	19	28	18
ntLink_8:2613025-2613454	Cluster_128	N	44	12	111	154	238
ntLink_8:2637298-2637707	Cluster_129	N	1	0	42	120	1
ntLink_8:2640702-2641129	Cluster_130	N	2	87	0	1	0
ntLink_8:2644081-2644651	Cluster_131	N	398	0	0	0	0
ntLink_8:2651362-2651932	Cluster_132	N	0	1	340	253	1133
ntLink_8:2664864-2665413	Cluster_133	N	981	831	671	9	253
ntLink_8:2676682-2677112	Cluster_134	N	1001	693	278	946	535
ntLink_8:2691884-2692312	Cluster_135	N	6	394	4	13	1
ntLink_8:2762638-2763071	Cluster_136	N	173	1890	2	2	1539
ntLink_8:2763235-2763658	Cluster_137	N	74	24	33	7	11
ntLink_8:2781524-2781950	Cluster_138	N	0	141	2	0	0
ntLink_8:2782199-2782632	Cluster_139	N	2	1	163	54	92
ntLink_8:2816029-2816459	Cluster_140	N	29	108	100	1	2
ntLink_8:2824458-2824887	Cluster_141	N	8664	8	2753	3	4
ntLink_8:2845749-2846244	Cluster_142	N	122	577	164	330	89
ntLink_8:2950236-2950736	Cluster_143	N	792	1	38	241	12
ntLink_8:2972279-2972709	Cluster_144	N	323	15	0	0	0
ntLink_8:3000259-3000751	Cluster_145	N	6182	5	0	24	4
ntLink_8:3002106-3002536	Cluster_146	N	168	0	0	1	0
ntLink_8:3030879-3031401	Cluster_147	N	204	458	1350	265	1487
ntLink_8:3037730-3038159	Cluster_148	N	1	4	87	0	1
ntLink_8:3052783-3053211	Cluster_149	N	6	395	3	0	1
ntLink_8:3069542-3070062	Cluster_150	N	5967	25	11	2042	6
ntLink_8:3147520-3148170	Cluster_151	N	125	140	1	72	0
ntLink_8:3152390-3153094	Cluster_152	N	201	72	134	25	20
ntLink_8:3168524-3168952	Cluster_153	N	20	697	0	641	0
ntLink_8:3180279-3180706	Cluster_154	N	16	2	119	0	3
ntLink_8:3196851-3197345	Cluster_155	N	8807	13728	600	4118	705
ntLink_8:3219145-3219574	Cluster_156	N	175	559	90	0	444
ntLink_8:3226020-3226532	Cluster_157	N	39	172	57	253	110
ntLink_8:3256896-3257326	Cluster_158	N	37	76	90	2	1
ntLink_8:3265363-3265793	Cluster_159	N	140	929	1114	553	923
ntLink_8:3279389-3279885	Cluster_160	N	1	0	751	1	708
ntLink_8:3285526-3285955	Cluster_161	N	1151	3	2	272	16
ntLink_8:3290312-3290808	Cluster_162	N	212	928	3167	2153	11
ntLink_8:3309112-3309608	Cluster_163	N	1	1	752	2	708
ntLink_8:3327867-3328296	Cluster_164	N	174	1	95	2025	0
ntLink_8:3342879-3343448	Cluster_165	N	0	81	1358	2518	1469
ntLink_8:3392661-3393157	Cluster_166	N	193	12963	2923	1705	3623
ntLink_8:3399597-3400083	Cluster_167	N	0	17	57	249	110
ntLink_8:3419464-3419946	Cluster_168	N	507	94	82	300	125
ntLink_8:3421548-3421975	Cluster_169	N	1	163	0	3	19
ntLink_8:3441286-3441808	Cluster_170	N	61	173	69	44	37
ntLink_8:3477485-3477921	Cluster_171	N	30	84	56	64	9
ntLink_8:3484392-3484820	Cluster_172	N	0	0	116	0	1
ntLink_8:3542985-3543542	Cluster_173	N	613	220	332	596	348
ntLink_8:3595943-3597248	Cluster_174	N	0	641	1757	182	2
ntLink_8:3598960-3599503	Cluster_175	N	0	103	391	34	18
ntLink_8:3599832-3601475	Cluster_176	N	0	4534	5152	2273	712
ntLink_8:3627173-3627667	Cluster_177	N	256	127	35	930	81
ntLink_8:3667500-3667926	Cluster_178	N	1	28	18	22	32
ntLink_8:3725230-3725673	Cluster_179	N	0	297	163	185	0
ntLink_8:3839859-3840511	Cluster_180	N	845	928	728	1101	539
ntLink_8:4046474-4047208	Cluster_181	N	0	22	89	620	746
ntLink_8:4161997-4162414	Cluster_182	N	0	1	121	1	1
ntLink_8:4249875-4250302	Cluster_183	N	168	4	1	65	2
ntLink_8:4282797-4283223	Cluster_184	N	6	83	0	0	0
ntLink_8:4284259-4284847	Cluster_185	N	251	8	321	1	2
ntLink_8:4366347-4366774	Cluster_186	N	6	64	2	20	134
ntLink_8:4386273-4386702	Cluster_187	N	26	3	94	27	9
ntLink_8:4402100-4402616	Cluster_188	N	231	19	242	77	275
ntLink_8:4402871-4404277	Cluster_189	N	1615	1729	4884	196	451
ntLink_8:4409205-4409630	Cluster_190	N	2	22	22	19	30
