ACR.140	ACR.145	ACR.150	ACR.173	ACR.178
FUN_035039	9.38975656613271	9.22041685299514	9.22986031996032	9.37566269445611	9.56381748101262
FUN_035038	11.0809533318902	10.0501629533439	10.3366974554438	10.3824582290493	10.3924407950394
FUN_035031	7.83398641888178	7.41996148990889	7.8296164336801	7.83442591216399	7.76635937722934
FUN_035030	8.50871919033763	8.96371003077282	8.09618011025693	8.09831223488086	8.13558242216807
FUN_035033	10.4751108297271	9.1414099220726	10.0063897961684	10.1149805907687	9.25791401996748
FUN_035032	10.6546303097251	10.6491973320343	10.7328578228359	10.7963300396841	10.6544703040804
FUN_035035	9.46962979092062	8.97658778327104	9.13869048061971	9.44397325628655	8.43708610185015
FUN_035034	11.5759046010343	12.0256233254615	12.1752143232849	11.5682242837612	11.7979670654272
FUN_035037	12.1378715104151	12.3899916588018	12.1419149624929	12.0769730997187	11.6703419760203
FUN_035036	10.2235382173091	9.11299675719431	9.91633174039909	9.70537025556071	10.0931847933333
FUN_028149	12.525416838984	12.3084969082804	12.3134582150588	12.4291803165726	12.7295703678949
FUN_028148	10.875425518947	10.9762557202997	10.9127929690541	11.185422565313	11.2565080138728
FUN_028143	11.0247285466769	11.2040328962758	11.0837217072126	10.9488617219331	11.3099678866805
FUN_003344	7.11542211332439	7.11542211332439	7.56986362393348	7.11542211332439	7.11542211332439
FUN_028147	7.4695605517308	7.11542211332439	7.40354680539176	7.11542211332439	7.11542211332439
FUN_028146	7.11542211332439	7.11542211332439	7.49610364401444	7.11542211332439	7.72049733832563
FUN_003340	7.86392166491421	7.29146539150811	8.12520490773243	7.31178074876522	9.03275500855486
FUN_028144	10.1952442677153	9.52976682134834	9.89930993701832	9.65412886987552	10.0568330122851
FUN_008019	9.35147641928815	9.63046013954883	9.61491873311838	8.60046288713714	9.63234993279969
FUN_013332	7.84911966699421	7.54531369477972	7.72314006768297	7.95264579266524	7.91381433763802
FUN_041253	7.11542211332439	7.11542211332439	7.11542211332439	7.31178074876522	7.55327070438393
