,source,target,region,Alignment,energy,total_bp_shared,query_similar,subject_similar,PCC.cor,PCC_magnitude,PCC_direction,p_value
20,apul-mir-novel-26,FUN_008327,3UTR,FUN_008327;2 19;645 665,-21.33,17,64.71%,88.24%,-0.969079550705252,0.969079550705252,-1,0.00649647778506713
21,apul-mir-novel-19,FUN_003440,3UTR,FUN_003440;2 21;823 843,-24.38,19,63.16%,84.21%,0.967855742230399,0.967855742230399,1,0.00688468077332657
22,apul-mir-novel-28,FUN_028212,3UTR,FUN_028212;2 22;861 883,-21.3,20,65.00%,85.00%,0.961211818569935,0.961211818569935,1,0.00911674719626504
23,apul-mir-2022,FUN_012601,3UTR,FUN_012601;2 19;420 444,-20.51,19,63.16%,89.47%,-0.987937302187941,0.987937302187941,-1,0.00158749787882643
24,apul-mir-novel-9,FUN_016637,3UTR,FUN_016637;2 15;64 86,-20.82,13,84.62%,92.31%,0.965113242711184,0.965113242711184,1,0.00778106354057356
25,apul-mir-novel-9,FUN_039073,3UTR,FUN_039073;2 22;50 72,-20.65,20,55.00%,75.00%,0.965113242711184,0.965113242711184,1,0.00778106354057353
26,apul-mir-novel-34,FUN_031571,3UTR,FUN_031571;2 15;403 425,-21.44,14,92.86%,92.86%,0.989849332448064,0.989849332448064,1,0.00122578245722519
27,apul-mir-novel-10,FUN_012580,3UTR,FUN_012580;2 15;158 179,-21.01,13,92.31%,100.00%,-0.971424618827498,0.971424618827498,-1,0.00577366509372755
28,apul-mir-novel-5,FUN_040689,3UTR,FUN_040689;2 18;593 616,-21.54,16,81.25%,93.75%,0.98897179438378,0.98897179438378,1,0.00138794229797963
29,apul-mir-2028,FUN_003898,3UTR,FUN_003898;2 21;527 549,-22.05,20,75.00%,80.00%,0.979630113873169,0.979630113873169,1,0.00347924745250208
30,apul-mir-2036,FUN_014804,3UTR,FUN_014804;2 19;164 191,-21.21,22,77.27%,77.27%,0.959657908317892,0.959657908317892,1,0.00966775954318747
31,apul-mir-novel-29,FUN_022543,3UTR,FUN_022543;2 22;275 297,-21.16,20,70.00%,85.00%,-0.960219481549203,0.960219481549203,-1,0.00946740491407129
32,apul-mir-novel-29,FUN_031944,3UTR,FUN_031944;2 23;568 588,-27.7,21,71.43%,85.71%,-0.970032542846498,0.970032542846498,-1,0.00619935937556317
33,apul-mir-novel-16,FUN_036658,3UTR,FUN_036658;2 20;21 43,-20.3,19,78.95%,84.21%,-0.980395448057802,0.980395448057802,-1,0.00328539797028087
34,apul-mir-novel-15,FUN_013801,3UTR,FUN_013801;2 18;370 392,-22.29,17,76.47%,76.47%,0.973950013786862,0.973950013786862,1,0.00502736934165484
35,apul-mir-novel-15,FUN_013936,3UTR,FUN_013936;2 18;250 272,-22.29,17,76.47%,76.47%,0.978580789954302,0.978580789954302,1,0.00375092828341029
36,apul-mir-novel-9,FUN_034898,3UTR,FUN_034898;2 21;360 381,-20.02,20,70.00%,75.00%,0.963993725212303,0.963993725212303,1,0.00815720831608488
37,apul-mir-2023,FUN_002342,3UTR,FUN_002342;2 20;692 713,-20.87,19,63.16%,73.68%,0.973893925144242,0.973893925144242,1,0.00504357204244837
38,apul-mir-novel-34,FUN_037296,3UTR,FUN_037296;2 21;503 519,-20.93,19,68.42%,73.68%,0.970911358215383,0.970911358215383,1,0.00592945735113148
39,apul-mir-novel-9,FUN_002032,3UTR,FUN_002032;2 22;878 901,-27.81,21,76.19%,85.71%,0.965113242711184,0.965113242711184,1,0.00778106354057353
40,apul-mir-novel-28,FUN_041829,3UTR,FUN_041829;2 23;97 122,-27.09,23,69.57%,82.61%,0.96870312590872,0.96870312590872,1,0.00661509267158132
41,apul-mir-2050,FUN_027208,3UTR,FUN_027208;2 19;713 733,-20.44,17,88.24%,88.24%,0.990139574386811,0.990139574386811,1,0.00117363744401445
42,apul-mir-novel-9,FUN_040522,3UTR,FUN_040522;2 21;162 185,-22.03,20,65.00%,80.00%,0.961191758006318,0.961191758006318,1,0.00912379283291792
43,apul-mir-novel-15,FUN_013771,3UTR,FUN_013771;2 18;385 407,-21.17,17,76.47%,76.47%,0.978580789954302,0.978580789954302,1,0.00375092828341026
44,apul-mir-novel-15,FUN_013777,3UTR,FUN_013777;2 18;250 272,-22.29,17,76.47%,76.47%,0.978580789954302,0.978580789954302,1,0.00375092828341026
45,apul-mir-novel-17,FUN_018894,3UTR,FUN_018894;2 11;84 105,-20.34,9,100.00%,100.00%,-0.969058804392155,0.969058804392155,-1,0.00650299672929437
46,apul-mir-novel-21,FUN_008423,3UTR,FUN_008423;2 17;158 182,-21.83,18,77.78%,77.78%,0.977388854104582,0.977388854104582,1,0.00406760929145233
47,apul-mir-novel-9,FUN_037136,3UTR,FUN_037136;2 22;48 70,-21.13,20,60.00%,80.00%,0.965113242711184,0.965113242711184,1,0.00778106354057353
