,id,type
248,FUN_014681,gene
249,FUN_004088,gene
250,FUN_002849,gene
251,FUN_033146,gene
252,FUN_042954,gene
253,FUN_013759,gene
254,FUN_035870,gene
255,FUN_043410,gene
256,FUN_009178,gene
257,FUN_028837,gene
258,FUN_006081,gene
259,FUN_019442,gene
260,FUN_028974,gene
261,FUN_004001,gene
262,FUN_032813,gene
263,FUN_017754,gene
264,FUN_022647,gene
265,FUN_008116,gene
266,FUN_014246,gene
267,FUN_037537,gene
268,FUN_037094,gene
269,FUN_037096,gene
270,FUN_033570,gene
271,FUN_041715,gene
272,FUN_012178,gene
273,FUN_020870,gene
274,FUN_022469,gene
275,FUN_024551,gene
276,FUN_022664,gene
277,FUN_039988,gene
278,FUN_024475,gene
279,FUN_000484,gene
280,FUN_005665,gene
281,FUN_017622,gene
282,FUN_018376,gene
283,FUN_040150,gene
284,FUN_038158,gene
285,FUN_016048,gene
286,FUN_025704,gene
287,FUN_020627,gene
288,FUN_031987,gene
289,FUN_014575,gene
290,FUN_023141,gene
291,FUN_026831,gene
292,FUN_026837,gene
293,FUN_013919,gene
294,FUN_018740,gene
295,FUN_025322,gene
296,FUN_006054,gene
297,FUN_032653,gene
298,FUN_001853,gene
299,FUN_001948,gene
300,FUN_002098,gene
301,FUN_000607,gene
302,FUN_000634,gene
303,FUN_000185,gene
304,FUN_003924,gene
305,FUN_004350,gene
306,FUN_004630,gene
307,FUN_004695,gene
308,FUN_004887,gene
309,FUN_004905,gene
310,FUN_002363,gene
311,FUN_006513,gene
312,FUN_006955,gene
313,FUN_007037,gene
314,FUN_007038,gene
315,FUN_005890,gene
316,FUN_006140,gene
317,FUN_008324,gene
318,FUN_008755,gene
319,FUN_007895,gene
320,FUN_008023,gene
321,FUN_008973,gene
322,FUN_010134,gene
323,FUN_009363,gene
324,FUN_009518,gene
325,FUN_011644,gene
326,FUN_010663,gene
327,FUN_010908,gene
328,FUN_013422,gene
329,FUN_014041,gene
330,FUN_014058,gene
331,FUN_012115,gene
332,FUN_012225,gene
333,FUN_012231,gene
334,FUN_012293,gene
335,FUN_014750,gene
336,FUN_014909,gene
337,FUN_015023,gene
338,FUN_014505,gene
339,FUN_016110,gene
340,FUN_016037,gene
341,FUN_016423,gene
342,FUN_016596,gene
343,FUN_017950,gene
344,FUN_019769,gene
345,FUN_020616,gene
346,FUN_020838,gene
347,FUN_020894,gene
348,FUN_022669,gene
349,FUN_022712,gene
350,FUN_022138,gene
351,FUN_022243,gene
352,FUN_022800,gene
353,FUN_023341,gene
354,FUN_022863,gene
355,FUN_024838,gene
356,FUN_025100,gene
357,FUN_024069,gene
358,FUN_024175,gene
359,FUN_025304,gene
360,FUN_025383,gene
361,FUN_025643,gene
362,FUN_026675,gene
363,FUN_027918,gene
364,FUN_028143,gene
365,FUN_027731,gene
366,FUN_029262,gene
367,FUN_031641,gene
368,FUN_032182,gene
369,FUN_029557,gene
370,FUN_032682,gene
371,FUN_033343,gene
372,FUN_033654,gene
373,FUN_034727,gene
374,FUN_033843,gene
375,FUN_033896,gene
376,FUN_033971,gene
377,FUN_033691,gene
378,FUN_035655,gene
379,FUN_036335,gene
380,FUN_035068,gene
381,FUN_035253,gene
382,FUN_035311,gene
383,FUN_035524,gene
384,FUN_037444,gene
385,FUN_037510,gene
386,FUN_037695,gene
387,FUN_036878,gene
388,FUN_038204,gene
389,FUN_038277,gene
390,FUN_041624,gene
391,FUN_041703,gene
392,FUN_042031,gene
393,FUN_042136,gene
394,FUN_043281,gene
395,FUN_001846,gene
396,FUN_001874,gene
397,FUN_002335,gene
398,FUN_005122,gene
399,FUN_002808,gene
400,FUN_008658,gene
401,FUN_008735,gene
402,FUN_010661,gene
403,FUN_011675,gene
404,FUN_012429,gene
405,FUN_014617,gene
406,FUN_014485,gene
