transcript_id,RNA-ACR-140,RNA-ACR-145,RNA-ACR-150,RNA-ACR-173,RNA-ACR-178
FUN_011167-T1,0,3,1,1,31
FUN_019707-T1,1,1,1,0,1
FUN_016166-T1,3641,2419,1316,3126,2769
FUN_031113-T1,0,0,0,0,0
FUN_027291-T1,28,31,60,105,0
FUN_014275-T1,0,45,0,0,24
FUN_005884-T1,556,377,400,488,297
FUN_030146-T1,0,0,0,0,0
FUN_025322-T1,585,297,184,602,701
FUN_013935-T1,71,14,0,0,0
FUN_003388-T1,0,0,27,0,29
FUN_019670-T1,0,0,0,0,0
FUN_018973-T1,0,0,0,0,0
FUN_001954-T1,3938,4887,2390,5131,2806
FUN_038190-T1,89,0,323,541,642
FUN_003925-T1,2800,839,1558,4440,2861
FUN_032135-T1,7,0,0,19,13
FUN_009284-T1,9,0,0,16,27
FUN_021308-T1,0,0,0,0,0
FUN_001051-T1,2488,1715,1424,2509,1796
FUN_036002-T1,481,340,294,220,398
FUN_013387-T1,2734,1593,1554,2487,2031
FUN_009639-T1,167,113,149,59,52
FUN_012557-T1,2476,2176,896,1165,912
FUN_015359-T1,214,53,34,122,31
FUN_026830-T1,0,0,0,0,0
FUN_041538-T1,587,466,386,561,395
FUN_016137-T1,1189,975,529,809,623
FUN_022423-T1,953,1441,958,2087,2553
FUN_025966-T1,0,0,0,0,0
FUN_043448-T1,1309,591,555,743,633
FUN_006206-T1,0,0,0,0,0
FUN_034088-T1,4530,2537,1893,2584,1911
FUN_014193-T1,0,0,0,0,0
FUN_021838-T1,0,0,0,0,3
FUN_009605-T1,0,0,0,11,0
FUN_040409-T1,89,76,26,216,176
FUN_020708-T1,0,0,0,0,1
FUN_027283-T1,0,3,0,0,0
FUN_042213-T1,0,21,12,0,50
FUN_003679-T1,0,0,0,0,0
FUN_025456-T1,63,447,682,0,281
FUN_032844-T1,0,0,0,4,0
FUN_021501-T1,0,0,0,0,0
FUN_021197-T1,337,444,340,562,482
FUN_027374-T1,0,0,0,1,0
FUN_041263-T1,15,15,0,21,33
FUN_038999-T1,0,0,0,0,9
FUN_005109-T1,179,86,77,80,55
FUN_011074-T1,0,0,0,0,0
FUN_023466-T1,0,12,0,0,135
FUN_023541-T1,0,0,0,0,0
FUN_010480-T1,0,0,0,0,5
FUN_009709-T1,6,14,0,10,43
FUN_024914-T1,0,0,0,0,0
FUN_020973-T1,0,0,0,0,5
FUN_009478-T1,0,0,0,0,0
FUN_010181-T1,0,0,0,0,0
FUN_004450-T1,445,520,189,669,357
FUN_016675-T1,14,11,34,70,22
FUN_013212-T1,0,0,1,0,0
FUN_021998-T1,0,0,0,0,0
FUN_025754-T1,930,486,166,632,504
FUN_015613-T1,0,0,0,0,0
FUN_028435-T1,16,0,6,7413,6
FUN_040787-T1,0,0,12,0,19
FUN_042339-T1,0,0,17,0,10
FUN_018460-T1,0,0,0,0,0
FUN_006589-T1,42,11,11,55,49
FUN_024348-T1,233,308,236,386,314
FUN_032827-T1,0,14,0,3,0
FUN_005057-T1,2434,2007,1922,3740,2289
FUN_025286-T1,0,26,0,0,0
FUN_035429-T1,0,46,36,44,20
FUN_002753-T1,0,0,0,0,0
FUN_003993-T1,146,133,593,0,603
FUN_040004-T1,4662,2852,1771,3102,1287
FUN_004449-T1,973,966,657,1042,667
FUN_021688-T1,0,0,0,0,1
FUN_001012-T1,2291,942,992,1615,1799
FUN_042701-T1,0,0,0,0,0
FUN_030033-T1,29,0,0,2,7
FUN_019303-T1,1,0,0,1,0
FUN_004858-T1,0,0,0,0,0
FUN_017650-T1,0,0,0,0,0
FUN_030944-T1,0,0,0,0,1
FUN_017134-T1,0,0,1,0,1
FUN_002098-T1,0,0,0,15,27
FUN_024874-T1,0,0,0,0,0
FUN_042376-T1,4,0,0,0,0
FUN_034847-T1,476,429,459,594,741
FUN_011689-T1,2362,1625,948,3140,3037
FUN_019982-T1,0,0,0,0,0
FUN_012391-T1,561,656,325,249,282
FUN_000177-T1,0,0,2,0,16
FUN_013509-T1,0,0,0,0,0
FUN_027240-T1,0,0,13,7,3
FUN_012139-T1,2084,1240,1077,2339,1805
FUN_015667-T1,0,0,0,0,0
FUN_006085-T1,0,1,1,1,2
FUN_006243-T1,416,510,530,783,715
FUN_023059-T1,202,704,274,279,351
FUN_031035-T1,0,0,0,0,0
FUN_028749-T1,0,0,0,0,0
FUN_033988-T1,719,752,431,546,504
FUN_036729-T1,0,0,0,0,0
FUN_036869-T1,0,0,5,0,37
FUN_014986-T1,2974,2589,2329,2344,1796
FUN_025973-T1,1167,1032,474,2359,1038
FUN_023873-T1,69,23,12,15,69
FUN_016755-T1,1,1,0,1,1
FUN_024169-T1,87,37,54,20,90
FUN_043196-T1,0,6,0,3,6
FUN_022909-T1,1224,695,456,1221,873
FUN_040900-T1,0,9,7,0,155
FUN_003828-T1,11,11,3,4,6
FUN_000394-T1,2563,2185,910,1984,1212
FUN_035959-T1,2,5,2,2,4
FUN_007533-T1,0,0,0,0,2
FUN_002683-T1,4144,2918,3877,9307,6350
FUN_004123-T1,530,192,184,470,197
FUN_035285-T1,2492,1758,1002,1307,886
FUN_008419-T1,1090,25,855,24,7
FUN_013981-T1,0,0,0,0,7
FUN_022352-T1,0,10,0,1,17
FUN_025108-T1,6281,4295,3076,5528,5292
FUN_041021-T1,0,0,0,0,0
FUN_017539-T1,0,0,1,1,0
FUN_018665-T1,184,35,32,65,352
FUN_014753-T1,1179,962,736,1015,830
FUN_041234-T1,0,0,0,0,0
FUN_028679-T1,47,12,7,8,34
FUN_011408-T1,63,3,57,14,235
FUN_030418-T1,0,0,0,0,2
FUN_004217-T1,17,0,0,0,0
FUN_043481-T1,1231,1178,1146,1624,1929
FUN_039022-T1,0,0,19,2,6
FUN_006393-T1,0,0,0,0,0
FUN_003325-T1,0,0,0,0,0
FUN_006112-T1,0,9,0,0,3
FUN_022217-T1,1921,1068,1505,2980,2715
FUN_016747-T1,0,0,0,0,0
FUN_029663-T1,0,1,1,3,0
FUN_028399-T1,0,23,0,190,235
FUN_020700-T1,0,0,0,0,0
FUN_003168-T1,0,0,0,0,0
FUN_029190-T1,1161,684,511,1024,978
FUN_035893-T1,86,39,53,117,100
FUN_040791-T1,0,0,0,0,0
FUN_039220-T1,3,0,3,0,27
FUN_021748-T1,0,0,0,0,0
FUN_031441-T1,11,5,21,0,10
FUN_012314-T1,26393,41578,12053,21021,2442
FUN_042695-T1,0,0,3,0,3
FUN_034099-T1,189,234,190,345,243
FUN_005135-T1,457,60,257,732,483
FUN_011000-T1,791,857,554,682,446
FUN_016522-T1,0,0,0,0,0
FUN_005930-T1,0,0,27,0,0
FUN_035228-T1,203,239,170,250,346
FUN_004840-T1,996,1030,1005,1052,1495
FUN_014060-T1,0,0,0,0,0
FUN_004849-T1,6,0,43,22,103
FUN_034168-T1,0,0,0,0,0
FUN_001302-T1,3172,2024,1109,3300,2448
FUN_007259-T1,36,1,29,0,41
FUN_031796-T1,13,26,0,45,0
FUN_009951-T1,0,0,0,0,32
FUN_009035-T1,3327,2202,1345,3051,2458
FUN_036056-T1,75,19,25,50,20
FUN_040595-T1,0,0,0,0,0
FUN_010415-T1,0,0,0,0,0
FUN_019220-T1,0,0,0,0,0
FUN_002945-T1,0,0,0,0,0
FUN_006137-T1,0,0,0,0,0
FUN_037242-T1,0,0,0,0,0
FUN_037019-T1,28,95,85,154,176
FUN_021143-T1,15,0,0,0,41
FUN_033017-T1,149,148,219,161,265
FUN_043836-T1,1,0,0,0,0
FUN_004470-T1,46,52,46,45,121
FUN_002090-T1,0,0,8,0,0
FUN_014947-T1,3,0,0,6,21
FUN_011234-T1,1,0,0,0,1
FUN_022034-T1,38,4,21,0,37
FUN_011685-T1,144,47,53,163,72
FUN_006273-T1,1,1,0,0,0
FUN_020382-T1,0,0,0,0,0
FUN_006143-T1,0,0,5,0,161
FUN_010701-T1,1208,582,499,977,1001
FUN_042392-T1,0,0,0,0,0
FUN_041157-T1,20,3,4,13,18
FUN_012942-T1,0,0,0,0,0
FUN_044034-T1,956,4426,8296,4262,4951
FUN_027417-T1,0,0,0,0,0
FUN_001924-T1,196,7,207,49,497
FUN_030399-T1,6,0,6,1,26
FUN_029530-T1,192,111,147,232,272
FUN_035196-T1,22,0,26,27,35
FUN_003125-T1,0,0,0,0,0
FUN_035618-T1,1970,1663,1085,2226,2252
FUN_011366-T1,0,0,15,0,36
FUN_026414-T1,364,225,240,614,221
FUN_042401-T1,1,1,0,0,1
FUN_031402-T1,0,0,0,0,0
FUN_021873-T1,1,0,0,0,5
FUN_001003-T1,406,375,285,217,56
FUN_035348-T1,6138,7132,1505,4478,837
FUN_022564-T1,1,0,0,1,1
FUN_024381-T1,1105,641,625,590,307
FUN_021012-T1,100,43,79,70,70
FUN_041217-T1,0,0,0,0,0
FUN_034468-T1,2,0,3,3,2
FUN_041228-T1,0,0,0,0,0
FUN_032112-T1,802,586,457,1183,639
FUN_013077-T1,75,116,28,108,136
FUN_021588-T1,0,0,1,0,0
FUN_032278-T1,1253,565,740,580,868
FUN_035122-T1,667,362,503,728,449
FUN_033018-T1,3321,397,330,9,238
FUN_025405-T1,315,67,54,132,71
FUN_005452-T1,14,1,4,0,160
FUN_026970-T1,0,0,0,0,0
FUN_032722-T1,0,0,0,0,1
FUN_036033-T1,0,14,27,19,52
FUN_022575-T1,61,341,224,555,131
FUN_021781-T1,0,0,0,0,0
FUN_010513-T1,0,0,0,0,1
FUN_010412-T1,0,0,0,0,0
FUN_026667-T1,28,21,0,0,0
FUN_018682-T1,0,0,0,0,0
FUN_020127-T1,0,0,0,0,0
FUN_012829-T1,0,0,111,131,119
FUN_031274-T1,232,158,95,171,77
FUN_027259-T1,0,0,0,0,0
FUN_017884-T1,34,13,5,18,0
FUN_007602-T1,0,0,0,0,0
FUN_043301-T1,917,806,449,579,1487
FUN_001181-T1,2043,1181,993,2039,1591
FUN_043239-T1,3425,2718,1344,2199,601
FUN_024064-T1,252,253,145,181,218
FUN_027580-T1,0,15,7,0,0
FUN_028965-T1,1359,592,207,1012,727
FUN_016229-T1,0,0,0,0,0
FUN_003391-T1,0,0,0,0,0
FUN_037326-T1,0,0,0,0,0
FUN_003711-T1,1548,1237,880,924,981
FUN_043516-T1,0,0,2,4,0
FUN_013241-T1,0,0,0,0,0
FUN_024479-T1,1,21,2,6,2
FUN_035947-T1,4115,4560,3708,3772,3952
FUN_044361-T1,10,0,1,0,9
FUN_010776-T1,556,101,162,181,185
FUN_028162-T1,646,280,322,349,513
FUN_006929-T1,7191,6578,4265,4775,3563
FUN_023139-T1,827,288,571,592,738
FUN_026008-T1,3089,1014,1370,4759,4116
FUN_039675-T1,0,0,0,0,0
FUN_017623-T1,0,0,0,0,0
FUN_011293-T1,0,0,0,0,0
FUN_022699-T1,1555,1119,1017,1209,1429
FUN_030983-T1,0,0,0,0,0
FUN_007019-T1,649,255,399,738,512
FUN_019185-T1,0,0,0,0,0
FUN_000595-T1,196,188,107,176,131
FUN_001408-T1,33,33,42,39,32
FUN_035287-T1,0,0,0,0,21
FUN_041843-T1,716,269,235,752,708
FUN_033358-T1,0,0,0,0,1
FUN_017604-T1,0,0,0,0,0
FUN_035096-T1,1048,659,574,399,339
FUN_010955-T1,253,303,114,471,401
FUN_014700-T1,116,103,0,0,81
FUN_025871-T1,412,763,656,671,342
FUN_005418-T1,161,74,0,4,17
FUN_014822-T1,0,0,0,0,7
FUN_022395-T1,1470,1523,1080,1612,1901
FUN_001193-T1,466,235,427,1052,1007
FUN_016765-T1,0,0,0,0,0
FUN_014434-T1,1011,637,620,302,649
FUN_037700-T1,896,748,676,782,986
FUN_025155-T1,0,0,0,0,0
FUN_011485-T1,0,0,6,4,5
FUN_012518-T1,595,556,438,525,590
FUN_008546-T1,1210,1553,984,1228,945
FUN_040874-T1,0,0,0,0,0
FUN_015631-T1,0,0,0,0,0
FUN_016831-T1,0,0,0,0,0
FUN_032611-T1,1384,514,595,1417,1043
FUN_028847-T1,1349,717,826,1217,1127
FUN_023274-T1,3572,2144,1229,1653,1088
FUN_037404-T1,409,156,209,389,504
FUN_001159-T1,195,186,142,173,243
FUN_023817-T1,0,0,0,0,7
FUN_020639-T1,0,0,0,0,0
FUN_035188-T1,0,0,0,195,80
FUN_028239-T1,561,348,332,638,407
FUN_031532-T1,0,0,0,0,249
FUN_040275-T1,22,6,0,49,0
FUN_025986-T1,2890,2491,1597,2148,1838
FUN_013960-T1,326,0,130,7,49
FUN_022457-T1,0,0,0,0,0
FUN_039410-T1,0,0,0,0,0
FUN_021950-T1,24,5,0,17,14
FUN_017509-T1,0,0,0,0,0
FUN_029830-T1,0,0,0,0,0
FUN_016873-T1,4,0,0,3,3
FUN_005975-T1,0,0,0,1,0
FUN_000920-T1,112,167,191,221,207
FUN_034865-T1,19077,20023,13270,16433,8678
FUN_015245-T1,3620,2788,2015,3854,4304
FUN_009373-T1,0,0,0,0,0
FUN_030017-T1,0,0,0,0,0
FUN_034392-T1,0,4,0,5,0
FUN_034347-T1,6,0,4,0,0
FUN_038769-T1,5134,4523,1938,2876,3214
FUN_015593-T1,0,0,0,0,0
FUN_038368-T1,59,11,39,20,446
FUN_029104-T1,3913,6423,3511,9140,6550
FUN_034460-T1,199,115,192,356,566
FUN_026384-T1,0,0,4,0,0
FUN_036104-T1,2083,1708,1034,1814,2069
FUN_036539-T1,0,0,0,0,0
FUN_033628-T1,8,0,0,0,0
FUN_025770-T1,300,190,166,361,315
FUN_005910-T1,1224,426,542,1343,1352
FUN_003007-T1,0,0,0,0,0
FUN_000732-T1,0,0,1,0,0
FUN_018703-T1,0,0,0,0,0
FUN_016777-T1,1899,1608,1461,2228,1541
FUN_038842-T1,0,0,0,0,0
FUN_014407-T1,0,0,3,0,0
FUN_039814-T1,2988,3442,1583,1952,2869
FUN_015108-T1,1156,534,473,893,803
FUN_033315-T1,0,0,0,0,0
FUN_021520-T1,0,0,1,0,0
FUN_042624-T1,14731,5237,11286,21941,25051
FUN_020785-T1,0,8,0,4,7
FUN_025832-T1,21,0,17,54,18
FUN_031413-T1,147,437,179,98,271
FUN_036538-T1,0,0,0,0,0
FUN_030319-T1,8,1,4,0,19
FUN_020078-T1,0,0,0,0,0
FUN_004876-T1,178,2840,6931,575,544
FUN_006558-T1,0,0,0,0,0
FUN_038454-T1,1284,278,253,598,297
FUN_017428-T1,0,1,0,0,0
FUN_019482-T1,0,0,0,0,201
FUN_012791-T1,159,60,134,168,250
FUN_035292-T1,31,21,21,46,42
FUN_043505-T1,12774,21382,10803,17272,6529
FUN_008396-T1,4942,2812,2152,3418,4014
FUN_013658-T1,452,65,114,295,497
FUN_021300-T1,0,0,0,0,0
FUN_025411-T1,337,99,128,227,105
FUN_026018-T1,257,161,110,665,251
FUN_022732-T1,66,12,28,20,21
FUN_004157-T1,1622,1746,444,796,992
FUN_000439-T1,215,184,88,228,178
FUN_011803-T1,9307,4028,2187,4831,4391
FUN_033794-T1,18,32,10,9,0
FUN_008487-T1,538,426,495,673,592
FUN_017196-T1,92,2,28,14,148
FUN_023971-T1,1524,1591,810,1636,1112
FUN_027898-T1,33,37,18,30,65
FUN_019365-T1,0,0,16,0,19
FUN_005117-T1,3143,1714,1397,2850,1657
FUN_004783-T1,8679,19421,5129,11180,3643
FUN_032803-T1,77,55,15,43,63
FUN_033161-T1,0,5,0,0,0
FUN_019490-T1,0,0,0,0,0
FUN_009822-T1,4056,3163,1948,4243,2556
FUN_018989-T1,0,0,0,0,18
FUN_028622-T1,36,0,200,128,43
FUN_026510-T1,0,0,0,0,0
FUN_043525-T1,60,36,0,19,38
FUN_009043-T1,4349,3813,1973,3020,1960
FUN_038864-T1,0,0,0,0,10
FUN_032707-T1,0,0,0,0,0
FUN_010873-T1,6,0,31,6,32
FUN_006410-T1,221,110,103,52,103
FUN_004627-T1,394,267,172,389,300
FUN_000864-T1,0,0,0,0,0
FUN_022389-T1,1066,723,617,1111,1554
FUN_022157-T1,281,149,243,339,285
FUN_002188-T1,0,0,0,0,0
FUN_019300-T1,0,0,0,0,10
FUN_003498-T1,0,0,33,14,49
FUN_028513-T1,28,203,131,211,278
FUN_036665-T1,0,0,0,0,3
FUN_010414-T1,0,0,0,0,0
FUN_017298-T1,0,8,0,0,0
FUN_035141-T1,0,3,10,2,6
FUN_042986-T1,0,19,0,28,264
FUN_026932-T1,0,0,0,0,0
FUN_017075-T1,0,0,0,0,1
FUN_008002-T1,9949,24646,11681,12249,6878
FUN_031818-T1,4,16,0,0,17
FUN_029116-T1,0,6,0,0,14
FUN_013796-T1,0,0,0,0,0
FUN_042778-T1,27,53,67,69,193
FUN_016686-T1,199,21,228,255,204
FUN_031335-T1,3,69,0,0,0
FUN_035394-T1,87,50,29,38,55
FUN_034687-T1,0,0,0,0,0
FUN_015004-T1,29,0,13,22,20
FUN_041451-T1,11,17,59,45,38
FUN_038830-T1,11,0,0,14,2
FUN_012648-T1,1182,584,534,882,628
FUN_001672-T1,1,19,83,30,9
FUN_006161-T1,18,1388,7,52,3289
FUN_001881-T1,109,1490,667,129,1439
FUN_009358-T1,691,108,380,1143,750
FUN_004848-T1,489,554,329,515,883
FUN_005537-T1,1,0,0,0,1
FUN_002924-T1,0,0,0,0,0
FUN_035860-T1,41,13,12,0,0
FUN_021233-T1,1,0,1,1,1
FUN_021150-T1,0,0,0,0,0
FUN_035175-T1,0,12,5,326,93
FUN_025327-T1,0,0,0,0,0
FUN_020060-T1,0,0,0,0,0
FUN_043748-T1,0,0,0,0,0
FUN_018805-T1,373,331,443,420,633
FUN_026562-T1,0,0,0,0,0
FUN_027679-T1,0,0,0,0,0
FUN_026221-T1,1509,61,44,50,62
FUN_023992-T1,147,500,137,440,363
FUN_028687-T1,23,12,0,13,2
FUN_030085-T1,0,0,0,0,3
FUN_005164-T1,42,10,35,15,66
FUN_005011-T1,19,12,0,8,0
FUN_002747-T1,0,0,0,0,0
FUN_026917-T1,4145,2785,1871,1961,1760
FUN_020985-T1,0,0,0,0,1
FUN_000147-T1,0,0,0,0,1
FUN_043899-T1,0,2,16,83,0
FUN_009675-T1,540,412,775,728,475
FUN_036201-T1,184,1847,324,127,623
FUN_025275-T1,0,0,0,2,0
FUN_007474-T1,0,0,0,0,0
FUN_016833-T1,0,0,0,0,1
FUN_023656-T1,0,0,0,0,0
FUN_018214-T1,185,0,34,93,0
FUN_000218-T1,0,3,2,2,1
FUN_008275-T1,5742,4820,2286,4934,3768
FUN_015994-T1,4079,4212,2820,3320,1962
FUN_019879-T1,0,0,0,0,0
FUN_004869-T1,642,130,88,490,393
FUN_035339-T1,17303,35467,20391,23078,9810
FUN_026963-T1,0,0,0,0,0
FUN_039499-T1,10,0,21,0,81
FUN_009135-T1,15,31,43,0,20
FUN_032122-T1,681,417,333,544,341
FUN_023668-T1,0,0,0,0,0
FUN_038629-T1,70,31,33,41,46
FUN_012271-T1,3814,6645,2853,5567,2708
FUN_009962-T1,0,0,6,0,0
FUN_020456-T1,0,0,0,0,0
FUN_029092-T1,0,0,0,0,0
FUN_022221-T1,22,28,31,37,29
FUN_009718-T1,0,40,107,0,0
FUN_039316-T1,42,17,102,63,11
FUN_013445-T1,21,59,19,9,18
FUN_000529-T1,1694,1592,1012,2888,937
FUN_002190-T1,0,0,0,0,0
FUN_011568-T1,14,0,12,0,18
FUN_018126-T1,1839,1293,960,536,1152
FUN_040932-T1,0,0,0,0,0
FUN_035342-T1,151,43,51,122,86
FUN_001862-T1,0,0,0,0,0
FUN_025823-T1,3944,2743,1919,3747,4306
FUN_021848-T1,0,0,0,0,4
FUN_006637-T1,2101,1212,805,2258,1297
FUN_021572-T1,0,0,0,0,0
FUN_024482-T1,1997,1021,1060,3189,2089
FUN_018471-T1,0,0,0,0,0
FUN_025140-T1,2545,2365,1359,2348,1832
FUN_001149-T1,4708,3084,2919,3712,2333
FUN_030348-T1,0,2,0,0,0
FUN_008351-T1,63,56,38,114,114
FUN_005735-T1,0,0,0,1,0
FUN_036220-T1,0,221,0,91,44
FUN_040641-T1,47,4,38,3,177
FUN_019632-T1,0,21,6,0,51
FUN_000318-T1,3364,1353,1123,1570,2654
FUN_024686-T1,0,0,0,0,7
FUN_006407-T1,13,15,51,41,207
FUN_042762-T1,0,0,2,0,0
FUN_034533-T1,0,0,0,0,0
FUN_021530-T1,0,0,0,0,0
FUN_024350-T1,3298,3201,2275,4231,2984
FUN_032009-T1,0,17,17,6,6
FUN_016573-T1,137,49,80,137,100
FUN_015567-T1,426,101,92,176,249
FUN_036284-T1,0,0,0,0,0
FUN_027222-T1,0,0,0,0,0
FUN_009290-T1,19,48,59,58,69
FUN_005963-T1,300,244,128,137,39
FUN_021394-T1,0,0,0,0,0
FUN_018857-T1,0,0,0,0,0
FUN_003245-T1,0,0,0,0,1
FUN_005709-T1,0,0,0,0,0
FUN_000789-T1,0,0,0,0,0
FUN_020826-T1,2,0,1,0,2
FUN_035056-T1,0,0,0,9,0
FUN_013287-T1,312,297,74,25,170
FUN_032454-T1,0,8,0,12,0
FUN_021446-T1,0,0,0,0,1
FUN_021386-T1,0,0,0,0,1
FUN_034798-T1,184,100,26,72,122
FUN_043685-T1,0,0,50,11,16
FUN_036496-T1,0,0,0,0,1
FUN_005689-T1,65,0,0,76,97
FUN_016426-T1,386,328,104,190,192
FUN_042525-T1,0,0,0,0,0
FUN_014353-T1,0,23,0,0,0
FUN_028785-T1,0,0,17,0,21
FUN_011588-T1,0,0,0,0,0
FUN_016826-T1,0,0,0,0,2
FUN_006523-T1,0,0,0,0,0
FUN_004550-T1,22,14,18,48,22
FUN_023648-T1,1204,773,564,950,1494
FUN_033503-T1,0,0,0,0,11
FUN_025525-T1,0,0,0,0,0
FUN_010407-T1,0,0,0,0,0
FUN_022899-T1,1992,2178,1380,1816,1419
FUN_020363-T1,0,0,0,0,0
FUN_018048-T1,577,545,140,438,178
FUN_037724-T1,0,0,0,3,0
FUN_033569-T1,0,0,0,0,0
FUN_021852-T1,0,0,0,0,0
FUN_003264-T1,0,0,0,0,0
FUN_035231-T1,751,1081,347,1408,2604
FUN_027051-T1,0,4,0,0,34
FUN_010823-T1,0,2,0,0,0
FUN_014681-T1,477,283,182,327,239
FUN_032937-T1,320,206,70,315,106
FUN_036670-T1,0,5,0,0,0
FUN_016370-T1,717,644,303,319,307
FUN_033849-T1,10,0,41,0,151
FUN_038706-T1,199,122,140,619,180
FUN_015711-T1,199,75,95,90,88
FUN_039457-T1,0,0,0,0,0
FUN_026243-T1,0,0,0,0,0
FUN_019516-T1,0,0,0,0,0
FUN_010692-T1,76,292,94,5,264
FUN_003276-T1,0,0,0,0,0
FUN_002512-T1,0,0,0,0,0
FUN_036084-T1,1477,1109,1006,2156,1543
FUN_038872-T1,0,0,3,0,0
FUN_021949-T1,170,86,0,159,157
FUN_018249-T1,86,52,88,245,182
FUN_019373-T1,5,0,0,0,0
FUN_004409-T1,891,367,590,564,980
FUN_021115-T1,0,0,0,0,0
FUN_043126-T1,208,40,218,205,150
FUN_011348-T1,0,0,18,0,44
FUN_020915-T1,6,10,0,0,33
FUN_015179-T1,262,187,304,279,497
FUN_021840-T1,0,0,0,0,0
FUN_029566-T1,338,66,152,146,169
FUN_008014-T1,88,157,116,153,9
FUN_040283-T1,708,212,253,465,636
FUN_012876-T1,0,0,0,0,5
FUN_014053-T1,0,0,0,0,0
FUN_008091-T1,257,171,209,202,204
FUN_025737-T1,906,361,418,717,828
FUN_001130-T1,103,34,123,155,236
FUN_026637-T1,0,0,0,0,15
FUN_038981-T1,0,0,0,0,0
FUN_027926-T1,227,62,105,109,294
FUN_021170-T1,18,7,38,17,151
FUN_024825-T1,0,0,0,0,0
FUN_014448-T1,1849,1659,820,1280,1402
FUN_017483-T1,0,0,1,0,1
FUN_013057-T1,347,460,363,290,342
FUN_039482-T1,0,0,10,0,38
FUN_006173-T1,229,154,214,788,658
FUN_033393-T1,0,0,0,0,0
FUN_037247-T1,279,142,104,91,5
FUN_034780-T1,19743,14700,9123,19659,19239
FUN_032251-T1,16,29,0,24,4
FUN_014887-T1,349,184,111,232,92
FUN_039599-T1,0,1,9,0,112
FUN_008493-T1,568,503,390,498,315
FUN_036564-T1,440,0,242,6,25
FUN_035371-T1,1013,795,391,1013,719
FUN_007670-T1,0,0,0,0,1
FUN_036244-T1,163,104,92,226,320
FUN_001172-T1,409,170,167,278,456
FUN_030207-T1,0,0,0,0,0
FUN_020466-T1,0,0,0,0,0
FUN_013484-T1,1392,1289,923,2788,300
FUN_020056-T1,0,0,0,0,0
FUN_041037-T1,28,4,16,28,199
FUN_022083-T1,23,0,0,0,19
FUN_018696-T1,0,0,0,0,0
FUN_002311-T1,7,13,121,112,432
FUN_006808-T1,0,0,1,4,0
FUN_000790-T1,0,0,0,1,1
FUN_040833-T1,1,0,0,0,2
FUN_020697-T1,0,0,0,0,0
FUN_041312-T1,1958,3538,1181,2415,2180
FUN_044370-T1,0,0,0,0,0
FUN_035045-T1,703,1893,493,428,223
FUN_023854-T1,0,0,0,0,2
FUN_029528-T1,45,7,14,75,9
FUN_039371-T1,145,99,55,2,66
FUN_042238-T1,850,1094,497,564,348
FUN_023328-T1,466,177,54,549,1245
FUN_013175-T1,0,0,0,0,0
FUN_018754-T1,0,0,0,0,0
FUN_018882-T1,0,0,0,0,0
FUN_000666-T1,0,0,0,1,1
FUN_023681-T1,113,138,114,128,251
FUN_001419-T1,30,0,51,17,70
FUN_034336-T1,0,0,0,0,0
FUN_014791-T1,494,355,53,242,186
FUN_004296-T1,0,17,13,43,30
FUN_033255-T1,0,0,0,0,0
FUN_040195-T1,0,0,0,0,6
FUN_029814-T1,61,204,4,0,225
FUN_030742-T1,639,394,309,675,671
FUN_003080-T1,0,0,0,0,0
FUN_015619-T1,1,0,0,0,0
FUN_035065-T1,2128,1261,1075,1979,2010
FUN_020588-T1,0,0,0,0,0
FUN_003677-T1,0,0,4,0,0
FUN_011738-T1,236,188,128,179,136
FUN_016597-T1,2,0,6,19,55
FUN_001907-T1,31,0,32,19,30
FUN_007344-T1,1,0,1,0,1
FUN_021958-T1,0,0,0,0,0
FUN_001425-T1,984,368,343,588,504
FUN_031704-T1,303,302,681,987,701
FUN_019813-T1,0,0,0,0,2
FUN_009390-T1,436,733,189,56,262
FUN_041744-T1,8877,6873,6281,13921,10740
FUN_028528-T1,0,0,0,0,0
FUN_022095-T1,1509,398,518,2086,572
FUN_039556-T1,42,34,20,53,45
FUN_002497-T1,410,183,174,112,145
FUN_039938-T1,694,698,363,531,395
FUN_038937-T1,0,0,0,0,0
FUN_039213-T1,0,0,17,0,12
FUN_000912-T1,826,325,408,474,589
FUN_007523-T1,0,0,0,0,1
FUN_010306-T1,0,0,0,0,0
FUN_030333-T1,5,0,6,0,22
FUN_006510-T1,0,0,0,0,0
FUN_016367-T1,44,74,20,16,16
FUN_036678-T1,19,69,47,41,16
FUN_016600-T1,43,0,69,18,84
FUN_002846-T1,0,0,0,0,0
FUN_021941-T1,29,1,8,34,25
FUN_001569-T1,0,9,0,0,10
FUN_018423-T1,36,29,62,56,55
FUN_001298-T1,1032,700,482,1407,929
FUN_030482-T1,8,0,11,0,30
FUN_037970-T1,1364,631,533,610,650
FUN_026941-T1,0,0,0,0,0
FUN_012030-T1,249,160,136,197,94
FUN_027803-T1,5871,6406,3798,5572,3743
FUN_033274-T1,0,1,0,0,0
FUN_037145-T1,1902,557,160,542,518
FUN_032564-T1,1,0,0,0,0
FUN_010640-T1,4417,6326,3685,4080,2971
FUN_009944-T1,1710,1304,602,1150,523
FUN_034956-T1,2133,1527,1207,2264,1113
FUN_025262-T1,0,34,0,19,8
FUN_025981-T1,0,29,201,0,76
FUN_014518-T1,66,15,18,13,39
FUN_008945-T1,23,0,32,60,79
