transcript_id,RNA-ACR-140,RNA-ACR-145,RNA-ACR-150,RNA-ACR-173,RNA-ACR-178
FUN_004489-T1,250,251,124,230,137
FUN_043053-T1,36,25,7,44,20
FUN_020651-T1,0,0,0,0,0
FUN_014514-T1,3248,3936,886,1900,1050
FUN_038090-T1,324,499,179,473,273
FUN_017961-T1,0,0,0,0,18
FUN_000915-T1,1630,1482,500,733,299
FUN_008760-T1,0,0,0,144,94
FUN_018442-T1,0,0,0,0,0
FUN_006330-T1,2659,1884,1315,2244,1452
FUN_035467-T1,734,444,540,737,389
FUN_035212-T1,318,131,100,256,196
FUN_028373-T1,0,0,52,4,185
FUN_002228-T1,0,0,0,0,13
FUN_018136-T1,6425,9,1450,19,946
FUN_023409-T1,0,0,0,1,0
FUN_038346-T1,3889,3491,2084,3931,3081
FUN_024228-T1,0,90,118,130,79
FUN_040614-T1,10,71,115,118,24
FUN_033086-T1,0,0,12,0,26
FUN_010284-T1,0,0,0,0,0
FUN_004102-T1,250,156,76,498,401
FUN_037596-T1,0,0,0,9,7
FUN_006858-T1,3200,1832,1812,3594,2899
FUN_040780-T1,0,0,0,0,0
FUN_000372-T1,2061,2054,1045,735,122
FUN_034028-T1,772,797,1027,820,315
FUN_031523-T1,369,155,339,376,530
FUN_007283-T1,0,0,0,0,0
FUN_018294-T1,81,98,175,21,4
FUN_037287-T1,50,43,0,95,69
FUN_007727-T1,0,0,0,0,0
FUN_044283-T1,54,24,140,129,63
FUN_002796-T1,0,0,0,0,0
FUN_008139-T1,152,366,284,429,272
FUN_021644-T1,0,0,0,0,1
FUN_008965-T1,1624,1572,645,699,571
FUN_017750-T1,2,3,19,17,138
FUN_040591-T1,0,1,0,0,1
FUN_004670-T1,233,87,127,137,73
FUN_009366-T1,0,0,3,1,2
FUN_026389-T1,1244,958,439,695,566
FUN_032037-T1,242,2519,853,1100,1542
FUN_036222-T1,32,49,61,126,72
FUN_037194-T1,221,336,81,264,182
FUN_026632-T1,237,232,113,103,95
FUN_000621-T1,3564,5430,2162,3292,1950
FUN_020765-T1,0,0,0,0,12
FUN_022468-T1,164,92,17,28,73
FUN_039760-T1,0,0,0,0,0
FUN_008900-T1,0,0,0,0,0
FUN_018897-T1,0,0,0,0,0
FUN_021415-T1,0,0,0,0,0
FUN_010826-T1,180,134,177,14,52
FUN_024741-T1,265,308,71,183,161
FUN_024990-T1,0,0,0,0,0
FUN_004632-T1,0,0,0,0,0
FUN_036150-T1,2679,1010,909,1284,1053
FUN_038435-T1,4737,3745,2156,3469,1927
FUN_010632-T1,4736,2636,2374,4492,2012
FUN_016413-T1,94,132,15,66,15
FUN_037602-T1,0,0,0,0,0
FUN_039574-T1,0,168,47,0,228
FUN_040152-T1,34016,28182,15066,18328,18150
FUN_044220-T1,19,62,31,58,142
FUN_018725-T1,7,0,0,0,0
FUN_040986-T1,167,42,21,69,79
FUN_022358-T1,575,158,320,319,318
FUN_017386-T1,0,1,0,0,0
FUN_003634-T1,0,0,0,0,0
FUN_005396-T1,0,0,10,0,9
FUN_031676-T1,0,0,0,0,0
FUN_032342-T1,2785,3725,1958,4158,2800
FUN_015278-T1,0,0,0,0,0
FUN_031623-T1,0,32,9,0,0
FUN_004765-T1,0,3,0,0,4
FUN_036958-T1,70,67,0,61,52
FUN_042820-T1,2091,1392,1238,1783,1420
FUN_013643-T1,471,106,242,263,326
FUN_033575-T1,0,0,0,0,0
FUN_031324-T1,0,0,0,0,0
FUN_022621-T1,20812,14552,7614,11942,9113
FUN_009252-T1,0,0,0,0,0
FUN_026015-T1,71,118,241,200,216
FUN_024775-T1,11816,10453,5871,5813,3607
FUN_018592-T1,0,0,0,0,0
FUN_039766-T1,0,0,0,0,6
FUN_005021-T1,61,27,14,58,144
FUN_041358-T1,0,0,0,0,0
FUN_009067-T1,21,32,32,2,19
FUN_007915-T1,315,130,57,54,98
FUN_012319-T1,20,0,0,0,0
FUN_007798-T1,2197,1754,1321,2032,1210
FUN_036085-T1,2215,2512,1530,2149,1894
FUN_028200-T1,2010,1709,1132,1974,2233
FUN_003385-T1,0,0,0,0,0
FUN_002989-T1,0,0,0,0,0
FUN_040649-T1,3,0,0,1,23
FUN_038880-T1,0,0,0,0,0
FUN_027825-T1,36,0,0,0,0
FUN_014420-T1,0,0,0,0,0
FUN_020914-T1,2,0,1,40,6
FUN_004887-T1,2902,65,2288,2431,5064
FUN_031347-T1,0,0,0,0,22
FUN_042520-T1,0,1,1,1,0
FUN_001909-T1,657,437,417,798,815
FUN_007715-T1,0,92,0,0,0
FUN_025086-T1,0,0,0,0,0
FUN_041049-T1,0,0,0,0,0
FUN_009414-T1,54,0,39,90,111
FUN_037475-T1,618,504,484,522,542
FUN_014372-T1,0,0,0,0,5
FUN_024539-T1,761,162,322,1001,377
FUN_017832-T1,3281,2958,3115,4325,3932
FUN_028860-T1,0,0,0,0,0
FUN_027722-T1,40,45,0,55,28
FUN_028067-T1,0,1,4,0,0
FUN_039827-T1,2703,1941,1211,2309,1719
FUN_007871-T1,1204,1095,600,1250,830
FUN_001222-T1,0,0,22,17,10
FUN_003587-T1,98,42,60,108,158
FUN_029136-T1,8440,5697,3185,10239,7620
FUN_011107-T1,2,0,1,1,0
FUN_015414-T1,153,36,109,101,257
FUN_016823-T1,0,0,0,0,0
FUN_001817-T1,846,499,287,529,628
FUN_026641-T1,0,0,0,6,0
FUN_031071-T1,0,0,18,25,49
FUN_020428-T1,0,0,0,0,0
FUN_008013-T1,268,60561,6714,14176,21052
FUN_009726-T1,0,0,0,0,0
FUN_014179-T1,838,644,45,44,5
FUN_008131-T1,0,0,0,0,10
FUN_015699-T1,0,0,0,0,0
FUN_015812-T1,0,0,1,1,1
FUN_007056-T1,868,771,354,548,509
FUN_024195-T1,1543,937,713,1564,1597
FUN_027360-T1,35,39,60,24,217
FUN_032305-T1,14021,9602,8535,13006,7091
FUN_027431-T1,0,0,0,0,0
FUN_030920-T1,0,0,0,0,0
FUN_023246-T1,118,256,224,358,105
FUN_000523-T1,1330,500,0,0,5
FUN_036760-T1,10,2,17,0,10
FUN_034618-T1,0,0,0,7,10
FUN_017398-T1,0,1,0,0,0
FUN_038913-T1,89,34,43,60,32
FUN_032778-T1,4,15,0,20,0
FUN_034386-T1,76,30,36,26,64
FUN_009485-T1,0,3,0,0,0
FUN_023491-T1,0,0,0,0,0
FUN_027907-T1,792,398,254,323,0
FUN_041303-T1,0,0,0,0,0
FUN_002030-T1,0,0,0,0,0
FUN_043755-T1,29,0,12,0,35
FUN_005024-T1,1165,561,738,1138,786
FUN_040868-T1,0,0,0,0,9
FUN_016317-T1,1887,1839,1327,1344,997
FUN_034764-T1,0,0,4,1,0
FUN_043888-T1,8,24,16,24,62
FUN_027609-T1,79,680,248,89,64
FUN_021178-T1,0,0,0,10,0
FUN_014222-T1,0,0,0,0,0
FUN_025858-T1,0,0,0,40,0
FUN_007511-T1,0,0,0,0,0
FUN_040807-T1,0,0,0,0,0
FUN_000917-T1,0,13,0,29,27
FUN_036890-T1,33,134,44,28,0
FUN_017239-T1,23,4,47,4,187
FUN_000344-T1,119,9,34,164,114
FUN_023848-T1,7,0,13,4,16
FUN_011381-T1,0,0,0,0,0
FUN_034788-T1,221,142,52,98,59
FUN_036967-T1,2148,1043,869,1382,1557
FUN_038441-T1,105,107,30,126,209
FUN_033853-T1,0,0,0,0,0
FUN_006803-T1,1147,481,512,860,694
FUN_024656-T1,0,0,0,0,0
FUN_036389-T1,0,0,0,0,0
FUN_011464-T1,235,96,31,53,34
FUN_004530-T1,222,251,75,294,106
FUN_027254-T1,4211,2118,1359,5821,2564
FUN_019647-T1,63,24,57,18,53
FUN_005638-T1,0,0,5,0,2
FUN_042478-T1,314,237,127,353,395
FUN_014281-T1,7,0,8,2,1
FUN_005738-T1,0,0,0,0,11
FUN_031728-T1,1424,4,0,3,0
FUN_001687-T1,216,130,149,299,302
FUN_010004-T1,0,0,0,0,0
FUN_007522-T1,0,0,0,0,0
FUN_025643-T1,9424,7058,5337,10062,9799
FUN_022595-T1,189,187,168,105,289
FUN_017826-T1,561,479,223,454,490
FUN_038959-T1,0,0,0,0,0
FUN_042461-T1,0,0,0,0,1
FUN_038329-T1,0,0,0,0,0
FUN_010194-T1,0,0,0,0,0
FUN_029923-T1,0,0,0,0,0
FUN_035718-T1,713,444,348,688,507
FUN_025596-T1,3831,3248,2480,1709,3177
FUN_009648-T1,190,51,39,45,28
FUN_034823-T1,324,175,340,436,336
FUN_011647-T1,10,0,22,1,53
FUN_002257-T1,9,0,0,2,41
FUN_001446-T1,515,313,161,716,349
FUN_030127-T1,0,7,0,0,59
FUN_020113-T1,1,0,0,1,3
FUN_024338-T1,4139,3226,2174,4245,2831
FUN_025534-T1,525,159,50,288,388
FUN_042742-T1,1,0,1,0,2
FUN_027487-T1,0,0,0,0,0
FUN_034280-T1,1107,788,501,804,823
FUN_044238-T1,3,0,10,1,83
FUN_010990-T1,876,528,387,487,271
FUN_036853-T1,2493,1918,856,2038,696
FUN_042101-T1,46,28,21,0,98
FUN_012447-T1,0,0,0,0,0
FUN_036152-T1,51,19,58,29,37
FUN_043868-T1,17,2,32,4,71
FUN_014141-T1,37,0,33,10,37
FUN_010555-T1,1710,1330,984,2178,1650
FUN_034405-T1,273,651,434,209,635
FUN_002400-T1,247,0,0,0,0
FUN_035012-T1,1773,2802,872,1423,1012
FUN_021543-T1,0,0,0,0,0
FUN_033899-T1,1,4,1,0,1
FUN_041456-T1,82,402,74,182,503
FUN_042072-T1,0,19,0,0,0
FUN_033175-T1,0,0,0,0,0
FUN_006316-T1,52,0,128,17,78
FUN_002319-T1,2,2,6,16,23
FUN_009087-T1,0,4,0,0,0
FUN_005684-T1,0,0,1,0,0
FUN_008973-T1,891,605,516,893,1066
