#Coverage (X)	Coverage
1.0	87.2648090351485
2.0	84.87350877918547
3.0	80.74160544051455
4.0	78.81178150732885
5.0	76.12589259517392
6.0	74.46173874289727
7.0	72.37559641366063
8.0	70.87948493360537
9.0	69.12417937086605
10.0	67.7391087064697
11.0	66.17972707489488
12.0	64.87310076390077
13.0	63.43896755417232
14.0	62.18487369341632
15.0	60.83731851799248
16.0	59.626157712501005
17.0	58.34388787662803
18.0	57.16995431779995
19.0	55.945985251146524
20.0	54.80642352654872
21.0	53.627222117648095
22.0	52.51587514775505
23.0	51.377641382871914
24.0	50.296880510536006
25.0	49.19495466527277
26.0	48.14178112863942
27.0	47.073685553910536
28.0	46.04997003398998
29.0	45.01703654817556
30.0	44.02327874214359
31.0	43.02485407318294
32.0	42.060252536225555
33.0	41.09599789329214
34.0	40.15889108406652
35.0	39.22768610364689
36.0	38.32433161991352
37.0	37.4227922524079
38.0	36.548786585155085
39.0	35.67912944093132
40.0	34.83478745725979
41.0	33.995491643330695
42.0	33.18138191759452
43.0	32.37246479795462
44.0	31.587365869605563
45.0	30.810501912126938
46.0	30.05317997288732
47.0	29.304914128525922
48.0	28.57602360805609
49.0	27.857057768057302
50.0	27.156547731973305
51.0	26.466393968090955
