Orthogroup	Apulchra-genome.pep	Pocillopora_meandrina_HIv1.genes.pep
OG0000974	FUN_044685-T1	Pocillopora_meandrina_HIv1___TS.g21309.t1
OG0000974	FUN_045351-T1, FUN_044846-T1, FUN_045692-T1, FUN_045154-T1, FUN_045435-T1, FUN_045729-T1, FUN_044803-T1	Pocillopora_meandrina_HIv1___RNAseq.g24476.t1
OG0000976	FUN_044829-T1	Pocillopora_meandrina_HIv1___RNAseq.g20820.t1a, Pocillopora_meandrina_HIv1___RNAseq.g2846.t1, Pocillopora_meandrina_HIv1___RNAseq.g16289.t1, Pocillopora_meandrina_HIv1___TS.g12815.t1, Pocillopora_meandrina_HIv1___RNAseq.g2844.t1, Pocillopora_meandrina_HIv1___TS.g11312.t1, Pocillopora_meandrina_HIv1___RNAseq.g2843.t1, Pocillopora_meandrina_HIv1___RNAseq.g9145.t1, Pocillopora_meandrina_HIv1___RNAseq.g2845.t1
OG0000978	FUN_045030-T1	Pocillopora_meandrina_HIv1___RNAseq.g3566.t1, Pocillopora_meandrina_HIv1___RNAseq.g4356.t1
OG0000979	FUN_045155-T1	Pocillopora_meandrina_HIv1___RNAseq.g16144.t1, Pocillopora_meandrina_HIv1___RNAseq.g25288.t1, Pocillopora_meandrina_HIv1___RNAseq.g6599.t1b, Pocillopora_meandrina_HIv1___RNAseq.g12351.t1, Pocillopora_meandrina_HIv1___RNAseq.g3011.t1, Pocillopora_meandrina_HIv1___RNAseq.g19529.t1, Pocillopora_meandrina_HIv1___RNAseq.g22830.t1, Pocillopora_meandrina_HIv1___RNAseq.g14100.t1, Pocillopora_meandrina_HIv1___RNAseq.g4549.t1
OG0000980	FUN_045336-T1	Pocillopora_meandrina_HIv1___RNAseq.g5944.t1
OG0000982	FUN_045447-T1	Pocillopora_meandrina_HIv1___RNAseq.g17455.t1, Pocillopora_meandrina_HIv1___RNAseq.g27330.t1, Pocillopora_meandrina_HIv1___RNAseq.g11126.t1, Pocillopora_meandrina_HIv1___TS.g28926.t1, Pocillopora_meandrina_HIv1___RNAseq.g2861.t1a, Pocillopora_meandrina_HIv1___RNAseq.g27329.t1, Pocillopora_meandrina_HIv1___TS.g18756.t1a
OG0001030	FUN_000503-T1	Pocillopora_meandrina_HIv1___RNAseq.g18598.t1, Pocillopora_meandrina_HIv1___RNAseq.g18597.t1, Pocillopora_meandrina_HIv1___RNAseq.g18593.t1, Pocillopora_meandrina_HIv1___RNAseq.g18590.t1, Pocillopora_meandrina_HIv1___RNAseq.g18596.t1, Pocillopora_meandrina_HIv1___TS.g27983.t1
OG0001034	FUN_015588-T1, FUN_018275-T1, FUN_001789-T1, FUN_011249-T1, FUN_004545-T1, FUN_024928-T1	Pocillopora_meandrina_HIv1___TS.g23752.t1
OG0001036	FUN_002025-T1, FUN_008198-T1, FUN_013016-T1, FUN_026136-T1	Pocillopora_meandrina_HIv1___RNAseq.g13257.t1, Pocillopora_meandrina_HIv1___TS.g11633.t1, Pocillopora_meandrina_HIv1___RNAseq.g6100.t1
OG0001038	FUN_021145-T1, FUN_011161-T1, FUN_039463-T1, FUN_002169-T1, FUN_011160-T1	Pocillopora_meandrina_HIv1___RNAseq.g5827.t1, Pocillopora_meandrina_HIv1___RNAseq.g19226.t1, Pocillopora_meandrina_HIv1___RNAseq.g25035.t1, Pocillopora_meandrina_HIv1___RNAseq.g19299.t1a
OG0001039	FUN_013979-T1, FUN_013849-T1, FUN_002196-T1	Pocillopora_meandrina_HIv1___TS.g25644.t1b, Pocillopora_meandrina_HIv1___RNAseq.g27299.t1, Pocillopora_meandrina_HIv1___RNAseq.g16057.t1, Pocillopora_meandrina_HIv1___RNAseq.g26814.t1, Pocillopora_meandrina_HIv1___RNAseq.g11538.t1, Pocillopora_meandrina_HIv1___RNAseq.g5974.t1, Pocillopora_meandrina_HIv1___TS.g11223.t1
OG0001042	FUN_021028-T1, FUN_008106-T1, FUN_008105-T1, FUN_002390-T1	Pocillopora_meandrina_HIv1___RNAseq.g21911.t1
OG0001042	FUN_002401-T1, FUN_002389-T1	Pocillopora_meandrina_HIv1___TS.g19778.t1
OG0001047	FUN_003443-T1, FUN_028716-T1, FUN_028833-T1, FUN_019308-T1, FUN_009221-T1, FUN_013889-T1, FUN_025155-T1, FUN_006383-T1, FUN_015826-T1	Pocillopora_meandrina_HIv1___RNAseq.g9054.t1
OG0001050	FUN_028360-T1, FUN_028362-T1, FUN_028362-T2, FUN_028351-T1, FUN_003587-T1	Pocillopora_meandrina_HIv1___RNAseq.g16028.t1
OG0001052	FUN_003849-T4, FUN_003849-T2, FUN_003849-T1	Pocillopora_meandrina_HIv1___RNAseq.g16676.t1
OG0001053	FUN_003971-T1, FUN_003984-T1	Pocillopora_meandrina_HIv1___RNAseq.g12507.t1
OG0001054	FUN_004404-T1	Pocillopora_meandrina_HIv1___RNAseq.g16886.t2, Pocillopora_meandrina_HIv1___RNAseq.g16887.t1
OG0001054	FUN_035249-T1, FUN_035250-T1	Pocillopora_meandrina_HIv1___TS.g17698.t1, Pocillopora_meandrina_HIv1___RNAseq.g16885.t1
OG0001056	FUN_026009-T1, FUN_026009-T2	Pocillopora_meandrina_HIv1___RNAseq.g10481.t2
OG0001056	FUN_004871-T2, FUN_004871-T3, FUN_004871-T1	Pocillopora_meandrina_HIv1___RNAseq.g8646.t1
OG0001059	FUN_005123-T1, FUN_005131-T1, FUN_005129-T1, FUN_025981-T1, FUN_025983-T1, FUN_025980-T1, FUN_025982-T1	Pocillopora_meandrina_HIv1___RNAseq.g22688.t1
OG0001060	FUN_017635-T1, FUN_005124-T1, FUN_017306-T1, FUN_013336-T1, FUN_007042-T1, FUN_012781-T1, FUN_012716-T1	Pocillopora_meandrina_HIv1___RNAseq.g26821.t1
OG0001061	FUN_045557-T1, FUN_005280-T1	Pocillopora_meandrina_HIv1___RNAseq.g28819.t1, Pocillopora_meandrina_HIv1___RNAseq.g4438.t1, Pocillopora_meandrina_HIv1___RNAseq.g11185.t1, Pocillopora_meandrina_HIv1___RNAseq.g26862.t1d, Pocillopora_meandrina_HIv1___RNAseq.29936_t, Pocillopora_meandrina_HIv1___RNAseq.g8908.t1a, Pocillopora_meandrina_HIv1___RNAseq.17971_t
OG0001062	FUN_008326-T1	Pocillopora_meandrina_HIv1___RNAseq.g3447.t1
OG0001062	FUN_040464-T1, FUN_016893-T1, FUN_005284-T1	Pocillopora_meandrina_HIv1___RNAseq.g21668.t1, Pocillopora_meandrina_HIv1___TS.g11092.t1, Pocillopora_meandrina_HIv1___RNAseq.g24771.t1
OG0001065	FUN_005867-T1, FUN_015929-T1, FUN_015909-T1, FUN_026800-T3, FUN_026859-T2, FUN_026800-T1, FUN_026859-T1, FUN_045058-T1, FUN_026800-T2	Pocillopora_meandrina_HIv1___RNAseq.g858.t1
OG0001067	FUN_006563-T1	Pocillopora_meandrina_HIv1___RNAseq.g3962.t1, Pocillopora_meandrina_HIv1___TS.g29988.t1, Pocillopora_meandrina_HIv1___RNAseq.g3961.t1, Pocillopora_meandrina_HIv1___RNAseq.g3948.t1, Pocillopora_meandrina_HIv1___TS.g29996.t1, Pocillopora_meandrina_HIv1___RNAseq.g3959.t1, Pocillopora_meandrina_HIv1___RNAseq.g3951.t1
OG0001068	FUN_006586-T1, FUN_006589-T1, FUN_006598-T1, FUN_006585-T1, FUN_006597-T1, FUN_006599-T1, FUN_006588-T1, FUN_006590-T1, FUN_006596-T1	Pocillopora_meandrina_HIv1___TS.g29695.t1
OG0001069	FUN_006766-T1	Pocillopora_meandrina_HIv1___TS.g18030.t1, Pocillopora_meandrina_HIv1___RNAseq.g14328.t1, Pocillopora_meandrina_HIv1___RNAseq.g8624.t1, Pocillopora_meandrina_HIv1___TS.g29539.t1, Pocillopora_meandrina_HIv1___RNAseq.g20045.t1, Pocillopora_meandrina_HIv1___RNAseq.g20055.t1
OG0001070	FUN_029530-T1, FUN_029531-T1, FUN_007330-T1, FUN_029336-T1, FUN_029335-T1, FUN_029333-T1, FUN_029332-T1, FUN_029331-T1	Pocillopora_meandrina_HIv1___RNAseq.g17118.t1
OG0001071	FUN_007616-T1	Pocillopora_meandrina_HIv1___TS.g6879.t1, Pocillopora_meandrina_HIv1___RNAseq.g28244.t1, Pocillopora_meandrina_HIv1___RNAseq.g28245.t1, Pocillopora_meandrina_HIv1___RNAseq.g28246.t1
OG0001072	FUN_007730-T1, FUN_007744-T1, FUN_007714-T1, FUN_007724-T1, FUN_008565-T1, FUN_008566-T1, FUN_008564-T1, FUN_008563-T1	Pocillopora_meandrina_HIv1___TS.g8418.t1
OG0001074	FUN_013099-T1, FUN_007901-T1, FUN_034018-T1, FUN_013101-T1	Pocillopora_meandrina_HIv1___RNAseq.g26076.t1, Pocillopora_meandrina_HIv1___RNAseq.g26073.t1, Pocillopora_meandrina_HIv1___RNAseq.g26075.t1
OG0001075	FUN_007948-T1	Pocillopora_meandrina_HIv1___RNAseq.g18135.t1
OG0001076	FUN_030129-T1, FUN_008598-T1	Pocillopora_meandrina_HIv1___TS.g13357.t1
OG0001077	FUN_008693-T1, FUN_008693-T2	Pocillopora_meandrina_HIv1___RNAseq.g6275.t1, Pocillopora_meandrina_HIv1___RNAseq.g6278.t1, Pocillopora_meandrina_HIv1___TS.g15666.t1, Pocillopora_meandrina_HIv1___RNAseq.g6285.t1, Pocillopora_meandrina_HIv1___RNAseq.g6283.t1, Pocillopora_meandrina_HIv1___RNAseq.g6307.t1
OG0001078	FUN_008699-T1	Pocillopora_meandrina_HIv1___RNAseq.g6277.t1, Pocillopora_meandrina_HIv1___TS.g15664.t1, Pocillopora_meandrina_HIv1___RNAseq.g6297.t1, Pocillopora_meandrina_HIv1___RNAseq.g6282.t1, Pocillopora_meandrina_HIv1___RNAseq.g6284.t1, Pocillopora_meandrina_HIv1___RNAseq.g6295.t1, Pocillopora_meandrina_HIv1___RNAseq.g6290.t1
OG0001079	FUN_019601-T1	Pocillopora_meandrina_HIv1___RNAseq.g22612.t1, Pocillopora_meandrina_HIv1___RNAseq.g29007.t1, Pocillopora_meandrina_HIv1___RNAseq.g5419.t1, Pocillopora_meandrina_HIv1___RNAseq.g8233.t1, Pocillopora_meandrina_HIv1___TS.g22139.t1a, Pocillopora_meandrina_HIv1___RNAseq.g28626.t1
OG0001080	FUN_009362-T1, FUN_009355-T1, FUN_009356-T1, FUN_009357-T1, FUN_009358-T1, FUN_044661-T1	Pocillopora_meandrina_HIv1___TS.g5886.t1, Pocillopora_meandrina_HIv1___RNAseq.g14419.t1
OG0001081	FUN_009361-T1	Pocillopora_meandrina_HIv1___RNAseq.g14460.t1, Pocillopora_meandrina_HIv1___TS.g6610.t1
OG0001084	FUN_033354-T1, FUN_020899-T1, FUN_010030-T1	Pocillopora_meandrina_HIv1___RNAseq.g6349.t1, Pocillopora_meandrina_HIv1___RNAseq.g16220.t1, Pocillopora_meandrina_HIv1___RNAseq.g10123.t1, Pocillopora_meandrina_HIv1___RNAseq.g19232.t1, Pocillopora_meandrina_HIv1___RNAseq.g24680.t2
OG0001085	FUN_043166-T1, FUN_010127-T1	Pocillopora_meandrina_HIv1___RNAseq.g6823.t1, Pocillopora_meandrina_HIv1___TS.g560.t1
OG0001086	FUN_021155-T1, FUN_031024-T1, FUN_011385-T1, FUN_010160-T1, FUN_019121-T1, FUN_045055-T1	Pocillopora_meandrina_HIv1___RNAseq.g8067.t1, Pocillopora_meandrina_HIv1___RNAseq.g27270.t1, Pocillopora_meandrina_HIv1___RNAseq.g9116.t1
OG0001087	FUN_034070-T1, FUN_026269-T1, FUN_044441-T1, FUN_041004-T1, FUN_013516-T1, FUN_010484-T1, FUN_018265-T1, FUN_040099-T1	Pocillopora_meandrina_HIv1___TS.g5780.t1c
OG0001089	FUN_011131-T1, FUN_011187-T1, FUN_011248-T1, FUN_011130-T1, FUN_011068-T1, FUN_011068-T2, FUN_011186-T1, FUN_011068-T3	Pocillopora_meandrina_HIv1___RNAseq.g22350.t1
OG0001091	FUN_011996-T1	Pocillopora_meandrina_HIv1___RNAseq.g9546.t1, Pocillopora_meandrina_HIv1___RNAseq.g9548.t1, Pocillopora_meandrina_HIv1___RNAseq.g9549.t1, Pocillopora_meandrina_HIv1___RNAseq.g23700.t1, Pocillopora_meandrina_HIv1___RNAseq.g23702.t1
OG0001092	FUN_012269-T1, FUN_012270-T1, FUN_012248-T1, FUN_012249-T1, FUN_012247-T1	Pocillopora_meandrina_HIv1___RNAseq.g23563.t1
OG0001093	FUN_012442-T1, FUN_012457-T1, FUN_012430-T1	Pocillopora_meandrina_HIv1___RNAseq.g23681.t1, Pocillopora_meandrina_HIv1___RNAseq.g15614.t1, Pocillopora_meandrina_HIv1___RNAseq.g19783.t1, Pocillopora_meandrina_HIv1___RNAseq.g23684.t1
OG0001094	FUN_012461-T1, FUN_012445-T1, FUN_012461-T2, FUN_012436-T2, FUN_012436-T1	Pocillopora_meandrina_HIv1___RNAseq.g23683.t1, Pocillopora_meandrina_HIv1___RNAseq.g23685.t1, Pocillopora_meandrina_HIv1___RNAseq.g23686.t1
OG0001095	FUN_013138-T1	Pocillopora_meandrina_HIv1___RNAseq.g8427.t1, Pocillopora_meandrina_HIv1___RNAseq.g8426.t1, Pocillopora_meandrina_HIv1___RNAseq.g8425.t1, Pocillopora_meandrina_HIv1___RNAseq.g23019.t1, Pocillopora_meandrina_HIv1___RNAseq.g23013.t1, Pocillopora_meandrina_HIv1___RNAseq.g23014.t1, Pocillopora_meandrina_HIv1___TS.g15900.t1
OG0001096	FUN_013429-T1, FUN_013459-T1, FUN_013436-T1, FUN_013471-T1, FUN_013492-T1	Pocillopora_meandrina_HIv1___RNAseq.g23120.t1
OG0001098	FUN_013825-T1	Pocillopora_meandrina_HIv1___RNAseq.g10115.t1, Pocillopora_meandrina_HIv1___RNAseq.g6142.t1, Pocillopora_meandrina_HIv1___RNAseq.g14350.t1, Pocillopora_meandrina_HIv1___TS.g18562.t1, Pocillopora_meandrina_HIv1___TS.g5829.t1, Pocillopora_meandrina_HIv1___RNAseq.g10116.t1, Pocillopora_meandrina_HIv1___RNAseq.g29100.t1, Pocillopora_meandrina_HIv1___TS.g6325.t1, Pocillopora_meandrina_HIv1___TS.g6323.t1
OG0001099	FUN_014271-T1, FUN_045719-T1	Pocillopora_meandrina_HIv1___RNAseq.g17550.t1
OG0001100	FUN_033606-T1, FUN_014300-T1, FUN_022169-T1, FUN_040003-T1, FUN_027531-T1, FUN_043760-T1	Pocillopora_meandrina_HIv1___TS.g7458.t1, Pocillopora_meandrina_HIv1___RNAseq.g27521.t1
OG0001102	FUN_015247-T1	Pocillopora_meandrina_HIv1___RNAseq.g15264.t1
OG0001102	FUN_015249-T1, FUN_015248-T1, FUN_015251-T1, FUN_015253-T1, FUN_015255-T1	Pocillopora_meandrina_HIv1___RNAseq.g22205.t2
OG0001103	FUN_015312-T1, FUN_015313-T1, FUN_015316-T1, FUN_015317-T1, FUN_015314-T1	Pocillopora_meandrina_HIv1___TS.g26481.t1, Pocillopora_meandrina_HIv1___TS.g26480.t1
OG0001104	FUN_015803-T1	Pocillopora_meandrina_HIv1___RNAseq.g4850.t1, Pocillopora_meandrina_HIv1___RNAseq.g1219.t1, Pocillopora_meandrina_HIv1___RNAseq.g4865.t1, Pocillopora_meandrina_HIv1___RNAseq.g2800.t1, Pocillopora_meandrina_HIv1___RNAseq.g3186.t1, Pocillopora_meandrina_HIv1___RNAseq.g5624.t1
OG0001105	FUN_016290-T1	Pocillopora_meandrina_HIv1___RNAseq.g17331.t2
OG0001105	FUN_029874-T1, FUN_029772-T1	Pocillopora_meandrina_HIv1___RNAseq.g17328.t1b
OG0001106	FUN_031249-T1, FUN_016747-T1	Pocillopora_meandrina_HIv1___TS.g21320.t1
OG0001106	FUN_025461-T1	Pocillopora_meandrina_HIv1___RNAseq.g19700.t1, Pocillopora_meandrina_HIv1___TS.g8531.t1, Pocillopora_meandrina_HIv1___RNAseq.g27072.t1a
OG0001107	FUN_017767-T1	Pocillopora_meandrina_HIv1___RNAseq.g460.t1
OG0001110	FUN_020791-T1	Pocillopora_meandrina_HIv1___RNAseq.g6292.t1, Pocillopora_meandrina_HIv1___RNAseq.g6299.t1, Pocillopora_meandrina_HIv1___RNAseq.g6300.t1, Pocillopora_meandrina_HIv1___RNAseq.g6294.t1, Pocillopora_meandrina_HIv1___RNAseq.g16599.t1, Pocillopora_meandrina_HIv1___RNAseq.g6304.t1, Pocillopora_meandrina_HIv1___RNAseq.g6293.t1, Pocillopora_meandrina_HIv1___RNAseq.g11539.t2
OG0001111	FUN_021999-T1	Pocillopora_meandrina_HIv1___RNAseq.g3133.t1
OG0001111	FUN_022007-T1, FUN_022004-T1	Pocillopora_meandrina_HIv1___RNAseq.g3134.t1
OG0001112	FUN_022109-T3, FUN_022109-T1, FUN_022109-T5, FUN_022109-T4, FUN_022109-T6, FUN_022109-T2	Pocillopora_meandrina_HIv1___RNAseq.g9227.t1
OG0001113	FUN_025984-T1	Pocillopora_meandrina_HIv1___TS.g13920.t1
OG0001113	FUN_022676-T1	Pocillopora_meandrina_HIv1___TS.g22257.t1
OG0001114	FUN_045093-T1, FUN_045092-T1, FUN_023092-T1, FUN_023090-T1	Pocillopora_meandrina_HIv1___TS.g4175.t1, Pocillopora_meandrina_HIv1___RNAseq.g1663.t1, Pocillopora_meandrina_HIv1___RNAseq.g1665.t1
OG0001115	FUN_045099-T2, FUN_045099-T1, FUN_045099-T3, FUN_023357-T1	Pocillopora_meandrina_HIv1___RNAseq.g17439.t1
OG0001116	FUN_024752-T1	Pocillopora_meandrina_HIv1___RNAseq.g7343.t1
OG0001116	FUN_039897-T1, FUN_039898-T1, FUN_039904-T1	Pocillopora_meandrina_HIv1___RNAseq.g7344.t1, Pocillopora_meandrina_HIv1___RNAseq.g7342.t1
OG0001117	FUN_024838-T1	Pocillopora_meandrina_HIv1___TS.g8165.t1b, Pocillopora_meandrina_HIv1___RNAseq.g3832.t1, Pocillopora_meandrina_HIv1___RNAseq.g22766.t1a, Pocillopora_meandrina_HIv1___RNAseq.g3775.t1, Pocillopora_meandrina_HIv1___RNAseq.g3575.t1, Pocillopora_meandrina_HIv1___TS.g17363.t1, Pocillopora_meandrina_HIv1___RNAseq.g16783.t1, Pocillopora_meandrina_HIv1___RNAseq.g16231.t1
OG0001118	FUN_025357-T1, FUN_025348-T1, FUN_025356-T1, FUN_025353-T1	Pocillopora_meandrina_HIv1___TS.g2360.t1a, Pocillopora_meandrina_HIv1___RNAseq.26632_t, Pocillopora_meandrina_HIv1___TS.g8973.t2
OG0001119	FUN_025687-T1	Pocillopora_meandrina_HIv1___TS.g22815.t1, Pocillopora_meandrina_HIv1___RNAseq.g13172.t1, Pocillopora_meandrina_HIv1___RNAseq.g13174.t1, Pocillopora_meandrina_HIv1___RNAseq.g13175.t1, Pocillopora_meandrina_HIv1___RNAseq.g13169.t1, Pocillopora_meandrina_HIv1___RNAseq.g13170.t1, Pocillopora_meandrina_HIv1___RNAseq.g13171.t1
OG0001120	FUN_026502-T1, FUN_026508-T1, FUN_026506-T1, FUN_026507-T1, FUN_026498-T1, FUN_026503-T1, FUN_026501-T1	Pocillopora_meandrina_HIv1___TS.g21607.t1, Pocillopora_meandrina_HIv1___RNAseq.g4201.t1
OG0001123	FUN_029004-T1, FUN_029003-T1, FUN_029005-T1	Pocillopora_meandrina_HIv1___RNAseq.26869_t, Pocillopora_meandrina_HIv1___RNAseq.g25764.t1
OG0001124	FUN_029109-T1	Pocillopora_meandrina_HIv1___RNAseq.g25466.t1, Pocillopora_meandrina_HIv1___RNAseq.g25468.t1, Pocillopora_meandrina_HIv1___RNAseq.g25467.t1, Pocillopora_meandrina_HIv1___RNAseq.g25469.t1, Pocillopora_meandrina_HIv1___RNAseq.g25470.t1, Pocillopora_meandrina_HIv1___RNAseq.g25472.t1, Pocillopora_meandrina_HIv1___RNAseq.g25471.t1
OG0001126	FUN_029247-T1	Pocillopora_meandrina_HIv1___RNAseq.g15008.t1, Pocillopora_meandrina_HIv1___RNAseq.g15005.t1, Pocillopora_meandrina_HIv1___RNAseq.g15006.t1, Pocillopora_meandrina_HIv1___RNAseq.g15009.t1, Pocillopora_meandrina_HIv1___RNAseq.g15003.t1a, Pocillopora_meandrina_HIv1___TS.g9389.t1, Pocillopora_meandrina_HIv1___TS.g9392.t1, Pocillopora_meandrina_HIv1___TS.g9395.t1
OG0001127	FUN_029750-T1, FUN_029719-T1, FUN_029742-T1, FUN_029721-T1, FUN_029716-T1	Pocillopora_meandrina_HIv1___RNAseq.g28965.t1, Pocillopora_meandrina_HIv1___RNAseq.g28971.t1, Pocillopora_meandrina_HIv1___RNAseq.g28973.t1, Pocillopora_meandrina_HIv1___RNAseq.g28970.t1
OG0001128	FUN_029780-T1	Pocillopora_meandrina_HIv1___RNAseq.g21843.t1, Pocillopora_meandrina_HIv1___RNAseq.g4999.t1
OG0001128	FUN_031189-T1	Pocillopora_meandrina_HIv1___RNAseq.g8785.t1
OG0001129	FUN_029978-T1	Pocillopora_meandrina_HIv1___RNAseq.g10868.t1, Pocillopora_meandrina_HIv1___RNAseq.g12658.t1, Pocillopora_meandrina_HIv1___RNAseq.g14524.t1, Pocillopora_meandrina_HIv1___RNAseq.g21837.t1, Pocillopora_meandrina_HIv1___RNAseq.g9041.t1b, Pocillopora_meandrina_HIv1___RNAseq.g1573.t1, Pocillopora_meandrina_HIv1___RNAseq.g8358.t1
OG0001130	FUN_032660-T2	Pocillopora_meandrina_HIv1___RNAseq.g5803.t1, Pocillopora_meandrina_HIv1___RNAseq.g5806.t1, Pocillopora_meandrina_HIv1___TS.g5875.t1, Pocillopora_meandrina_HIv1___RNAseq.g14408.t1, Pocillopora_meandrina_HIv1___RNAseq.g14404.t1
OG0001131	FUN_032787-T1, FUN_032784-T1, FUN_032790-T1	Pocillopora_meandrina_HIv1___RNAseq.g29723.t1, Pocillopora_meandrina_HIv1___RNAseq.g29716.t1, Pocillopora_meandrina_HIv1___RNAseq.g29720.t1, Pocillopora_meandrina_HIv1___RNAseq.g29722.t1, Pocillopora_meandrina_HIv1___RNAseq.g29721.t1
OG0001132	FUN_033313-T1, FUN_043660-T1	Pocillopora_meandrina_HIv1___RNAseq.g11020.t1, Pocillopora_meandrina_HIv1___RNAseq.g11021.t1, Pocillopora_meandrina_HIv1___RNAseq.g11019.t1, Pocillopora_meandrina_HIv1___TS.g13526.t1, Pocillopora_meandrina_HIv1___RNAseq.g11022.t1
OG0001132	FUN_043653-T1	Pocillopora_meandrina_HIv1___RNAseq.g7397.t1
OG0001133	FUN_039595-T2, FUN_043698-T1, FUN_033542-T1, FUN_039595-T1, FUN_033542-T2	Pocillopora_meandrina_HIv1___TS.g18747.t1, Pocillopora_meandrina_HIv1___RNAseq.g2829.t1, Pocillopora_meandrina_HIv1___RNAseq.g6891.t1, Pocillopora_meandrina_HIv1___RNAseq.g26858.t1
OG0001134	FUN_033948-T2, FUN_033948-T1	Pocillopora_meandrina_HIv1___RNAseq.g26569.t1
OG0001135	FUN_034823-T1	Pocillopora_meandrina_HIv1___RNAseq.g27188.t1, Pocillopora_meandrina_HIv1___RNAseq.g27209.t1, Pocillopora_meandrina_HIv1___RNAseq.g27201.t1, Pocillopora_meandrina_HIv1___RNAseq.g27214.t1, Pocillopora_meandrina_HIv1___RNAseq.g27210.t1, Pocillopora_meandrina_HIv1___RNAseq.g27211.t1, Pocillopora_meandrina_HIv1___TS.g14548.t1
OG0001136	FUN_035904-T1	Pocillopora_meandrina_HIv1___RNAseq.g12030.t1
OG0001137	FUN_038970-T1	Pocillopora_meandrina_HIv1___TS.g3165.t1, Pocillopora_meandrina_HIv1___TS.g8239.t1, Pocillopora_meandrina_HIv1___TS.g487.t1, Pocillopora_meandrina_HIv1___RNAseq.g9106.t1, Pocillopora_meandrina_HIv1___RNAseq.g19194.t1, Pocillopora_meandrina_HIv1___RNAseq.g6741.t1
OG0001137	FUN_045362-T1	Pocillopora_meandrina_HIv1___RNAseq.g25997.t1
OG0001140	FUN_040110-T1, FUN_040108-T2, FUN_040108-T1, FUN_040109-T1	Pocillopora_meandrina_HIv1___RNAseq.g8722.t1, Pocillopora_meandrina_HIv1___RNAseq.g8721.t1, Pocillopora_meandrina_HIv1___RNAseq.g8719.t1, Pocillopora_meandrina_HIv1___TS.g20446.t1
OG0001142	FUN_042074-T1	Pocillopora_meandrina_HIv1___RNAseq.g25676.t1, Pocillopora_meandrina_HIv1___RNAseq.g6250.t1, Pocillopora_meandrina_HIv1___TS.g15594.t1, Pocillopora_meandrina_HIv1___RNAseq.g6236.t1, Pocillopora_meandrina_HIv1___TS.g15598.t1
OG0001143	FUN_042903-T1, FUN_042903-T2, FUN_042883-T1	Pocillopora_meandrina_HIv1___RNAseq.g7224.t1
OG0001144	FUN_043273-T1, FUN_043274-T1, FUN_043274-T2, FUN_043276-T1	Pocillopora_meandrina_HIv1___RNAseq.g8882.t1
OG0001144	FUN_043275-T1	Pocillopora_meandrina_HIv1___RNAseq.g8883.t1
OG0001145	FUN_043571-T1	Pocillopora_meandrina_HIv1___TS.g1777.t2
OG0001145	FUN_043570-T1	Pocillopora_meandrina_HIv1___RNAseq.g8025.t1
OG0001146	FUN_043727-T1	Pocillopora_meandrina_HIv1___RNAseq.g11138.t1
OG0001148	FUN_045118-T1	Pocillopora_meandrina_HIv1___TS.g9705.t1b, Pocillopora_meandrina_HIv1___RNAseq.g16063.t1
OG0001148	FUN_044911-T1, FUN_045798-T1	Pocillopora_meandrina_HIv1___TS.g20726.t1, Pocillopora_meandrina_HIv1___RNAseq.g16309.t1, Pocillopora_meandrina_HIv1___RNAseq.g16062.t1, Pocillopora_meandrina_HIv1___TS.g9705.t1c
OG0001149	FUN_045158-T1	Pocillopora_meandrina_HIv1___RNAseq.g8937.t1a, Pocillopora_meandrina_HIv1___RNAseq.g26690.t1, Pocillopora_meandrina_HIv1___RNAseq.g25991.t1, Pocillopora_meandrina_HIv1___RNAseq.g26686.t1
OG0001150	FUN_045439-T1	Pocillopora_meandrina_HIv1___TS.g28126.t1, Pocillopora_meandrina_HIv1___RNAseq.g27525.t1, Pocillopora_meandrina_HIv1___RNAseq.g25966.t1, Pocillopora_meandrina_HIv1___RNAseq.g15829.t1, Pocillopora_meandrina_HIv1___RNAseq.g27267.t1, Pocillopora_meandrina_HIv1___RNAseq.g10206.t1b, Pocillopora_meandrina_HIv1___RNAseq.g26828.t1, Pocillopora_meandrina_HIv1___TS.g26834.t1
OG0001151	FUN_045632-T1	Pocillopora_meandrina_HIv1___TS.g12848.t1, Pocillopora_meandrina_HIv1___TS.g17446.t1, Pocillopora_meandrina_HIv1___TS.g7019.t1
OG0001205	FUN_033118-T1, FUN_019340-T1, FUN_000367-T1, FUN_039553-T1, FUN_031439-T1, FUN_017257-T1	Pocillopora_meandrina_HIv1___TS.g20638.t1, Pocillopora_meandrina_HIv1___RNAseq.g17697.t1, Pocillopora_meandrina_HIv1___RNAseq.g2824.t1b
OG0001207	FUN_000407-T5, FUN_000407-T1, FUN_000407-T4, FUN_000407-T3, FUN_000407-T6, FUN_000407-T2	Pocillopora_meandrina_HIv1___RNAseq.g2545.t1, Pocillopora_meandrina_HIv1___RNAseq.g20498.t2
OG0001208	FUN_004075-T1, FUN_002108-T1, FUN_004074-T1, FUN_018210-T1, FUN_002109-T1, FUN_042143-T1, FUN_009662-T1, FUN_000906-T1	Pocillopora_meandrina_HIv1___RNAseq.g5038.t1
