Orthogroup	Apulchra-genome.pep	Pocillopora_meandrina_HIv1.genes.pep
OG0000047	FUN_024298-T1, FUN_024294-T1, FUN_024318-T1, FUN_024283-T1, FUN_024266-T1, FUN_024229-T1, FUN_026907-T1, FUN_024256-T1, FUN_024302-T1, FUN_024311-T1, FUN_024275-T1, FUN_024263-T1, FUN_024291-T1, FUN_024326-T1, FUN_024253-T3, FUN_024253-T2, FUN_024253-T1, FUN_024305-T1, FUN_024259-T1, FUN_024231-T1, FUN_024309-T1, FUN_024273-T1, FUN_024241-T1, FUN_024271-T1, FUN_024307-T1, FUN_024236-T1, FUN_024293-T1, FUN_024262-T1, FUN_024238-T1, FUN_024269-T1, FUN_024225-T1, FUN_024228-T1, FUN_024292-T1, FUN_024240-T1, FUN_024235-T1, FUN_024261-T1, FUN_024304-T1, FUN_024258-T1	Pocillopora_meandrina_HIv1___RNAseq.g18919.t1b
OG0000049	FUN_009417-T1, FUN_031228-T1, FUN_009400-T1, FUN_009397-T3, FUN_009397-T2	Pocillopora_meandrina_HIv1___RNAseq.g5928.t1a
OG0000053	FUN_039411-T1, FUN_039364-T1, FUN_031376-T1, FUN_031402-T1, FUN_031367-T1, FUN_031368-T3, FUN_031368-T2, FUN_031329-T1, FUN_031341-T1, FUN_031407-T1, FUN_031368-T1, FUN_031416-T1, FUN_039326-T1, FUN_039326-T2, FUN_031408-T1, FUN_039340-T1, FUN_039412-T1, FUN_031355-T1, FUN_031388-T1, FUN_031393-T1, FUN_031317-T1, FUN_031412-T1, FUN_031415-T1, FUN_039410-T1, FUN_031328-T1, FUN_031366-T1, FUN_039399-T1, FUN_031420-T1, FUN_031335-T1, FUN_031375-T1, FUN_031380-T1, FUN_031424-T1, FUN_031347-T1, FUN_031353-T1, FUN_039372-T1, FUN_039392-T1, FUN_039325-T1, FUN_031358-T1, FUN_039373-T1, FUN_031354-T1, FUN_031330-T1	Pocillopora_meandrina_HIv1___TS.g23872.t1
OG0000064	FUN_045432-T1	Pocillopora_meandrina_HIv1___RNAseq.g6222.t1, Pocillopora_meandrina_HIv1___RNAseq.g12945.t1
OG0000064	FUN_044428-T1	Pocillopora_meandrina_HIv1___TS.g23490.t1
OG0000070	FUN_000286-T2, FUN_000286-T3, FUN_000286-T1	Pocillopora_meandrina_HIv1___RNAseq.g27892.t1a
OG0000072	FUN_003925-T1, FUN_004398-T1	Pocillopora_meandrina_HIv1___RNAseq.g11718.t1, Pocillopora_meandrina_HIv1___RNAseq.g11731.t1, Pocillopora_meandrina_HIv1___RNAseq.g11722.t1, Pocillopora_meandrina_HIv1___TS.g7850.t1, Pocillopora_meandrina_HIv1___RNAseq.g11732.t1, Pocillopora_meandrina_HIv1___TS.g7831.t1, Pocillopora_meandrina_HIv1___RNAseq.g11719.t1, Pocillopora_meandrina_HIv1___TS.g7837.t1, Pocillopora_meandrina_HIv1___RNAseq.g11729.t1, Pocillopora_meandrina_HIv1___RNAseq.g11725.t1, Pocillopora_meandrina_HIv1___RNAseq.g11726.t1, Pocillopora_meandrina_HIv1___RNAseq.g11723.t1, Pocillopora_meandrina_HIv1___TS.g7835.t1, Pocillopora_meandrina_HIv1___TS.g7851.t1, Pocillopora_meandrina_HIv1___TS.g7854.t1, Pocillopora_meandrina_HIv1___RNAseq.g11730.t1, Pocillopora_meandrina_HIv1___RNAseq.g11721.t1, Pocillopora_meandrina_HIv1___TS.g20847.t1, Pocillopora_meandrina_HIv1___RNAseq.g16719.t2, Pocillopora_meandrina_HIv1___RNAseq.g16723.t1, Pocillopora_meandrina_HIv1___TS.g17553.t1, Pocillopora_meandrina_HIv1___TS.g7857.t1, Pocillopora_meandrina_HIv1___RNAseq.g11741.t1, Pocillopora_meandrina_HIv1___TS.g7861.t1, Pocillopora_meandrina_HIv1___RNAseq.g11749.t1, Pocillopora_meandrina_HIv1___RNAseq.g11748.t1, Pocillopora_meandrina_HIv1___RNAseq.g11747.t1, Pocillopora_meandrina_HIv1___RNAseq.g11740.t1, Pocillopora_meandrina_HIv1___RNAseq.g11744.t1, Pocillopora_meandrina_HIv1___TS.g7819.t1, Pocillopora_meandrina_HIv1___TS.g7820.t1, Pocillopora_meandrina_HIv1___RNAseq.g11711.t1, Pocillopora_meandrina_HIv1___RNAseq.g11714.t1, Pocillopora_meandrina_HIv1___TS.g7822.t1, Pocillopora_meandrina_HIv1___RNAseq.g11717.t1
OG0000073	FUN_008729-T1	Pocillopora_meandrina_HIv1___TS.g68.t1, Pocillopora_meandrina_HIv1___RNAseq.g12742.t1, Pocillopora_meandrina_HIv1___RNAseq.g12743.t1, Pocillopora_meandrina_HIv1___RNAseq.g12729.t1, Pocillopora_meandrina_HIv1___RNAseq.g12718.t1, Pocillopora_meandrina_HIv1___RNAseq.g12741.t1
OG0000074	FUN_012092-T1, FUN_012081-T1, FUN_012079-T1, FUN_012079-T2, FUN_022272-T1	Pocillopora_meandrina_HIv1___RNAseq.g9806.t1
OG0000077	FUN_012089-T1	Pocillopora_meandrina_HIv1___RNAseq.g5459.t1
