given_miRNA_name,mRNA,total_binding_sites,sites_3UTR,sites_5UTR,sites_CDS,PCC.cor,Protein.names
peve-mir-novel-2,Peve_00002096,2,0,0,2,-0.998981183536662,Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Palmitoyl-CoA ligase) (Phytanate--CoA ligase) (EC 6.2.1.24)
peve-mir-novel-2,Peve_00010789,2,0,0,2,-0.999232776560249,NA
peve-mir-novel-2,Peve_00013326,4,0,0,4,-0.999852555868755,tRNA(Glu)-specific nuclease WapA (EC 3.1.-.-) (Cell wall-associated protein) (RNase WapA) (Toxin WapA)
peve-mir-novel-2,Peve_00013835,3,0,0,3,-0.999640099755155,NA
peve-mir-novel-2,Peve_00014560,2,0,0,2,-0.997728095293297,PR domain zinc finger protein 14 (EC 2.1.1.-) (PR domain-containing protein 14)
peve-mir-novel-2,Peve_00020859,2,0,0,2,-0.996961236510919,NA
peve-mir-novel-2,Peve_00028312,2,0,0,2,-0.999574579742918,SCO-spondin (SCO-spondin pseudogene)
peve-mir-novel-2,Peve_00028439,3,0,0,3,0.998146330451858,Dynein axonemal heavy chain 3 (Axonemal beta dynein heavy chain 3) (HsADHC3) (Ciliary dynein heavy chain 3) (Dnahc3-b)
peve-mir-novel-2,Peve_00031401,2,0,0,2,0.998108703054888,Cleavage and polyadenylation specificity factor subunit 1 (Cleavage and polyadenylation specific factor 1)
peve-mir-novel-2,Peve_00035839,2,0,1,1,-0.999999999503679,Merlin (Moesin-ezrin-radixin-like protein) (Neurofibromin-2) (Schwannomin)
peve-mir-novel-2,Peve_00036365,2,0,0,2,-0.998965392859537,Type II inositol 1,4,5-trisphosphate 5-phosphatase (EC 3.1.3.36) (Inositol polyphosphate-5-phosphatase B) (Phosphoinositide 5-phosphatase) (5PTase)
peve-mir-novel-2,Peve_00037142,2,0,0,2,-0.997740919047806,NA
peve-mir-novel-2,Peve_00037538,3,0,0,3,-0.998807256137127,Contactin-associated protein 1 (Caspr) (Caspr1) (MHDNIV) (NCP1) (Neurexin IV) (Neurexin-4) (Paranodin)
peve-mir-novel-2,Peve_00038545,2,0,0,2,-0.999984274571916,NA
peve-mir-novel-2,Peve_00041178,2,0,0,2,0.998539575899744,NA
peve-mir-novel-2,Peve_00042937,2,0,0,2,-0.999999785578752,NA
peve-mir-novel-20,Peve_00026145,2,1,1,0,0.997253647308052,NA
peve-mir-novel-24,Peve_00026617,2,0,2,0,1,NA
peve-mir-novel-3,Peve_00001819,2,0,0,2,0.998906823578492,NFX1-type zinc finger-containing protein 1
peve-mir-novel-3,Peve_00003302,2,0,0,2,0.998226961786262,Centrosomal protein of 120 kDa (Cep120) (Coiled-coil domain-containing protein 100)
peve-mir-novel-3,Peve_00007538,2,0,0,2,0.997223297346734,Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)
peve-mir-novel-3,Peve_00013835,2,0,0,2,0.99796247257867,NA
peve-mir-novel-3,Peve_00021264,2,0,0,2,0.997162801221593,TPR and ankyrin repeat-containing protein 1 (Lupus brain antigen 1 homolog)
peve-mir-novel-3,Peve_00031940,2,1,0,1,-0.999663016871668,ATP-dependent RNA helicase DDX1 (EC 3.6.4.13) (DEAD box protein 1)
peve-mir-novel-3,Peve_00033364,2,1,0,1,0.999260034938896,9,11-endoperoxide prostaglandin H2 reductase (EC 1.1.1.-) (Prostaglandin F2-alpha synthase)
peve-mir-novel-3,Peve_00036728,2,0,0,2,0.997360080379969,E3 ubiquitin-protein ligase RNF123 (EC 2.3.2.27) (Kip1 ubiquitination-promoting complex protein 1) (RING finger protein 123) (RING-type E3 ubiquitin transferase RNF123)
peve-mir-novel-3,Peve_00036964,2,0,1,1,0.997077513398696,Neuron navigator 3 (Pore membrane and/or filament-interacting-like protein 1)
peve-mir-novel-3,Peve_00037461,11,0,0,11,0.999848047205772,Leucine-rich repeat protein lrrA
peve-mir-novel-3,Peve_00037776,2,0,0,2,0.999479239377096,BTB/POZ domain-containing protein 6
