POR.71	POR.73	POR.76	POR.79	POR.82
lncRNA_005	8.16112778187395	7.82521404163648	2.91159056955	7.81052420696309	8.21639141877136
lncRNA_033	7.58416528230053	2.91159056955	3.46127493295422	5.58820861975637	6.48886553721892
lncRNA_057	3.84349699047896	6.29799372930206	3.46127493295422	2.91159056955	5.41161960706588
lncRNA_059	3.72205042109823	2.91159056955	6.47640853825841	3.78648028173444	4.81322442749051
lncRNA_065	7.7784612673139	7.00195686944222	7.00546689891928	2.91159056955	3.50954823145356
lncRNA_066	5.91715576737054	5.74802514363803	2.91159056955	3.97534079542819	5.84126178747258
lncRNA_070	10.7274169160007	10.591037836166	5.1525630955435	11.3481651176642	8.53485944379091
lncRNA_071	7.78379694698694	5.17784385082861	2.91159056955	4.92116501146985	5.3166059916375
lncRNA_083	6.72137417886151	5.69520581556316	3.46127493295422	4.59173602366875	6.04404791425828
lncRNA_096	7.00413663846537	5.00985981855357	8.60623830275608	7.17461391369424	7.20062857097228
lncRNA_097	7.26331337892754	6.58267006710297	6.69353448655266	8.76731469453593	3.33591238883686
lncRNA_103	12.6848933132809	12.2219675896333	9.90980862718494	12.8621904522693	12.7666222535543
lncRNA_111	4.1294480663812	5.98567400919295	4.11314116439085	6.78280729194414	4.15070933539762
lncRNA_125	6.91919313313845	2.91159056955	2.91159056955	3.53489509492633	6.55111772690267
lncRNA_126	5.93672343887363	2.91159056955	2.91159056955	2.91159056955	5.56339630357428
lncRNA_129	6.30999216904772	7.5613606929279	4.11314116439085	5.29589859098301	5.71849125111034
lncRNA_132	6.61716326665198	5.8954089016236	4.56790443580644	7.64538095987159	8.43995834546423
lncRNA_136	9.06992079396472	9.07984700204076	5.7342893950799	8.13752335441761	8.80403390521585
lncRNA_147	9.37195292498596	9.1821243818539	6.48540126626082	9.47391387311476	10.4413673412851
lncRNA_156	3.72205042109823	2.91159056955	6.28345102654955	4.59173602366875	4.84894910293281
lncRNA_158	7.78379694698694	4.3040651443475	4.64042026549017	6.42145102695051	3.64138343039457
lncRNA_165	8.64701931486647	5.09654427853507	5.08019122526968	7.8645632220754	9.04696276170327
lncRNA_182	6.10153526592441	5.39559741635735	8.01775461593274	8.86767737061996	7.23879813406298
lncRNA_209	7.7514820670602	7.25598341621852	6.119250292973	9.30197249213765	8.94315569639323
lncRNA_217	7.09296394022906	2.91159056955	7.26147248870296	6.21332787435916	5.64312372423398
lncRNA_220	12.1774362126424	8.15743542778546	7.1866083522944	6.78280729194414	10.2596446947409
lncRNA_221	5.9750570190179	5.17784385082861	7.69839231278436	2.91159056955	5.50040494528056
lncRNA_222	2.91159056955	7.21971208817348	6.75419761707682	2.91159056955	3.33591238883686
lncRNA_223	6.46518927179812	2.91159056955	2.91159056955	5.67323080853507	4.73854852480381
lncRNA_237	6.97637813642078	5.74802514363803	3.46127493295422	2.91159056955	3.75138928878803
lncRNA_250	4.95908698043493	2.91159056955	7.41921652848749	6.78280729194414	5.52172597500177
lncRNA_251	8.29039174714784	7.64571750858177	6.64628324445643	2.91159056955	6.19537372179321
lncRNA_252	2.91159056955	6.69295931408521	2.91159056955	2.91159056955	7.65547532103755
lncRNA_255	7.86658289430129	7.27378112713056	5.8086932443744	2.91159056955	2.91159056955
lncRNA_256	4.28179693445021	11.709989343765	3.46127493295422	8.39164503415331	8.07261873542242
lncRNA_257	2.91159056955	2.91159056955	2.91159056955	2.91159056955	6.10097355459517
lncRNA_258	15.4885034404096	16.1550193625611	14.9307327356199	7.88213467377949	7.14810339441443
lncRNA_261	10.2727544454683	8.52686861241213	5.30746647010815	11.6128403821061	9.13372716272531
lncRNA_262	5.2128346745176	5.98567400919295	2.91159056955	5.79169575131372	6.01469687478074
lncRNA_263	6.87976007541826	7.0231772911338	2.91159056955	6.21332787435916	6.02944904275993
lncRNA_264	2.91159056955	8.51197904102807	3.68439946549527	2.91159056955	7.77703463194334
lncRNA_266	2.91159056955	5.32686792854306	2.91159056955	2.91159056955	5.16012499467484
lncRNA_273	8.79691770799942	7.42475229023733	8.04218492614322	3.97534079542819	8.12780539541555
lncRNA_275	7.99171656693836	9.37544268438391	5.34861675423439	7.28456553987435	7.60771272594851
lncRNA_279	7.64408429616473	8.86235161299097	5.7645309311294	5.05835169813235	5.62362081695026
lncRNA_282	7.34507935845743	6.11103780983614	4.56790443580644	6.83805996001148	8.94315569639323
lncRNA_284	5.77191785119203	2.91159056955	3.30144420015574	4.59173602366875	2.91159056955
lncRNA_289	4.83295371173662	6.36636773036247	2.91159056955	4.4931606614107	5.26645821496714
lncRNA_292	2.91159056955	3.91456550627732	5.85149705172978	3.78648028173444	5.45673648912655
lncRNA_293	3.57617239538529	5.32686792854306	6.0478160130341	2.91159056955	3.75138928878803
lncRNA_314	3.57617239538529	2.91159056955	2.91159056955	2.91159056955	5.80727669986738
lncRNA_317	5.27718725711826	2.91159056955	5.44631769080583	2.91159056955	5.70003106477085
lncRNA_319	2.91159056955	2.91159056955	5.85149705172978	2.91159056955	2.91159056955
lncRNA_332	3.84349699047896	2.91159056955	7.46967409551334	7.89949425938103	5.58376586177361
lncRNA_342	7.04033076141244	10.059856759811	6.7908442705163	6.68568944261875	7.33588473078408
lncRNA_355	2.91159056955	2.91159056955	5.71891763150871	2.91159056955	2.91159056955
lncRNA_371	7.86658289430129	8.40320926181187	3.46127493295422	4.76739649730317	5.54271963354062
lncRNA_372	3.72205042109823	2.91159056955	5.8086932443744	2.91159056955	4.95043567944706
lncRNA_374	9.81488082507205	9.11475163200596	6.25210147631673	9.81741666895712	9.21556653066726
lncRNA_382	9.78728403727482	4.4549141649719	8.67421678101203	3.78648028173444	9.76579368666305
lncRNA_394	4.83295371173662	3.91456550627732	5.50173213833602	4.38535021773738	7.92851707591118
lncRNA_395	2.91159056955	3.91456550627732	5.97255653946305	2.91159056955	2.91159056955
lncRNA_398	10.8594764462302	10.1611146703494	7.25625261742497	10.153657487279	10.1119051557786
lncRNA_402	6.53049383267901	3.91456550627732	4.94985218400036	2.91159056955	6.5712779837102
lncRNA_404	8.43635193181525	9.71464320749436	6.7908442705163	6.49224848307328	9.60625474628053
lncRNA_405	4.74123675000415	2.91159056955	6.27307813076317	4.1312693508544	5.3409943366908
lncRNA_417	5.33858588348539	7.89577943054026	7.10762252634183	5.44989817455058	7.95164690324005
lncRNA_423	4.28179693445021	9.23746873616562	4.56790443580644	10.1946266246269	10.5620242462714
lncRNA_429	7.48277850268947	2.91159056955	2.91159056955	2.91159056955	6.78469545045876
lncRNA_436	2.91159056955	5.17784385082861	5.32819899312298	2.91159056955	2.91159056955
lncRNA_449	4.1294480663812	6.46312286866372	5.28640865189554	2.91159056955	6.22122497083485
lncRNA_465	5.77191785119203	5.25443497221007	6.34414225911307	2.91159056955	5.52172597500177
lncRNA_467	7.71284078429913	5.58309289154598	3.46127493295422	4.59173602366875	8.19070676587663
lncRNA_479	3.38357917975982	2.91159056955	2.91159056955	5.90085335642726	5.18751749642766
lncRNA_480	3.57617239538529	4.4549141649719	4.64042026549017	5.05835169813235	7.76837404320463
lncRNA_503	5.58487952244681	7.32588783134097	2.91159056955	2.91159056955	2.91159056955
lncRNA_528	2.91159056955	6.29799372930206	7.01787002671751	8.07015173663738	7.11427101184829
lncRNA_531	2.91159056955	5.84799261501204	6.33420581475334	5.93542157163289	5.89073484015387
lncRNA_536	7.78379694698694	5.64028888195303	4.80471971721775	5.29589859098301	7.73764486813688
lncRNA_539	7.20077923542677	7.2012268321071	2.91159056955	7.85569641452664	6.82715313196407
lncRNA_541	11.0506656125913	9.86277894425631	4.94985218400036	10.7903824091796	11.7385135794847
lncRNA_544	7.77310573407159	8.5561941573022	4.16840536560771	4.38535021773738	6.33204332848505
lncRNA_546	3.72205042109823	2.91159056955	6.1422787139846	6.00209873039128	4.77644839085801
lncRNA_564	5.87717922490493	6.15046152545549	5.32819899312298	2.91159056955	6.20835845994163
lncRNA_593	6.0123702910613	4.58806019480081	2.91159056955	4.92116501146985	2.91159056955
lncRNA_596	4.20843266361047	4.3040651443475	10.6850463791326	5.12186489468587	4.73854852480381
lncRNA_599	4.95908698043493	6.55371108074565	2.91159056955	2.91159056955	3.84733742796277
lncRNA_600	5.68156100723587	5.00985981855357	5.48350990560949	2.91159056955	6.1690405437458
lncRNA_610	4.91841756580967	6.55371108074565	5.08019122526968	2.91159056955	5.82437290597991
