Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	"# Program:featureCounts v2.0.5; Command:""/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts"" ""-T"" ""42"" ""-a"" ""../output/01.6-lncRNA-pipeline/Apul_lncRNA_fixed.gtf"" ""-o"" ""../output/01.6-lncRNA-pipeline/Apul_counts.txt"" ""-t"" ""lncRNA"" ""-g"" ""gene_id"" ""-p"" ""../output/01.6-lncRNA-pipeline/RNA-ACR-140-S1-TP2.sorted.bam"" ""../output/01.6-lncRNA-pipeline/RNA-ACR-145-S1-TP2.sorted.bam"" ""../output/01.6-lncRNA-pipeline/RNA-ACR-150-S1-TP2.sorted.bam"" ""../output/01.6-lncRNA-pipeline/RNA-ACR-173-S1-TP2.sorted.bam"" ""../output/01.6-lncRNA-pipeline/RNA-ACR-178-S1-TP2.sorted.bam"" "
Geneid	Chr	Start	End	Strand	Length	../output/01.6-lncRNA-pipeline/RNA-ACR-140-S1-TP2.sorted.bam	../output/01.6-lncRNA-pipeline/RNA-ACR-145-S1-TP2.sorted.bam	../output/01.6-lncRNA-pipeline/RNA-ACR-150-S1-TP2.sorted.bam	../output/01.6-lncRNA-pipeline/RNA-ACR-173-S1-TP2.sorted.bam	../output/01.6-lncRNA-pipeline/RNA-ACR-178-S1-TP2.sorted.bam
lncRNA_406	ntLink_6	4108035	4124760	+	16726	6767	6117	3113	4737	6026
lncRNA_410	ntLink_6	4200952	4203740	+	2789	49	32	16	60	28
lncRNA_411	ntLink_6	4313434	4335151	+	21718	10500	6566	4577	7880	6691
lncRNA_413	ntLink_6	4370942	4375286	+	4345	150	151	60	190	101
lncRNA_414	ntLink_6	4371199	4380544	+	9346	162	48	28	77	153
lncRNA_415	ntLink_6	4380544	4382088	+	1545	93	92	32	90	594
lncRNA_416	ntLink_6	4420784	4437445	+	16662	458	315	231	426	318
lncRNA_419	ntLink_6	4454042	4455190	+	1149	23	0	10	23	102
lncRNA_421	ntLink_6	4476163	4495391	+	19229	676	810	645	841	1335
lncRNA_422	ntLink_6	4597369	4600693	+	3325	214	46	87	114	40
lncRNA_423	ntLink_6	4628110	4695273	+	67164	73	54	35	82	199
lncRNA_424	ntLink_6	4640626	4728341	+	87716	52	2279	53	216	2313
lncRNA_428	ntLink_6	4738717	4753448	+	14732	211	184	81	189	167
lncRNA_441	ntLink_6	4940806	4943404	+	2599	240	167	259	628	548
lncRNA_442	ntLink_6	4944400	4956230	+	11831	1921	1693	1155	1936	2189
lncRNA_444	ntLink_6	5008462	5012594	+	4133	258	283	189	222	383
lncRNA_452	ntLink_6	5264515	5279003	+	14489	92	62	88	69	291
lncRNA_456	ntLink_6	5391812	5400098	+	8287	6977	7380	5674	6985	4987
lncRNA_465	ntLink_6	5469380	5472104	+	2725	9	14	1	0	41
lncRNA_466	ntLink_6	5500165	5504081	+	3917	20	74	5	8	25
lncRNA_468	ntLink_6	5533133	5538072	+	4940	600	527	742	469	501
lncRNA_474	ntLink_6	5560536	5576441	+	15906	1483	1440	906	1498	1826
lncRNA_476	ntLink_6	5580116	5593379	+	13264	504	384	206	550	442
lncRNA_477	ntLink_6	5613753	5616701	+	2949	36	9	61	24	159
lncRNA_478	ntLink_6	5859072	5862419	+	3348	20	0	31	0	68
lncRNA_479	ntLink_6	5862626	5863268	+	643	7	1	16	2	69
lncRNA_482	ntLink_6	5871654	5873094	+	1441	0	5	40	4	63
lncRNA_483	ntLink_6	5892897	5894804	+	1908	2	0	22	4	177
lncRNA_486	ntLink_6	5946508	5949059	+	2552	2332	1840	1068	1474	2121
lncRNA_495	ntLink_6	6066021	6070132	+	4112	538	195	181	392	236
lncRNA_497	ntLink_6	6095079	6098561	+	3483	5900	5297	3117	5085	1938
lncRNA_498	ntLink_6	6118656	6120984	+	2329	3119	3292	1774	1994	629
lncRNA_508	ntLink_6	6223104	6233293	+	10190	1397	2178	497	1535	1961
lncRNA_511	ntLink_6	6296498	6324890	+	28393	1070	818	408	810	1414
lncRNA_512	ntLink_6	6341283	6352276	+	10994	1331	991	475	1138	1212
lncRNA_514	ntLink_6	6363518	6367869	+	4352	83	51	79	33	237
lncRNA_515	ntLink_6	6386002	6398176	+	12175	1751	1352	1071	989	1175
lncRNA_517	ntLink_6	6401128	6401909	+	782	0	8	13	21	23
lncRNA_518	ntLink_6	6405653	6415929	+	10277	54	0	59	10	76
lncRNA_520	ntLink_6	6423437	6427722	+	4286	521	553	370	641	483
lncRNA_521	ntLink_6	6427722	6429909	+	2188	477	278	330	140	241
lncRNA_522	ntLink_6	6429909	6431293	+	1385	158	98	74	91	104
lncRNA_525	ntLink_6	6450548	6450899	+	352	10	2	48	4	54
lncRNA_526	ntLink_6	6961336	6972273	+	10938	2246	1556	1338	2221	2414
lncRNA_532	ntLink_6	6987322	6990651	+	3330	3301	3433	2721	2890	1461
lncRNA_533	ntLink_6	7067270	7071136	+	3867	8216	3755	1729	5897	3456
lncRNA_534	ntLink_6	7040282	7041930	+	1649	48	43	23	33	66
lncRNA_535	ntLink_6	7051257	7060082	+	8826	787	415	245	632	186
lncRNA_536	ntLink_6	7081985	7084450	+	2466	317	456	257	410	254
lncRNA_537	ntLink_6	7084723	7086726	+	2004	3309	3363	1835	2037	1613
lncRNA_543	ntLink_6	7171709	7175858	+	4150	1307	1591	1387	2243	1074
lncRNA_545	ntLink_6	7221423	7226396	+	4974	1407	1448	1441	1564	966
lncRNA_546	ntLink_6	7289060	7297308	+	8249	101	109	224	220	454
lncRNA_554	ntLink_6	7375150	7377014	+	1865	35	179	59	148	61
lncRNA_562	ntLink_6	7404644	7406757	+	2114	7	331	52	45	118
lncRNA_581	ntLink_6	7863827	7868678	+	4852	211	404	199	212	288
lncRNA_582	ntLink_6	7876390	7876927	+	538	3	0	55	0	37
lncRNA_588	ntLink_6	7982427	7985761	+	3335	12	58	15	8	64
lncRNA_590	ntLink_6	7985980	7989110	+	3131	2853	5962	1369	1487	801
lncRNA_591	ntLink_6	7994840	7998012	+	3173	325	605	1381	236	200
lncRNA_598	ntLink_6	8019127	8020095	+	969	9200	19485	49735	10791	7034
lncRNA_599	ntLink_6	8024988	8025563	+	576	188	51	92	77	156
lncRNA_602	ntLink_6	8094358	8095011	+	654	449	327	376	147	545
lncRNA_604	ntLink_6	8142453	8155899	+	13447	966	469	244	421	448
lncRNA_618	ntLink_6	8342165	8353746	+	11582	3352	3491	1582	2391	1224
lncRNA_622	ntLink_6	8412380	8421864	+	9485	8284	7712	5509	10737	9039
lncRNA_623	ntLink_6	8424801	8432699	+	7899	3938	3369	2009	3497	3059
lncRNA_624	ntLink_6	8458017	8475381	+	17365	103	64	38	42	35
lncRNA_626	ntLink_6	8500543	8501080	+	538	11	1	82	1	195
lncRNA_632	ntLink_6	8567610	8571424	+	3815	12	9	12	19	16
lncRNA_633	ntLink_6	8611529	8612434	+	906	1	0	22	1	90
lncRNA_636	ntLink_6	8688513	8689590	+	1078	52	4	33	0	137
lncRNA_647	ntLink_6	8914513	8918741	+	4229	2770	241	249	425	240
lncRNA_649	ntLink_6	8927860	8946230	+	18371	166	26	156	121	502
lncRNA_650	ntLink_6	8956137	8957979	+	1843	191	111	190	123	281
lncRNA_651	ntLink_6	8959737	8961696	+	1960	236	43	4	21	563
lncRNA_659	ntLink_6	9118032	9120870	+	2839	8170	6512	5884	8868	5180
lncRNA_660	ntLink_6	9124716	9134317	+	9602	1828	1011	1156	1136	1802
lncRNA_661	ntLink_6	9148897	9154239	+	5343	6327	4253	5506	5415	5976
lncRNA_681	ntLink_6	9304119	9304482	+	364	271	307	184	405	184
lncRNA_686	ntLink_6	9366171	9371551	+	5381	284	45	200	138	444
lncRNA_687	ntLink_6	9424421	9437644	+	13224	101579	73529	50141	62973	23565
lncRNA_700	ntLink_6	9569857	9571186	+	1330	35	0	99	26	111
lncRNA_704	ntLink_6	9639698	9655877	+	16180	740	399	331	680	612
lncRNA_711	ntLink_6	9710618	9710957	+	340	272	214	146	295	413
lncRNA_712	ntLink_6	9727048	9733521	+	6474	38	0	37	15	174
lncRNA_713	ntLink_6	9753697	9758299	+	4603	106	129	5	17	26
lncRNA_714	ntLink_6	9777463	9780742	+	3280	199	456	292	414	426
lncRNA_716	ntLink_6	9824494	9830774	+	6281	679	570	332	613	728
lncRNA_722	ntLink_6	9865534	9872126	+	6593	2992	2191	1394	2497	1928
lncRNA_725	ntLink_6	9985184	9989293	+	4110	3795	5334	2249	1383	1159
lncRNA_739	ntLink_6	10207371	10211498	+	4128	431	515	264	554	478
lncRNA_740	ntLink_6	10229819	10232308	+	2490	0	2	6	4	19
lncRNA_746	ntLink_6	10248536	10255357	+	6822	1266	1367	894	1151	996
lncRNA_747	ntLink_6	10264408	10266700	+	2293	447	246	478	445	411
lncRNA_753	ntLink_6	10371750	10382390	+	10641	65	87	35	49	161
lncRNA_754	ntLink_6	10506804	10535691	+	28888	1335	1420	507	1034	909
lncRNA_770	ntLink_6	10812126	10843654	+	31529	34	29	8	36	50
lncRNA_777	ntLink_6	10978815	10989664	+	10850	8379	7745	7386	6658	4858
lncRNA_781	ntLink_6	11156063	11157165	+	1103	300	209	151	293	108
lncRNA_788	ntLink_6	11194278	11198939	+	4662	459	851	634	674	530
lncRNA_791	ntLink_6	11229007	11235057	+	6051	82	29	112	90	193
lncRNA_793	ntLink_6	11283244	11286754	+	3511	4959	4235	2201	4512	3682
lncRNA_803	ntLink_6	11454910	11456928	+	2019	466	24	6	79	44
lncRNA_804	ntLink_6	11512858	11519935	+	7078	12	17	7	21	36
lncRNA_805	ntLink_6	11526677	11529551	+	2875	1273	734	639	1390	1522
lncRNA_806	ntLink_6	11548628	11559867	+	11240	1920	2247	1258	1412	1571
lncRNA_807	ntLink_6	11631176	11633058	+	1883	44	0	51	11	80
lncRNA_808	ntLink_6	11728562	11752725	+	24164	120	23	18	49	387
lncRNA_818	ntLink_6	11882743	11885874	+	3132	804	939	204	464	332
lncRNA_825	ntLink_6	11899105	11906568	+	7464	19928	17984	16016	19944	18500
lncRNA_828	ntLink_6	11966118	11973601	+	7484	8	0	7	6	33
lncRNA_830	ntLink_6	11988814	11990396	+	1583	405	391	186	461	349
lncRNA_833	ntLink_6	12033626	12035319	+	1694	1285	1297	710	805	1100
lncRNA_834	ntLink_6	12062266	12074266	+	12001	1654	1318	923	3511	2587
lncRNA_836	ntLink_6	12083360	12084699	+	1340	147	137	131	129	164
lncRNA_837	ntLink_6	12243675	12285274	+	41600	697	536	501	765	1062
lncRNA_854	ntLink_6	12654168	12654858	+	691	328	347	306	416	688
lncRNA_855	ntLink_6	12655989	12661432	+	5444	830	693	418	734	462
lncRNA_858	ntLink_6	12709608	12715718	+	6111	9444	7146	3671	6029	4723
lncRNA_861	ntLink_6	12768896	12771687	+	2792	1219	424	735	468	590
lncRNA_862	ntLink_6	12793848	12803001	+	9154	6175	3880	2345	3966	2742
lncRNA_876	ntLink_6	12865205	12867850	+	2646	38	30	71	21	71
lncRNA_879	ntLink_6	13028876	13045872	+	16997	666	300	115	588	609
lncRNA_887	ntLink_6	13213402	13218420	+	5019	2368	2208	1441	1360	823
lncRNA_889	ntLink_6	13369438	13394708	+	25271	4472	4133	2944	4481	4916
lncRNA_890	ntLink_6	13449453	13449981	+	529	28	0	24	0	79
lncRNA_907	ntLink_6	13638546	13653792	+	15247	83	66	37	50	65
lncRNA_911	ntLink_6	13660364	13666283	+	5920	511	360	247	325	723
lncRNA_920	ntLink_6	13982979	13983717	+	739	24	8	63	5	160
lncRNA_922	ntLink_6	14000677	14021215	+	20539	132	84	24	62	138
lncRNA_923	ntLink_6	14022412	14024380	+	1969	51	91	31	39	32
lncRNA_931	ntLink_6	14152364	14173676	+	21313	1837	1695	1347	1977	1955
lncRNA_932	ntLink_6	14200773	14209422	+	8650	1254	1067	658	1205	984
lncRNA_937	ntLink_6	14258416	14266378	+	7963	80	146	72	74	94
lncRNA_938	ntLink_6	14268169	14270369	+	2201	40	7	2	0	51
lncRNA_939	ntLink_6	14304828	14308753	+	3926	129	24	22	33	141
lncRNA_942	ntLink_6	14378913	14383701	+	4789	407	355	365	629	733
lncRNA_943	ntLink_6	14461664	14467392	+	5729	447	235	255	263	584
lncRNA_944	ntLink_6	14497705	14500528	+	2824	3335	1306	1015	1596	1172
lncRNA_946	ntLink_6	14563202	14564756	+	1555	17	30	3	25	47
lncRNA_963	ntLink_6	14712910	14725379	+	12470	44	43	81	20	201
lncRNA_966	ntLink_6	14747473	14793668	+	46196	3614	954	644	2209	2538
lncRNA_973	ntLink_6	14999881	15004174	+	4294	95	13	105	85	144
lncRNA_981	ntLink_6	15410666	15411234	+	569	207	133	60	123	148
lncRNA_982	ntLink_6	15432434	15441325	+	8892	555	295	417	406	382
lncRNA_994	ntLink_6	15844065	15847951	+	3887	1998	2105	905	1192	742
lncRNA_997	ntLink_6	15887894	15888434	+	541	182	139	221	169	239
lncRNA_1004	ntLink_6	15947338	15951567	+	4230	848	704	527	545	602
lncRNA_1006	ntLink_6	15972205	15974964	+	2760	1900	1271	1621	1061	1724
lncRNA_1007	ntLink_6	16013367	16019315	+	5949	256	71	115	182	334
lncRNA_1010	ntLink_6	16094411	16098555	+	4145	780	1267	311	650	528
lncRNA_1018	ntLink_6	16200983	16201954	+	972	76	8	38	67	149
lncRNA_1019	ntLink_6	16207398	16208948	+	1551	2257	2171	1879	1942	1776
lncRNA_1024	ntLink_6	16424909	16431706	+	6798	48	1	5	7	48
lncRNA_1029	ntLink_6	16635150	16635459	+	310	17	13	25	3	135
lncRNA_1030	ntLink_6	16645039	16648869	+	3831	53	54	28	8	198
lncRNA_1039	ntLink_6	16887046	16890121	+	3076	55	971	755	669	684
lncRNA_1040	ntLink_6	16914726	16927409	+	12684	56	3	93	26	322
lncRNA_1043	ntLink_6	16941436	16951538	+	10103	764	190	285	602	451
lncRNA_1045	ntLink_6	17003202	17008291	+	5090	247	161	221	110	486
lncRNA_1046	ntLink_6	17025777	17037345	+	11569	2514	2384	1171	1868	1252
lncRNA_1049	ntLink_6	17127322	17131818	+	4497	5050	4340	4118	5918	5259
lncRNA_1050	ntLink_6	17175680	17243860	+	68181	73	68	35	39	146
lncRNA_1056	ntLink_6	17255612	17271166	+	15555	4211	3474	1488	2539	2837
lncRNA_1063	ntLink_6	17573097	17574474	+	1378	6062	8956	2929	3658	4778
lncRNA_1064	ntLink_6	17603179	17604763	+	1585	1875	3121	1235	1170	954
lncRNA_1065	ntLink_6	17616128	17623401	+	7274	5142	5551	3218	5253	4117
lncRNA_1066	ntLink_6	17680046	17682401	+	2356	12	6	15	4	95
lncRNA_1073	ntLink_6	17866178	17867844	+	1667	0	0	69	12	110
lncRNA_1074	ntLink_6	17870665	17875366	+	4702	142	6	291	114	610
lncRNA_1078	ntLink_6	17996338	18010597	+	14260	46	12	49	122	46
lncRNA_1084	ntLink_6	18092268	18094787	+	2520	67	139	82	15	256
lncRNA_1090	ntLink_6	18283730	18311520	+	27791	738	635	455	716	1082
lncRNA_1092	ntLink_6	18316203	18316896	+	694	208	2	43	154	189
lncRNA_1093	ntLink_6	18372590	18381343	+	8754	365	190	85	233	399
lncRNA_1095	ntLink_6	18408208	18420020	+	11813	251	503	131	113	289
lncRNA_1102	ntLink_6	18643774	18645905	+	2132	0	0	8	0	34
lncRNA_1109	ntLink_6	18853471	18856525	+	3055	2	0	0	0	9
lncRNA_1129	ntLink_6	19557748	19560152	+	2405	132	10	116	47	287
lncRNA_1141	ntLink_6	19855315	19857585	+	2271	497	98	128	0	162
lncRNA_1152	ntLink_6	20263020	20263665	+	646	10	21	17	23	29
lncRNA_1153	ntLink_6	20264617	20271250	+	6634	55	276	165	137	191
lncRNA_1160	ntLink_6	20549055	20570141	+	21087	102	0	56	2	259
lncRNA_1162	ntLink_6	20626872	20690022	+	63151	213	3	214	10	725
lncRNA_1167	ntLink_6	20701502	20714070	+	12569	147	2	193	6	481
lncRNA_1168	ntLink_6	20724558	20726639	+	2082	376	0	153	13	136
lncRNA_1170	ntLink_6	20752668	20791504	+	38837	240	4	198	18	558
lncRNA_1172	ntLink_6	20832027	20849389	+	17363	118	4	159	3	380
lncRNA_1175	ntLink_6	21013308	21017463	+	4156	60	0	57	1	124
lncRNA_1184	ntLink_6	21143449	21144570	+	1122	28	0	29	0	62
lncRNA_1190	ntLink_6	21326355	21362590	+	36236	82	0	37	0	194
lncRNA_1192	ntLink_6	21525144	21540749	+	15606	306	5	241	1	561
lncRNA_1199	ntLink_6	21770716	21781753	+	11038	23	5	17	0	58
lncRNA_1207	ntLink_6	21936945	21940258	+	3314	42	2	48	20	249
lncRNA_1214	ntLink_6	22225267	22247448	+	22182	530	559	369	500	376
lncRNA_1229	ntLink_6	23050053	23050414	+	362	4	0	0	2	49
lncRNA_1236	ntLink_6	44988	55940	+	10953	2310	1696	1224	12	4546
