# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/31-Apul-lncRNA/Apul-lncRNA.gtf" "-o" "../output/32-Apul-lncRNA-matrix/Apul-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../data/32-Apul-lncRNA-matrix/RNA-ACR-140.sorted.bam" "../data/32-Apul-lncRNA-matrix/RNA-ACR-145.sorted.bam" "../data/32-Apul-lncRNA-matrix/RNA-ACR-150.sorted.bam" "../data/32-Apul-lncRNA-matrix/RNA-ACR-173.sorted.bam" "../data/32-Apul-lncRNA-matrix/RNA-ACR-178.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/32-Apul-lncRNA-matrix/RNA-ACR-140.sorted.bam	../data/32-Apul-lncRNA-matrix/RNA-ACR-145.sorted.bam	../data/32-Apul-lncRNA-matrix/RNA-ACR-150.sorted.bam	../data/32-Apul-lncRNA-matrix/RNA-ACR-173.sorted.bam	../data/32-Apul-lncRNA-matrix/RNA-ACR-178.sorted.bam
lncRNA_078	ntLink_6	4200605	4200879	+	275	1	6	20	5	3
lncRNA_079	ntLink_6	4643942	4695273	+	51332	0	0	5	1	0
lncRNA_080	ntLink_6	4644236	4695273	+	51038	0	0	0	0	0
lncRNA_081	ntLink_6	4774294	4776062	+	1769	1425	1167	580	78	1117
lncRNA_082	ntLink_6	4876497	4879026	+	2530	80	2	1	0	2
lncRNA_083	ntLink_6	4934724	4936246	+	1523	0	0	33	0	0
lncRNA_084	ntLink_6	4935133	4936246	+	1114	0	0	0	0	0
lncRNA_085	ntLink_6	4940807	4943404	+	2598	240	167	259	628	548
lncRNA_086	ntLink_6	4983266	4986098	+	2833	38	4	32	38	24
lncRNA_087	ntLink_6	5056296	5057086	+	791	618	377	293	471	446
lncRNA_088	ntLink_6	5264579	5268941	+	4363	91	87	123	26	163
lncRNA_089	ntLink_6	5512045	5516297	+	4253	0	0	0	0	5
lncRNA_090	ntLink_6	5539145	5539663	+	519	71	0	0	5	4
lncRNA_091	ntLink_6	5544081	5548619	+	4539	0	0	0	0	0
lncRNA_092	ntLink_6	5544118	5548619	+	4502	0	0	0	0	0
lncRNA_093	ntLink_6	5946509	5949059	+	2551	2332	1840	1072	1475	2121
lncRNA_094	ntLink_6	6012591	6015271	+	2681	6371	6686	4041	3404	2286
lncRNA_095	ntLink_6	6082989	6085635	+	2647	322	179	209	178	4
lncRNA_096	ntLink_6	6095080	6098561	+	3482	5900	5298	3117	5086	1938
lncRNA_097	ntLink_6	6118657	6120984	+	2328	3119	3293	1774	1994	629
lncRNA_098	ntLink_6	6139204	6139693	+	490	42	2	53	3	30
lncRNA_099	ntLink_6	6259250	6276061	+	16812	0	0	2	6	20
lncRNA_100	ntLink_6	6261771	6278023	+	16253	6	1	0	3	20
lncRNA_101	ntLink_6	6296499	6324890	+	28392	1070	818	414	810	1414
lncRNA_102	ntLink_6	6401129	6401909	+	781	0	8	13	21	23
lncRNA_103	ntLink_6	6405654	6415929	+	10276	54	0	59	10	76
lncRNA_104	ntLink_6	6407319	6415929	+	8611	0	0	0	0	0
lncRNA_105	ntLink_6	6976270	6985119	+	8850	14101	15457	11519	16990	18674
lncRNA_106	ntLink_6	7051258	7060082	+	8825	787	417	245	632	186
lncRNA_107	ntLink_6	7084724	7086726	+	2003	3309	3363	1836	2037	1613
lncRNA_108	ntLink_6	7095666	7097165	+	1500	43	19	27	0	28
lncRNA_109	ntLink_6	7121592	7126840	+	5249	32367	43138	28130	35788	25101
lncRNA_110	ntLink_6	7160481	7162069	+	1589	109	19	85	146	72
lncRNA_111	ntLink_6	7183060	7184097	+	1038	436	230	383	978	1200
lncRNA_112	ntLink_6	7352372	7354751	+	2380	46	36	172	139	138
lncRNA_113	ntLink_6	7404645	7406757	+	2113	7	331	52	45	108
lncRNA_114	ntLink_6	7432118	7432653	+	536	86	91	10	123	39
lncRNA_115	ntLink_6	7465724	7467150	+	1427	0	0	0	0	0
lncRNA_116	ntLink_6	7465724	7467150	+	1427	0	0	0	0	0
lncRNA_117	ntLink_6	7490732	7509930	+	19199	0	0	0	0	12
lncRNA_118	ntLink_6	7490784	7509930	+	19147	0	0	0	0	0
lncRNA_119	ntLink_6	7491249	7493377	+	2129	0	0	0	0	0
lncRNA_120	ntLink_6	7531737	7551215	+	19479	59	66	65	56	86
lncRNA_121	ntLink_6	7534721	7551215	+	16495	0	0	0	0	0
lncRNA_122	ntLink_6	7543813	7551215	+	7403	0	0	0	0	0
lncRNA_123	ntLink_6	7543970	7551215	+	7246	0	0	0	0	0
lncRNA_124	ntLink_6	7544216	7551215	+	7000	0	0	0	0	0
lncRNA_125	ntLink_6	7548693	7551215	+	2523	0	0	0	0	0
lncRNA_126	ntLink_6	7548693	7551215	+	2523	0	0	0	0	0
lncRNA_127	ntLink_6	7982428	7985761	+	3334	12	58	15	8	64
lncRNA_128	ntLink_6	7958933	7960033	+	1101	29	34	9	46	39
lncRNA_129	ntLink_6	7985981	7989110	+	3130	2860	5962	1370	1488	801
lncRNA_130	ntLink_6	7994841	7998012	+	3172	326	605	1381	237	200
lncRNA_131	ntLink_6	8000055	8009818	+	9764	0	0	0	0	0
lncRNA_132	ntLink_6	8000055	8009818	+	9764	0	0	0	0	0
lncRNA_133	ntLink_6	8000055	8009818	+	9764	0	0	0	0	0
lncRNA_134	ntLink_6	8003503	8009818	+	6316	0	0	0	0	0
lncRNA_135	ntLink_6	8094359	8095011	+	653	577	530	401	165	617
lncRNA_136	ntLink_6	8098091	8098434	+	344	14	18	11	18	2
lncRNA_137	ntLink_6	8500544	8501080	+	537	11	1	82	1	196
lncRNA_138	ntLink_6	8611530	8612434	+	905	1	3	22	1	90
lncRNA_139	ntLink_6	8849749	8907898	+	58150	7426	620	1607	10143	382
lncRNA_140	ntLink_6	8861091	8886766	+	25676	0	0	0	0	0
lncRNA_141	ntLink_6	8926294	8927205	+	912	5	0	15	22	0
lncRNA_142	ntLink_6	8959738	8961696	+	1959	236	43	4	21	563
lncRNA_143	ntLink_6	9216475	9218591	+	2117	0	0	0	0	0
lncRNA_144	ntLink_6	9216490	9218591	+	2102	0	0	0	0	0
lncRNA_145	ntLink_6	9484842	9488677	+	3836	475	564	405	757	345
lncRNA_146	ntLink_6	9521333	9521586	+	254	20	4	21	10	5
lncRNA_147	ntLink_6	9559780	9563720	+	3941	0	0	0	0	0
lncRNA_148	ntLink_6	9559786	9569239	+	9454	0	0	0	0	0
lncRNA_149	ntLink_6	9559993	9569239	+	9247	0	0	0	0	0
lncRNA_150	ntLink_6	9559993	9569239	+	9247	0	0	0	0	0
lncRNA_151	ntLink_6	9559995	9569239	+	9245	0	0	0	0	0
lncRNA_152	ntLink_6	9559995	9569239	+	9245	0	0	0	0	0
lncRNA_153	ntLink_6	9560006	9563720	+	3715	0	0	0	0	0
lncRNA_154	ntLink_6	9560006	9569239	+	9234	0	0	0	0	0
lncRNA_155	ntLink_6	9839227	9841578	+	2352	329	57	75	295	41
lncRNA_156	ntLink_6	9985185	9989293	+	4109	3803	5355	2248	1383	1159
lncRNA_157	ntLink_6	10039343	10049354	+	10012	71	100	69	81	152
lncRNA_158	ntLink_6	10039366	10042229	+	2864	0	0	0	0	0
lncRNA_159	ntLink_6	10064176	10064619	+	444	34	6	13	3	37
lncRNA_160	ntLink_6	10142568	10147427	+	4860	0	0	0	0	0
lncRNA_161	ntLink_6	10142633	10147427	+	4795	0	0	0	0	0
lncRNA_162	ntLink_6	10506805	10535691	+	28887	2838	2737	1183	1974	1599
lncRNA_163	ntLink_6	10651513	10652269	+	757	0	0	0	0	0
lncRNA_164	ntLink_6	10735655	10741359	+	5705	0	0	0	0	0
lncRNA_165	ntLink_6	10735655	10741359	+	5705	0	0	0	0	0
lncRNA_166	ntLink_6	10708836	10711352	+	2517	314	2	0	0	4
lncRNA_167	ntLink_6	10780627	10782361	+	1735	44	8	10	8	53
lncRNA_168	ntLink_6	10920284	10922529	+	2246	181	110	62	275	288
lncRNA_169	ntLink_6	11233986	11234566	+	581	11	26	34	48	42
lncRNA_170	ntLink_6	11454911	11456928	+	2018	466	24	6	79	44
lncRNA_171	ntLink_6	11631177	11633058	+	1882	44	0	51	11	80
lncRNA_172	ntLink_6	11728563	11752725	+	24163	1284	561	301	2426	1957
lncRNA_173	ntLink_6	11895485	11896639	+	1155	0	0	0	0	0
lncRNA_174	ntLink_6	11895485	11896639	+	1155	0	0	0	0	0
lncRNA_175	ntLink_6	11895490	11896639	+	1150	0	0	0	0	0
lncRNA_176	ntLink_6	11946427	11947900	+	1474	516	507	281	582	660
lncRNA_177	ntLink_6	11988815	11990396	+	1582	457	426	200	498	362
lncRNA_178	ntLink_6	12012397	12012819	+	423	12	2	4	1	20
lncRNA_179	ntLink_6	12032304	12032781	+	478	44	19	28	37	28
lncRNA_180	ntLink_6	12560496	12564333	+	3838	25	17	39	32	47
lncRNA_181	ntLink_6	12560665	12564333	+	3669	0	0	0	0	0
lncRNA_182	ntLink_6	12568699	12572957	+	4259	0	0	0	0	0
lncRNA_183	ntLink_6	12568699	12572957	+	4259	0	0	0	0	0
lncRNA_184	ntLink_6	12568699	12572957	+	4259	0	0	0	0	0
lncRNA_185	ntLink_6	12568705	12572957	+	4253	0	0	0	0	0
lncRNA_186	ntLink_6	12568705	12572957	+	4253	0	0	0	0	0
lncRNA_187	ntLink_6	12654169	12654858	+	690	512	464	415	559	938
lncRNA_188	ntLink_6	12836178	12836488	+	311	2	0	7	0	98
lncRNA_189	ntLink_6	12848918	12855297	+	6380	43	13	60	44	38
lncRNA_190	ntLink_6	12856883	12857939	+	1057	48	0	59	1	2
lncRNA_191	ntLink_6	13210103	13212000	+	1898	0	0	0	0	0
lncRNA_192	ntLink_6	13210123	13212000	+	1878	0	0	0	0	0
lncRNA_193	ntLink_6	13210130	13212000	+	1871	0	0	0	0	0
lncRNA_194	ntLink_6	13308022	13309106	+	1085	130	188	135	58	41
lncRNA_195	ntLink_6	13449454	13449981	+	528	28	0	24	0	79
lncRNA_196	ntLink_6	13511068	13522621	+	11554	0	0	0	0	0
lncRNA_197	ntLink_6	13511114	13522621	+	11508	0	0	0	0	0
lncRNA_198	ntLink_6	13521108	13522621	+	1514	0	0	0	0	0
lncRNA_199	ntLink_6	13645334	13645657	+	324	31	5	29	66	12
lncRNA_200	ntLink_6	13942265	13943741	+	1477	53	14	0	28	98
lncRNA_201	ntLink_6	13982980	13983717	+	738	24	8	63	5	160
lncRNA_202	ntLink_6	14461665	14467392	+	5728	447	235	255	266	587
lncRNA_203	ntLink_6	14558510	14559061	+	552	0	0	0	0	29
lncRNA_204	ntLink_6	14691603	14692099	+	497	17	151	8	67	129
lncRNA_205	ntLink_6	14818647	14848482	+	29836	0	0	0	0	0
lncRNA_206	ntLink_6	14841265	14855165	+	13901	32	11	29	61	108
lncRNA_207	ntLink_6	14885581	14890572	+	4992	0	0	0	0	0
lncRNA_208	ntLink_6	14885581	14890669	+	5089	26	11	9	16	27
lncRNA_209	ntLink_6	14988334	14992963	+	4630	54	62	325	327	41
lncRNA_210	ntLink_6	15045133	15050576	+	5444	30	10	207	44	41
lncRNA_211	ntLink_6	15536308	15557096	+	20789	1653	96	49	51	971
lncRNA_212	ntLink_6	15909523	15914301	+	4779	3570	3402	2754	3057	2158
lncRNA_213	ntLink_6	15952503	15957830	+	5328	3701	3654	1861	3530	3747
lncRNA_214	ntLink_6	16207399	16208948	+	1550	2257	2171	1879	1942	1776
lncRNA_215	ntLink_6	16220687	16225331	+	4645	0	0	0	0	10
lncRNA_216	ntLink_6	16220741	16223795	+	3055	0	0	0	0	0
lncRNA_217	ntLink_6	16532707	16533430	+	724	43	5	44	8	42
lncRNA_218	ntLink_6	16811288	16813623	+	2336	0	0	3	1	1
lncRNA_219	ntLink_6	17127323	17131818	+	4496	5050	4340	4118	5918	5261
lncRNA_220	ntLink_6	17680047	17682401	+	2355	13	7	15	4	95
lncRNA_221	ntLink_6	17729691	17730076	+	386	0	14	21	0	8
lncRNA_222	ntLink_6	17848439	17850943	+	2505	7	2	33	9	103
lncRNA_223	ntLink_6	17857966	17864025	+	6060	0	0	0	0	0
lncRNA_224	ntLink_6	17884072	17884474	+	403	1	5	4	13	4
lncRNA_225	ntLink_6	17938316	17939000	+	685	0	0	2	0	14
lncRNA_226	ntLink_6	17938622	17939000	+	379	0	0	0	0	0
lncRNA_227	ntLink_6	18053353	18054963	+	1611	151	425	92	234	182
lncRNA_228	ntLink_6	18058699	18059448	+	750	44	6	0	23	7
lncRNA_229	ntLink_6	18092269	18094787	+	2519	70	138	83	17	275
lncRNA_230	ntLink_6	18138864	18140836	+	1973	497	1406	803	843	1152
lncRNA_231	ntLink_6	18408209	18420020	+	11812	259	559	178	119	301
lncRNA_232	ntLink_6	18419169	18420020	+	852	0	0	0	0	0
lncRNA_233	ntLink_6	18459329	18464663	+	5335	0	0	0	0	0
lncRNA_234	ntLink_6	18459329	18464663	+	5335	0	0	0	0	0
lncRNA_235	ntLink_6	18459349	18464663	+	5315	0	0	0	0	0
lncRNA_236	ntLink_6	18643775	18645905	+	2131	0	0	8	0	34
lncRNA_237	ntLink_6	18724499	18726687	+	2189	0	0	20	2	0
lncRNA_238	ntLink_6	18759406	18760214	+	809	4	0	1	8	79
lncRNA_239	ntLink_6	18945949	18949634	+	3686	0	0	38	0	16
lncRNA_240	ntLink_6	19118252	19118572	+	321	34	4	36	0	102
lncRNA_241	ntLink_6	19358305	19358728	+	424	37	0	17	67	7
lncRNA_242	ntLink_6	19600275	19601778	+	1504	24	62	7	21	5
lncRNA_243	ntLink_6	19855316	19857585	+	2270	497	99	128	0	162
lncRNA_244	ntLink_6	20075418	20077151	+	1734	0	0	0	0	0
lncRNA_245	ntLink_6	20075418	20078167	+	2750	0	0	0	0	0
lncRNA_246	ntLink_6	20075434	20078167	+	2734	0	0	0	0	0
lncRNA_247	ntLink_6	20227810	20228721	+	912	93	9	53	28	62
