# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/31-Apul-lncRNA/Apul-lncRNA.gtf" "-o" "../output/32-Apul-lncRNA-matrix/Apul-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../data/32-Apul-lncRNA-matrix/RNA-ACR-140.sorted.bam" "../data/32-Apul-lncRNA-matrix/RNA-ACR-145.sorted.bam" "../data/32-Apul-lncRNA-matrix/RNA-ACR-150.sorted.bam" "../data/32-Apul-lncRNA-matrix/RNA-ACR-173.sorted.bam" "../data/32-Apul-lncRNA-matrix/RNA-ACR-178.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/32-Apul-lncRNA-matrix/RNA-ACR-140.sorted.bam	../data/32-Apul-lncRNA-matrix/RNA-ACR-145.sorted.bam	../data/32-Apul-lncRNA-matrix/RNA-ACR-150.sorted.bam	../data/32-Apul-lncRNA-matrix/RNA-ACR-173.sorted.bam	../data/32-Apul-lncRNA-matrix/RNA-ACR-178.sorted.bam
lncRNA_2637	ntLink_8	8859491	8860968	+	1478	47	14	8	13	128
lncRNA_2638	ntLink_8	8861789	8862075	+	287	63	4	5	4	297
lncRNA_2639	ntLink_8	8866257	8867313	+	1057	16	0	13	0	19
lncRNA_2640	ntLink_8	8869536	8870653	+	1118	20	4	76	0	144
lncRNA_2641	ntLink_8	8899551	8900196	+	646	2	0	15	0	45
lncRNA_2642	ntLink_8	8903895	8905257	+	1363	67	0	31	2	109
lncRNA_2643	ntLink_8	8908840	8909467	+	628	0	0	0	0	19
lncRNA_2644	ntLink_8	9015885	9016909	+	1025	48	2	18	2	57
lncRNA_2645	ntLink_8	9017502	9018088	+	587	25	8	4	0	38
lncRNA_2646	ntLink_8	9027363	9028825	+	1463	105	11	14	6	115
lncRNA_2647	ntLink_8	9036395	9036890	+	496	26	6	9	54	21
lncRNA_2648	ntLink_8	9039224	9039735	+	512	15	0	16	0	13
lncRNA_2649	ntLink_8	9052797	9053930	+	1134	21	2	8	2	69
lncRNA_2650	ntLink_8	9056017	9056770	+	754	1	3	2	90	59
lncRNA_2651	ntLink_8	9063312	9063705	+	394	0	30	8	0	0
lncRNA_2652	ntLink_8	9064418	9064854	+	437	1	22	5	8	19
lncRNA_2653	ntLink_8	9065815	9066298	+	484	42	4	55	3	123
lncRNA_2654	ntLink_8	9120593	9123218	+	2626	115	1	58	4	94
lncRNA_2655	ntLink_8	9130782	9131960	+	1179	8	1	44	0	65
lncRNA_2656	ntLink_8	9139197	9139692	+	496	24	5	9	52	21
lncRNA_2657	ntLink_8	9141860	9142517	+	658	49	4	27	0	43
lncRNA_2658	ntLink_8	9151930	9152136	+	207	8	0	0	11	23
lncRNA_2659	ntLink_8	9156814	9157138	+	325	2	0	0	22	0
lncRNA_2660	ntLink_8	9158679	9159175	+	497	0	0	0	6	38
lncRNA_2661	ntLink_8	9171825	9172040	+	216	23	0	0	0	0
lncRNA_2662	ntLink_8	9174204	9174793	+	590	18	2	18	2	97
lncRNA_2663	ntLink_8	9175990	9176221	+	232	0	0	1	0	19
lncRNA_2664	ntLink_8	9177350	9177630	+	281	1	5	3	5	4
lncRNA_2665	ntLink_8	9178039	9179512	+	1474	21	0	84	11	175
lncRNA_2666	ntLink_8	9195931	9196636	+	706	4	0	29	0	1
lncRNA_2667	ntLink_8	9200432	9201040	+	609	0	0	0	0	3
lncRNA_2668	ntLink_8	9207031	9207679	+	649	15	0	32	2	17
lncRNA_2669	ntLink_8	9218242	9219282	+	1041	0	4	3	0	31
lncRNA_2670	ntLink_8	9234558	9234785	+	228	0	0	20	0	0
lncRNA_2671	ntLink_8	9293498	9294412	+	915	82	16	84	22	205
lncRNA_2672	ntLink_8	9297562	9298246	+	685	3	0	21	0	153
lncRNA_2673	ntLink_8	9307621	9307958	+	338	5	3	0	0	17
lncRNA_2674	ntLink_8	9333500	9333906	+	407	0	2	10	26	13
lncRNA_2675	ntLink_8	9336790	9337315	+	526	0	0	0	6	34
lncRNA_2676	ntLink_8	9338158	9338358	+	201	0	0	16	2	0
lncRNA_2677	ntLink_8	9339553	9340362	+	810	57	1	18	19	122
lncRNA_2678	ntLink_8	9348497	9348750	+	254	18	0	0	0	5
lncRNA_2679	ntLink_8	9352780	9353032	+	253	19	0	0	4	1
lncRNA_2680	ntLink_8	9368108	9369345	+	1238	23	10	27	18	106
lncRNA_2681	ntLink_8	9373467	9374677	+	1211	32	82	22	12	60
lncRNA_2682	ntLink_8	9379077	9379332	+	256	0	9	0	22	3
lncRNA_2683	ntLink_8	9381019	9381510	+	492	4	0	4	1	19
lncRNA_2684	ntLink_8	9406985	9407462	+	478	59	0	55	5	125
lncRNA_2685	ntLink_8	9439847	9440274	+	428	5	0	20	2	48
lncRNA_2686	ntLink_8	9447608	9447943	+	336	12	2	13	17	16
lncRNA_2687	ntLink_8	9457127	9457431	+	305	0	0	0	16	28
lncRNA_2688	ntLink_8	9467315	9467649	+	335	16	0	29	0	67
lncRNA_2689	ntLink_8	9511058	9511526	+	469	10	0	0	0	33
lncRNA_2690	ntLink_8	9517107	9519147	+	2041	30	53	32	12	164
lncRNA_2691	ntLink_8	9526322	9526554	+	233	12	0	0	0	24
lncRNA_2692	ntLink_8	9538484	9538967	+	484	103	34	84	29	207
lncRNA_2693	ntLink_8	9543677	9544108	+	432	38	0	10	16	54
lncRNA_2694	ntLink_8	9551743	9552157	+	415	37	0	20	0	97
lncRNA_2695	ntLink_8	9567214	9567669	+	456	40	0	10	16	21
lncRNA_2696	ntLink_8	9589481	9589728	+	248	63	47	27	54	40
lncRNA_2697	ntLink_8	9600987	9601567	+	581	0	0	18	2	64
lncRNA_2698	ntLink_8	9615875	9616086	+	212	2	0	0	17	0
lncRNA_2699	ntLink_8	9616551	9616985	+	435	6	0	0	2	84
lncRNA_2700	ntLink_8	9619009	9619977	+	969	54	0	47	0	169
lncRNA_2701	ntLink_8	9625908	9627278	+	1371	14	0	60	8	155
lncRNA_2702	ntLink_8	9633781	9634061	+	281	16	0	4	1	38
lncRNA_2703	ntLink_8	9636121	9636384	+	264	0	5	7	0	25
lncRNA_2704	ntLink_8	9664647	9664892	+	246	6	0	16	0	45
lncRNA_2705	ntLink_8	9666227	9666685	+	459	23	8	40	0	107
lncRNA_2706	ntLink_8	9675779	9676363	+	585	16	0	7	30	21
lncRNA_2707	ntLink_8	9718869	9722875	+	4007	24	0	6	10	66
lncRNA_2708	ntLink_8	9741483	9741830	+	348	0	0	1	0	26
lncRNA_2709	ntLink_8	9759774	9760139	+	366	56	0	15	0	53
lncRNA_2710	ntLink_8	9800400	9800630	+	231	18	0	0	2	0
lncRNA_2711	ntLink_8	9805172	9805509	+	338	0	0	2	0	27
lncRNA_2712	ntLink_8	9813646	9814470	+	825	7	0	25	0	95
lncRNA_2713	ntLink_8	9815403	9815758	+	356	0	0	0	27	6
lncRNA_2714	ntLink_8	9818504	9818798	+	295	4	0	30	5	41
lncRNA_2715	ntLink_8	9871196	9872089	+	894	13	2	30	3	76
lncRNA_2716	ntLink_8	9875159	9875518	+	360	23	1	9	34	38
lncRNA_2717	ntLink_8	9878453	9878736	+	284	16	0	4	1	51
lncRNA_2718	ntLink_8	9886526	9887154	+	629	0	0	11	1	44
lncRNA_2719	ntLink_8	9899379	9900897	+	1519	49	16	48	8	117
lncRNA_2720	ntLink_8	9910648	9911241	+	594	26	0	19	14	99
lncRNA_2721	ntLink_8	9919841	9920062	+	222	2	1	0	3	94
lncRNA_2722	ntLink_8	9943046	9943260	+	215	26	0	1	8	1
lncRNA_2723	ntLink_8	9947271	9947517	+	247	0	0	14	0	10
lncRNA_2724	ntLink_8	9952630	9953411	+	782	16	2	27	0	102
lncRNA_2725	ntLink_8	9964164	9964740	+	577	27	8	46	4	98
lncRNA_2726	ntLink_8	9966542	9967857	+	1316	18	0	20	4	153
lncRNA_2727	ntLink_8	9976032	9976479	+	448	32	8	10	40	3
lncRNA_2728	ntLink_8	9978156	9979066	+	911	38	0	3	4	107
lncRNA_2729	ntLink_8	9979486	9979792	+	307	0	0	20	0	0
lncRNA_2730	ntLink_8	10024575	10025032	+	458	0	0	25	8	40
lncRNA_2731	ntLink_8	10040389	10040616	+	228	4	2	22	2	0
lncRNA_2732	ntLink_8	10070793	10071306	+	514	22	0	110	0	215
lncRNA_2733	ntLink_8	10086435	10087698	+	1264	66	16	62	8	67
lncRNA_2734	ntLink_8	10099912	10100174	+	263	1	0	14	3	11
lncRNA_2735	ntLink_8	10101841	10102874	+	1034	0	0	28	0	96
lncRNA_2736	ntLink_8	10109991	10110203	+	213	2	0	6	17	2
lncRNA_2737	ntLink_8	10112138	10112435	+	298	1	2	0	0	1
lncRNA_2738	ntLink_8	10119435	10120204	+	770	108	35	117	31	312
lncRNA_2739	ntLink_8	10122882	10123501	+	620	34	0	51	10	73
lncRNA_2740	ntLink_8	10218601	10218849	+	249	13	0	0	0	0
lncRNA_2741	ntLink_8	10295933	10296148	+	216	7	0	0	0	0
lncRNA_2742	ntLink_8	10312388	10312692	+	305	6	0	0	0	0
lncRNA_2743	ntLink_8	10330701	10330925	+	225	3	0	0	0	0
lncRNA_2744	ntLink_8	10367342	10367576	+	235	2	0	0	0	0
lncRNA_2745	ntLink_8	10604493	10604719	+	227	8	0	0	0	0
lncRNA_2746	ntLink_8	10650302	10650705	+	404	22	2	35	48	7
lncRNA_2747	ntLink_8	10680424	10680742	+	319	38	0	1	0	0
lncRNA_2748	ntLink_8	10766666	10767180	+	515	0	5	15	0	17
lncRNA_2749	ntLink_8	10767928	10768179	+	252	0	0	12	0	0
lncRNA_2750	ntLink_8	10789720	10789993	+	274	12	0	0	0	0
lncRNA_2751	ntLink_8	10824937	10825179	+	243	18	0	0	0	0
lncRNA_2752	ntLink_8	10888383	10888775	+	393	16	0	0	0	0
lncRNA_2753	ntLink_8	10898094	10898530	+	437	57	0	0	0	0
lncRNA_2754	ntLink_8	10994308	10994724	+	417	7	0	0	0	0
lncRNA_2755	ntLink_8	10996270	10996610	+	341	2	0	0	0	0
lncRNA_2756	ntLink_8	10998895	10999235	+	341	0	0	0	0	0
lncRNA_2757	ntLink_8	11002846	11003266	+	421	0	0	0	0	0
lncRNA_2758	ntLink_8	11023938	11024168	+	231	2	0	0	0	0
lncRNA_2759	ntLink_8	11025981	11026234	+	254	10	0	0	0	0
lncRNA_2760	ntLink_8	11026498	11026798	+	301	18	0	0	0	0
lncRNA_2761	ntLink_8	11140139	11140387	+	249	20	0	0	0	0
lncRNA_2762	ntLink_8	11145410	11145659	+	250	10	0	0	0	0
lncRNA_2763	ntLink_8	11148077	11148395	+	319	16	0	0	1	0
lncRNA_2764	ntLink_8	11198079	11198330	+	252	0	0	0	0	0
lncRNA_2765	ntLink_8	11201378	11201635	+	258	4	0	0	0	0
lncRNA_2766	ntLink_8	11220480	11220732	+	253	3	0	0	0	0
lncRNA_2767	ntLink_8	11338330	11338555	+	226	10	0	0	0	0
lncRNA_2768	ntLink_8	11345553	11345819	+	267	0	0	0	0	0
lncRNA_2769	ntLink_8	11358615	11358876	+	262	0	0	10	0	0
lncRNA_2770	ntLink_8	11461142	11461749	+	608	26	6	3	5	47
lncRNA_2771	ntLink_8	11490596	11490971	+	376	0	0	24	0	3
lncRNA_2772	ntLink_8	11497270	11497839	+	570	0	0	44	0	154
lncRNA_2773	ntLink_8	11532604	11532954	+	351	2	0	22	2	28
lncRNA_2774	ntLink_8	11552613	11553010	+	398	3	2	41	0	70
lncRNA_2775	ntLink_8	11575986	11577187	+	1202	0	0	6	0	11
lncRNA_2776	ntLink_8	11602309	11604294	+	1986	38	15	0	176	256
lncRNA_2777	ntLink_8	11607395	11607964	+	570	16	2	6	1	30
lncRNA_2778	ntLink_8	11645680	11645888	+	209	0	0	10	0	0
lncRNA_2779	ntLink_8	11776108	11777166	+	1059	20	0	0	0	0
lncRNA_2780	ntLink_8	11777602	11777989	+	388	0	0	2	0	21
lncRNA_2781	ntLink_8	11796228	11796456	+	229	0	20	0	0	0
lncRNA_2782	ntLink_8	11828527	11829535	+	1009	4	0	0	0	55
lncRNA_2783	ntLink_8	11853443	11854427	+	985	14	3	2	3	14
lncRNA_2784	ntLink_8	12100204	12100511	+	308	0	0	20	0	0
lncRNA_2785	ntLink_8	12113357	12113744	+	388	13	4	6	7	49
lncRNA_2786	ntLink_8	12172694	12173054	+	361	25	2	14	6	66
lncRNA_2787	ntLink_8	12177796	12178336	+	541	11	0	14	0	69
lncRNA_2788	ntLink_8	12189798	12190271	+	474	0	5	0	10	43
lncRNA_2789	ntLink_8	12222589	12222840	+	252	30	0	31	13	31
lncRNA_2790	ntLink_8	12223471	12225795	+	2325	6	4	34	13	168
lncRNA_2791	ntLink_8	12235841	12236730	+	890	0	0	16	7	111
lncRNA_2792	ntLink_8	12245224	12245548	+	325	1	1	36	14	11
lncRNA_2793	ntLink_8	12257208	12257431	+	224	1	4	13	6	0
lncRNA_2794	ntLink_8	12285034	12285312	+	279	18	0	8	0	56
lncRNA_2795	ntLink_8	12290010	12290738	+	729	1	0	1	0	80
lncRNA_2796	ntLink_8	12303143	12303742	+	600	29	11	86	8	269
lncRNA_2797	ntLink_8	12304521	12304851	+	331	0	3	6	6	120
lncRNA_2798	ntLink_8	12329820	12330029	+	210	20	14	0	1	0
lncRNA_2799	ntLink_8	12330774	12331055	+	282	0	0	6	0	26
lncRNA_2800	ntLink_8	12383320	12383705	+	386	0	0	0	0	23
lncRNA_2801	ntLink_8	12386890	12387439	+	550	1	12	50	25	0
lncRNA_2802	ntLink_8	12440686	12440998	+	313	0	0	5	6	29
lncRNA_2803	ntLink_8	12441909	12442759	+	851	4	2	28	1	94
lncRNA_2804	ntLink_8	12448320	12448833	+	514	3	0	28	0	149
lncRNA_2805	ntLink_8	12468885	12469425	+	541	0	0	2	0	50
lncRNA_2806	ntLink_8	12470481	12470724	+	244	36	3	14	2	31
lncRNA_2807	ntLink_8	12471425	12472898	+	1474	24	0	115	5	122
lncRNA_2808	ntLink_8	12482458	12482668	+	211	0	0	20	6	36
lncRNA_2809	ntLink_8	12484138	12484637	+	500	16	0	44	7	166
lncRNA_2810	ntLink_8	12491700	12492422	+	723	12	4	27	0	223
lncRNA_2811	ntLink_8	12492719	12493461	+	743	0	0	19	2	155
lncRNA_2812	ntLink_8	12502357	12502581	+	225	0	4	0	0	1
lncRNA_2813	ntLink_8	12539542	12541842	+	2301	3	0	60	21	299
lncRNA_2814	ntLink_8	12545997	12546880	+	884	0	2	23	0	100
lncRNA_2815	ntLink_8	12560941	12561168	+	228	0	0	19	0	1
lncRNA_2816	ntLink_8	12561938	12562312	+	375	0	35	9	0	0
lncRNA_2817	ntLink_8	12584775	12585574	+	800	1	0	29	2	146
lncRNA_2818	ntLink_8	12592134	12592393	+	260	32	0	62	0	219
lncRNA_2819	ntLink_8	12593009	12593276	+	268	0	0	0	0	10
lncRNA_2820	ntLink_8	12594228	12595631	+	1404	0	0	37	2	111
lncRNA_2821	ntLink_8	12599910	12600480	+	571	0	1	80	4	305
lncRNA_2822	ntLink_8	12618280	12618831	+	552	0	0	3	0	56
lncRNA_2823	ntLink_8	12619999	12620667	+	669	0	0	33	0	73
lncRNA_2824	ntLink_8	12635204	12636367	+	1164	10	0	72	6	282
lncRNA_2825	ntLink_8	12646670	12647302	+	633	7	0	75	0	122
lncRNA_2826	ntLink_8	12648250	12648807	+	558	9	2	20	2	138
lncRNA_2827	ntLink_8	12655049	12656109	+	1061	23	0	73	0	208
lncRNA_2828	ntLink_8	12658758	12658983	+	226	0	2	0	6	7
lncRNA_2829	ntLink_8	12678542	12678997	+	456	9	0	14	0	68
lncRNA_2830	ntLink_8	12699003	12699406	+	404	32	0	0	0	3
lncRNA_2831	ntLink_8	12709325	12710127	+	803	25	4	12	0	87
lncRNA_2832	ntLink_8	12731374	12731923	+	550	12	0	17	0	38
lncRNA_2833	ntLink_8	12742112	12742348	+	237	28	0	22	0	13
lncRNA_2834	ntLink_8	12744675	12744977	+	303	2	0	41	2	187
lncRNA_2835	ntLink_8	12746353	12746901	+	549	0	8	16	4	48
lncRNA_2836	ntLink_8	12766903	12767142	+	240	5	0	0	0	17
lncRNA_2837	ntLink_8	12769650	12769913	+	264	1	0	0	4	7
lncRNA_2838	ntLink_8	12781824	12782190	+	367	1	60	30	0	12
lncRNA_2839	ntLink_8	12784997	12785763	+	767	6	53	26	30	43
lncRNA_2840	ntLink_8	12794994	12795220	+	227	4	25	12	5	6
lncRNA_2841	ntLink_8	12814902	12815319	+	418	0	0	6	29	33
lncRNA_2842	ntLink_8	12815772	12816002	+	231	0	4	0	0	17
lncRNA_2843	ntLink_8	12830632	12830863	+	232	28	8	12	6	4
lncRNA_2844	ntLink_8	12831496	12831925	+	430	1	0	25	4	9
lncRNA_2845	ntLink_8	12842044	12843155	+	1112	42	0	40	5	111
lncRNA_2846	ntLink_8	12853650	12854640	+	991	9	5	42	10	159
lncRNA_2847	ntLink_8	12902828	12903041	+	214	17	1	0	27	0
lncRNA_2848	ntLink_8	12905016	12907828	+	2813	18	24	28	36	165
lncRNA_2849	ntLink_8	12908673	12909382	+	710	2	0	4	8	52
lncRNA_2850	ntLink_8	12910711	12911130	+	420	4	0	2	10	6
lncRNA_2851	ntLink_8	12919540	12920341	+	802	32	0	10	6	245
lncRNA_2852	ntLink_8	12922121	12923070	+	950	19	0	18	0	103
lncRNA_2853	ntLink_8	12923833	12924115	+	283	5	0	57	4	46
lncRNA_2854	ntLink_8	12925529	12926442	+	914	6	0	29	6	71
lncRNA_2855	ntLink_8	12934446	12935011	+	566	6	1	51	0	58
lncRNA_2856	ntLink_8	12937659	12938302	+	644	13	0	39	2	19
lncRNA_2857	ntLink_8	12938688	12939099	+	412	30	0	0	21	9
lncRNA_2858	ntLink_8	12940681	12941080	+	400	16	0	23	2	5
lncRNA_2859	ntLink_8	12943232	12943710	+	479	14	0	36	28	276
lncRNA_2860	ntLink_8	12944454	12947102	+	2649	21	2	107	20	297
lncRNA_2861	ntLink_8	12947511	12947848	+	338	0	0	10	0	1
lncRNA_2862	ntLink_8	12952242	12952963	+	722	11	0	13	0	100
lncRNA_2863	ntLink_8	12975334	12976172	+	839	0	1	40	11	104
lncRNA_2864	ntLink_8	12997946	12998214	+	269	0	0	26	0	0
lncRNA_2865	ntLink_8	13030670	13031158	+	489	21	0	38	4	86
lncRNA_2866	ntLink_8	13032407	13033229	+	823	13	4	59	4	182
lncRNA_2867	ntLink_8	13037781	13038110	+	330	22	0	16	0	0
lncRNA_2868	ntLink_8	13057761	13058587	+	827	56	11	48	4	142
lncRNA_2869	ntLink_8	13064079	13064841	+	763	2	0	35	4	56
lncRNA_2870	ntLink_8	13066448	13066662	+	215	9	19	7	0	0
lncRNA_2871	ntLink_8	13067794	13068559	+	766	24	7	39	4	53
lncRNA_2872	ntLink_8	13069344	13070130	+	787	28	0	16	0	86
lncRNA_2873	ntLink_8	13072959	13074118	+	1160	74	0	59	29	456
lncRNA_2874	ntLink_8	13082670	13082973	+	304	0	2	18	4	0
lncRNA_2875	ntLink_8	13093916	13094525	+	610	8	0	6	6	87
lncRNA_2876	ntLink_8	13095110	13096333	+	1224	3	1	69	28	160
lncRNA_2877	ntLink_8	13096759	13097568	+	810	41	0	185	16	357
lncRNA_2878	ntLink_8	13135515	13135727	+	213	29	0	4	0	0
lncRNA_2879	ntLink_8	13136745	13136957	+	213	0	0	1	1	23
lncRNA_2880	ntLink_8	13144194	13144723	+	530	0	3	96	6	32
lncRNA_2881	ntLink_8	13145901	13146775	+	875	0	2	55	11	22
lncRNA_2882	ntLink_8	13156124	13156630	+	507	0	0	30	2	0
lncRNA_2883	ntLink_8	13158923	13159609	+	687	0	0	41	6	0
lncRNA_2884	ntLink_8	13164824	13165897	+	1074	9	2	4	9	34
lncRNA_2885	ntLink_8	13183974	13184398	+	425	0	0	53	0	0
lncRNA_2886	ntLink_8	13289320	13289738	+	419	16	2	60	13	0
lncRNA_2887	ntLink_8	13292402	13292843	+	442	2	2	67	11	1
lncRNA_2888	ntLink_8	13297194	13298050	+	857	51	31	17	73	90
lncRNA_2889	ntLink_8	13299791	13300719	+	929	0	0	49	12	7
lncRNA_2890	ntLink_8	13306792	13307133	+	342	2	0	22	0	3
lncRNA_2891	ntLink_8	13309781	13310216	+	436	4	0	48	7	27
lncRNA_2892	ntLink_8	13313835	13314421	+	587	13	0	80	0	5
lncRNA_2893	ntLink_8	13332836	13333289	+	454	0	0	52	2	0
lncRNA_2894	ntLink_8	13342259	13343139	+	881	0	0	102	3	0
lncRNA_2895	ntLink_8	13344252	13344621	+	370	0	0	28	0	0
lncRNA_2896	ntLink_8	13349898	13350452	+	555	0	0	113	0	0
lncRNA_2897	ntLink_8	13362145	13363443	+	1299	0	0	81	2	3
lncRNA_2898	ntLink_8	13381264	13381640	+	377	0	0	23	1	4
lncRNA_2899	ntLink_8	13384985	13385346	+	362	0	0	25	0	0
lncRNA_2900	ntLink_8	13395908	13396937	+	1030	0	2	224	9	9
lncRNA_2901	ntLink_8	13398953	13399512	+	560	9	0	47	0	0
lncRNA_2902	ntLink_8	13401055	13401290	+	236	1	0	41	0	0
lncRNA_2903	ntLink_8	13401995	13402898	+	904	11	0	92	6	0
lncRNA_2904	ntLink_8	13409251	13409480	+	230	38	0	2	0	0
lncRNA_2905	ntLink_8	13417946	13418203	+	258	0	0	46	0	0
lncRNA_2906	ntLink_8	13424815	13425086	+	272	0	11	0	0	24
lncRNA_2907	ntLink_8	13434245	13434698	+	454	0	0	60	0	2
lncRNA_2908	ntLink_8	13442709	13442914	+	206	0	0	0	0	17
lncRNA_2909	ntLink_8	13450446	13450660	+	215	10	0	0	1	2
lncRNA_2910	ntLink_8	13452488	13452987	+	500	0	0	76	0	0
lncRNA_2911	ntLink_8	13465022	13466326	+	1305	9	7	0	4	12
lncRNA_2912	ntLink_8	13507335	13507713	+	379	0	0	28	0	0
lncRNA_2913	ntLink_8	13519545	13519931	+	387	22	0	0	0	2
lncRNA_2914	ntLink_8	13539081	13539906	+	826	0	0	88	0	0
lncRNA_2915	ntLink_8	13550185	13550403	+	219	0	12	0	19	0
lncRNA_2916	ntLink_8	13559763	13560608	+	846	5	1	58	0	46
lncRNA_2917	ntLink_8	13561577	13562337	+	761	0	0	66	20	0
lncRNA_2918	ntLink_8	13572353	13572885	+	533	0	0	80	2	0
lncRNA_2919	ntLink_8	13589933	13590159	+	227	0	0	14	0	0
lncRNA_2920	ntLink_8	13598307	13598662	+	356	0	0	43	0	11
lncRNA_2921	ntLink_8	13671263	13671609	+	347	0	0	21	0	0
lncRNA_2922	ntLink_8	13679543	13680576	+	1034	25	2	121	0	8
lncRNA_2923	ntLink_8	13692238	13692617	+	380	0	0	34	0	0
lncRNA_2924	ntLink_8	13698753	13699061	+	309	0	0	29	15	0
lncRNA_2925	ntLink_8	13703431	13703890	+	460	0	0	48	0	0
lncRNA_2926	ntLink_8	13704358	13704911	+	554	1	4	45	0	4
lncRNA_2927	ntLink_8	13712377	13712934	+	558	0	0	42	2	0
lncRNA_2928	ntLink_8	13720838	13721093	+	256	7	0	17	17	46
lncRNA_2929	ntLink_8	13729518	13729805	+	288	8	2	60	2	0
lncRNA_2930	ntLink_8	13739441	13739668	+	228	0	0	22	0	0
lncRNA_2931	ntLink_8	13743397	13743794	+	398	30	0	47	2	2
lncRNA_2932	ntLink_8	13748276	13748680	+	405	17	6	41	5	1
lncRNA_2933	ntLink_8	13753812	13754024	+	213	0	5	15	0	27
lncRNA_2934	ntLink_8	13757035	13757381	+	347	33	0	0	0	5
lncRNA_2935	ntLink_8	13760705	13760906	+	202	0	0	0	0	79
lncRNA_2936	ntLink_8	13761341	13761576	+	236	0	0	3	7	2
lncRNA_2937	ntLink_8	13815049	13815582	+	534	0	0	53	22	0
lncRNA_2938	ntLink_8	13815949	13816224	+	276	0	0	43	4	1
lncRNA_2939	ntLink_8	13830892	13831150	+	259	0	8	0	0	2
lncRNA_2940	ntLink_8	13832471	13832795	+	325	42	0	6	4	21
lncRNA_2941	ntLink_8	13851323	13851593	+	271	0	0	19	0	0
lncRNA_2942	ntLink_8	13879456	13879721	+	266	0	0	34	14	0
lncRNA_2943	ntLink_8	13936016	13936456	+	441	0	0	3	28	37
lncRNA_2944	ntLink_8	13936778	13937720	+	943	20	5	59	22	7
lncRNA_2945	ntLink_8	13959384	13959881	+	498	0	0	32	0	0
lncRNA_2946	ntLink_8	13968026	13968238	+	213	0	0	31	4	1
lncRNA_2947	ntLink_8	13971451	13971839	+	389	16	8	0	31	17
lncRNA_2948	ntLink_8	13972751	13973008	+	258	34	2	0	26	18
lncRNA_2949	ntLink_8	13981792	13982396	+	605	0	0	40	0	0
lncRNA_2950	ntLink_8	13993464	13994139	+	676	2	0	42	6	10
lncRNA_2951	ntLink_8	13996069	13996538	+	470	7	17	0	0	0
lncRNA_2952	ntLink_8	14053738	14053960	+	223	0	1	23	0	0
lncRNA_2953	ntLink_8	14060379	14060599	+	221	5	0	0	0	0
lncRNA_2954	ntLink_8	14064330	14064800	+	471	0	0	28	2	0
lncRNA_2955	ntLink_8	14072039	14072393	+	355	56	18	6	11	19
lncRNA_2956	ntLink_8	14080610	14080894	+	285	0	0	14	2	0
lncRNA_2957	ntLink_8	14084815	14085112	+	298	0	0	14	3	0
lncRNA_2958	ntLink_8	14105760	14106069	+	310	0	0	36	2	0
lncRNA_2959	ntLink_8	14131966	14132263	+	298	0	0	22	2	0
lncRNA_2960	ntLink_8	14146480	14147091	+	612	0	0	43	8	0
lncRNA_2961	ntLink_8	14155606	14156185	+	580	22	8	23	13	158
lncRNA_2962	ntLink_8	14176093	14176322	+	230	0	0	16	0	0
lncRNA_2963	ntLink_8	14197636	14198138	+	503	0	0	46	6	0
lncRNA_2964	ntLink_8	14213105	14213410	+	306	0	0	4	0	31
lncRNA_2965	ntLink_8	14216182	14216479	+	298	0	0	28	0	0
lncRNA_2966	ntLink_8	14224269	14224789	+	521	2	0	50	0	0
lncRNA_2967	ntLink_8	14227325	14227983	+	659	0	0	56	0	0
lncRNA_2968	ntLink_8	14239660	14239876	+	217	0	0	29	0	0
lncRNA_2969	ntLink_8	14244980	14245787	+	808	5	0	55	10	0
lncRNA_2970	ntLink_8	14250499	14250848	+	350	0	0	30	0	0
lncRNA_2971	ntLink_8	14254280	14254796	+	517	4	0	28	2	15
lncRNA_2972	ntLink_8	14266025	14266231	+	207	1	13	0	0	0
lncRNA_2973	ntLink_8	14269681	14269965	+	285	7	2	4	21	1
lncRNA_2974	ntLink_8	14302910	14304925	+	2016	10	54	78	140	227
lncRNA_2975	ntLink_8	14335269	14335822	+	554	1	0	15	0	1
lncRNA_2976	ntLink_8	14352705	14353117	+	413	0	0	34	0	0
lncRNA_2977	ntLink_8	14371025	14371258	+	234	4	0	15	0	2
lncRNA_2978	ntLink_8	14371541	14371775	+	235	15	25	1	0	17
lncRNA_2979	ntLink_8	14394659	14394894	+	236	4	0	5	0	29
lncRNA_2980	ntLink_8	14405606	14405948	+	343	0	0	26	9	0
lncRNA_2981	ntLink_8	14424359	14424599	+	241	0	0	0	0	41
lncRNA_2982	ntLink_8	14440594	14441152	+	559	28	0	8	16	133
lncRNA_2983	ntLink_8	14442532	14443267	+	736	26	1	26	2	103
lncRNA_2984	ntLink_8	14490571	14491140	+	570	2	0	6	46	57
lncRNA_2985	ntLink_8	14681084	14681373	+	290	0	0	0	0	29
lncRNA_2986	ntLink_8	14686850	14687288	+	439	8	0	0	0	138
lncRNA_2987	ntLink_8	14694812	14695136	+	325	38	6	7	6	2
lncRNA_2988	ntLink_8	14696357	14696626	+	270	16	0	4	11	18
