# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "24" "-M" "-O" "--fraction" "-a" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/output/01.6-Apul-lncRNA-pipeline/Apul-lncRNA.gtf" "-o" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/output/01.6-lncRNA-pipeline/Apul-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-140.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-145.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-150.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-173.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-178.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-140.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-145.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-150.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-173.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-178.sorted.bam
lncRNA_6405	ptg000004l	6728167	6729357	+	1191	21	2	62	4	80
lncRNA_6406	ptg000004l	6729942	6730216	+	275	1	2	0	0	23
lncRNA_6407	ptg000004l	6733347	6733602	+	256	18	0	0	4	17
lncRNA_6408	ptg000004l	6734730	6735441	+	712	27.12	3.33	43.20	19.67	159.79
lncRNA_6409	ptg000004l	6736628	6738423	+	1796	28	14	111	19	219
lncRNA_6410	ptg000004l	6755084	6756008	+	925	5.50	77.92	107.15	132.33	105.67
lncRNA_6411	ptg000004l	6770659	6770908	+	250	1	11	0	2	27
lncRNA_6412	ptg000004l	6776242	6776924	+	683	28.50	2	10	0	46.50
lncRNA_6413	ptg000004l	6783513	6783769	+	257	7.80	0	1.87	0.25	18.17
lncRNA_6414	ptg000004l	6787953	6788501	+	549	16.00	0.50	7	0	78.00
lncRNA_6415	ptg000004l	6789803	6790284	+	482	2	4.00	35	14	38.50
lncRNA_6416	ptg000004l	6793605	6793864	+	260	6	0	14.50	0	48.00
lncRNA_6417	ptg000004l	6812355	6812654	+	300	23	2	6	0	24
lncRNA_6418	ptg000004l	6815990	6816500	+	511	37.00	1.50	25	0	104.00
lncRNA_6419	ptg000004l	6817529	6818665	+	1137	45	4.00	32	8	175.50
lncRNA_6420	ptg000004l	6828134	6829369	+	1236	52.97	5.49	33.61	3.37	298.99
lncRNA_6421	ptg000004l	6850677	6850883	+	207	2	0	0	4	20
lncRNA_6422	ptg000004l	6851923	6852351	+	429	6	0	22	4	86
lncRNA_6423	ptg000004l	6895568	6897174	+	1607	82	26	57	175	237
lncRNA_6424	ptg000004l	6938205	6938641	+	437	1.81	0	3	2.80	45.37
lncRNA_6425	ptg000004l	6939754	6940172	+	419	32	0	0	0	55
lncRNA_6426	ptg000004l	6943809	6944158	+	350	1	0	19	0	14
lncRNA_6427	ptg000004l	6947275	6947844	+	570	88.12	16.90	83.32	23.56	334.71
lncRNA_6428	ptg000004l	6948616	6949009	+	394	4	19	24	0	41
lncRNA_6429	ptg000004l	6953156	6953433	+	278	2	12	17	2	15
lncRNA_6430	ptg000004l	6975673	6976877	+	1205	33	11	44	10	110
lncRNA_6431	ptg000004l	7019011	7019421	+	411	0	0	9	0	45
lncRNA_6432	ptg000004l	7027109	7030086	+	2978	271	112.33	247.33	137	236
lncRNA_6433	ptg000004l	7111626	7111878	+	253	79.97	16.52	53.28	18.91	131.79
lncRNA_6434	ptg000004l	7123026	7124299	+	1274	25.42	0.83	162.67	19.50	542.62
lncRNA_6435	ptg000004l	7148227	7148538	+	312	81.84	18.85	54.29	19.81	130.27
lncRNA_6436	ptg000004l	7200737	7203682	+	2946	125.10	131.74	230.63	262.97	470.11
lncRNA_6437	ptg000004l	7223484	7223685	+	202	30.15	23.80	24.50	53.93	30.42
lncRNA_6438	ptg000004l	7224303	7224521	+	219	0	0	0	0	23
lncRNA_6439	ptg000004l	7245514	7245807	+	294	12	1	26	9	14
lncRNA_6440	ptg000004l	7247491	7248856	+	1366	138	2	134	4	254
lncRNA_6441	ptg000004l	7250453	7250936	+	484	0	0	26	2	36
lncRNA_6442	ptg000004l	7261282	7261574	+	293	0	3	0	11	24
lncRNA_6443	ptg000004l	7291521	7291902	+	382	0	0	0	0	48
lncRNA_6444	ptg000004l	7294082	7294588	+	507	0	0	23	1	76
lncRNA_6445	ptg000004l	7303874	7304497	+	624	3	0	52	3	123
lncRNA_6446	ptg000004l	7326420	7326632	+	213	1	0	0	0	22
lncRNA_6447	ptg000004l	7349084	7349344	+	261	31	0	34	4	0
lncRNA_6448	ptg000004l	7355423	7355721	+	299	0	0	0	0	19
lncRNA_6449	ptg000004l	7367971	7368966	+	996	1	0	16	6	122
lncRNA_6450	ptg000004l	7369429	7369980	+	552	76	10	81	14	274
lncRNA_6451	ptg000004l	7377279	7377970	+	692	41	0	72	3	174
lncRNA_6452	ptg000004l	7457217	7457535	+	319	31	0	16	0	6
lncRNA_6453	ptg000004l	7459617	7459861	+	245	8	0	2	0	18
lncRNA_6454	ptg000004l	7462014	7462675	+	662	27	0	27	24	92
lncRNA_6455	ptg000004l	7474284	7474739	+	456	7	0	20	0	54
lncRNA_6456	ptg000004l	7480982	7481519	+	538	150	0	133	13	149
lncRNA_6457	ptg000004l	7591336	7592346	+	1011	15	0	112	0	3
lncRNA_6458	ptg000004l	7601905	7602165	+	261	0	0	19	0	13
lncRNA_6459	ptg000004l	7602748	7603186	+	439	10	0	24	0	0
lncRNA_6460	ptg000004l	7605872	7606539	+	668	23	0	43	0	0
lncRNA_6461	ptg000004l	7622843	7623413	+	571	38	0	34	0	0
lncRNA_6462	ptg000004l	7624802	7625215	+	414	0	32	0	111.50	7
lncRNA_6463	ptg000004l	7634690	7636780	+	2091	195.32	40.73	21.09	67.20	133.52
lncRNA_6464	ptg000004l	7644751	7644954	+	204	5	0	10.50	0	0
lncRNA_6465	ptg000004l	7690987	7691328	+	342	12	0	28	0	0
lncRNA_6466	ptg000004l	7695389	7695677	+	289	4	0	18	0	0
lncRNA_6467	ptg000004l	7706325	7706561	+	237	0	0	13	0	0
lncRNA_6468	ptg000004l	7719367	7719754	+	388	25	0	30	0	0
lncRNA_6469	ptg000004l	7723601	7724026	+	426	71	0	2	0	0
lncRNA_6470	ptg000004l	7729552	7730139	+	588	39	4	30	6	0
lncRNA_6471	ptg000004l	7758793	7759015	+	223	25.83	16.83	1.60	31.70	2.14
lncRNA_6472	ptg000004l	7764109	7764536	+	428	0	0	29	0	3
lncRNA_6473	ptg000004l	7833203	7833697	+	495	18	0	64	6	35
lncRNA_6474	ptg000004l	7837794	7838433	+	640	5	0	47	5	2
lncRNA_6475	ptg000004l	7841646	7842187	+	542	63	0	78	9	1
lncRNA_6476	ptg000004l	7970721	7970957	+	237	3.50	11.50	1	1	16.64
lncRNA_6477	ptg000004l	7974689	7975818	+	1130	23	0	31	0	113
lncRNA_6478	ptg000004l	7978836	7980491	+	1656	27	7	16	7	387
lncRNA_6479	ptg000004l	8001845	8002071	+	227	0	0	14	0	0
lncRNA_6480	ptg000004l	8019651	8019949	+	299	34.86	42.23	30.00	29.27	2
lncRNA_6481	ptg000004l	8023412	8024042	+	631	28.93	2.80	24.92	33.30	80.24
lncRNA_6482	ptg000004l	8026658	8028095	+	1438	39.13	93.87	118.04	36.21	499.81
lncRNA_6483	ptg000004l	8039083	8039340	+	258	76	5	0	8	2
lncRNA_6484	ptg000004l	8040586	8040883	+	298	0	0	0	19	7
lncRNA_6485	ptg000004l	8084816	8085747	+	932	312.62	0.50	264.25	1.66	84.20
lncRNA_6486	ptg000004l	8194164	8198729	+	4566	22	16	237.50	840.67	708.00
lncRNA_6487	ptg000004l	8199030	8199789	+	760	2	0	134	224	202
lncRNA_6488	ptg000004l	8210309	8210516	+	208	21.60	0	0	0	0
lncRNA_6489	ptg000004l	8218161	8218516	+	356	27.45	4.23	5.74	50.50	17.33
lncRNA_6490	ptg000004l	8227137	8227394	+	258	22	0	11	0	9
lncRNA_6491	ptg000004l	8229552	8230108	+	557	19	13	33	0	74
lncRNA_6492	ptg000004l	8232267	8233002	+	736	10	7	35	0	83
lncRNA_6493	ptg000004l	8233263	8234911	+	1649	23	4	120	12	183
lncRNA_6494	ptg000004l	8703750	8704294	+	545	30	1	17.20	7.12	178.65
lncRNA_6495	ptg000004l	9667649	9667972	+	324	39.19	20.42	57.13	101.45	63.83
lncRNA_6496	ptg000004l	9749912	9750330	+	419	1.50	5.50	3.39	0	63.93
lncRNA_6497	ptg000004l	9891384	9891623	+	240	1	6.50	4	23.50	9.50
lncRNA_6498	ptg000004l	9894544	9894787	+	244	0.84	0.72	12.19	0.20	64.47
lncRNA_6499	ptg000004l	9896387	9896693	+	307	0.70	1	0.83	32.04	2
lncRNA_6500	ptg000004l	9897939	9898322	+	384	15.47	3.14	28.21	3.14	128.15
lncRNA_6501	ptg000004l	9933698	9934086	+	389	4	25	20	38	30
lncRNA_6502	ptg000004l	9948350	9948828	+	479	4	0	10	0	56
lncRNA_6503	ptg000004l	9963772	9964786	+	1015	32.50	9	24	1.53	206.83
lncRNA_6504	ptg000004l	9969691	9970403	+	713	24	8	6	14	109
lncRNA_6505	ptg000004l	10014898	10015458	+	561	3	40	0	22	2
lncRNA_6506	ptg000004l	10093411	10093867	+	457	157.50	1.80	9.00	6.50	9.58
lncRNA_6507	ptg000004l	10103095	10103625	+	531	91.32	107.58	69.57	23.95	123.02
lncRNA_6508	ptg000004l	10161847	10162121	+	275	5.65	21.03	12.00	20.89	6.51
lncRNA_6509	ptg000004l	10198839	10199198	+	360	6	0	2	10	35
lncRNA_6510	ptg000004l	10240581	10241181	+	601	48.83	15.50	14	0	143.50
lncRNA_6511	ptg000004l	10290712	10291022	+	311	14	0	0	0	35
lncRNA_6512	ptg000004l	10336301	10336570	+	270	198.29	7.73	2.31	198.46	10.69
lncRNA_6513	ptg000004l	10337683	10337915	+	233	0	1	0	0	19.50
lncRNA_6514	ptg000004l	10589558	10590504	+	947	26	32	50	43	151
lncRNA_6515	ptg000004l	10610577	10610899	+	323	0	30	28	0	11
lncRNA_6516	ptg000004l	10611799	10612315	+	517	0	6	34	3	0
lncRNA_6517	ptg000004l	10673080	10673477	+	398	0	12.75	23.50	73.50	43.50
lncRNA_6518	ptg000004l	10862058	10862328	+	271	26	0	3	0	23
lncRNA_6519	ptg000004l	10869194	10869892	+	699	17	0	3	0	81
lncRNA_6520	ptg000004l	10890709	10890998	+	290	17	0	0	0	45
lncRNA_6521	ptg000004l	10908207	10908472	+	266	0	0	13	0	12
lncRNA_6522	ptg000004l	10911151	10911452	+	302	8	0	2	0	26
lncRNA_6523	ptg000004l	10922806	10923025	+	220	0	0	16	0	10
lncRNA_6524	ptg000004l	10924798	10926296	+	1499	0	0	108.50	4	38.67
lncRNA_6525	ptg000004l	10936202	10936742	+	541	7	416.63	0.50	2	4
lncRNA_6526	ptg000004l	11058805	11059306	+	502	3.30	2.47	67.99	28.25	21.03
lncRNA_6527	ptg000004l	11122826	11123182	+	357	4	0	1	0	46.50
lncRNA_6528	ptg000004l	11138565	11139028	+	464	51.37	28.13	25.27	38.14	99.31
lncRNA_6529	ptg000004l	11146698	11147574	+	877	0	21	0	2	78
lncRNA_6530	ptg000004l	11161939	11162450	+	512	0	3	0	1	64
lncRNA_6531	ptg000004l	11176865	11177305	+	441	0	0	0	0	50
lncRNA_6532	ptg000004l	11191884	11193122	+	1239	0	0	0	5	80
lncRNA_6533	ptg000004l	11355902	11356216	+	315	55.54	21.48	2.12	38.90	14.87
lncRNA_6534	ptg000004l	11383991	11384356	+	366	37.10	13	29.95	0	24.10
lncRNA_6535	ptg000004l	11393918	11395305	+	1388	25.50	61.87	44.37	15.50	79.94
lncRNA_6536	ptg000004l	11457863	11458126	+	264	0	0	0	0.10	19
lncRNA_6537	ptg000004l	11508952	11509930	+	979	49	0	28	14.50	158.50
lncRNA_6538	ptg000004l	11567650	11568934	+	1285	925.83	867.00	4	1	4
lncRNA_6539	ptg000004l	11755512	11755893	+	382	2.08	11.10	20.98	7.31	135.98
lncRNA_6540	ptg000004l	12023521	12023779	+	259	9	6	42	3.50	107.15
lncRNA_6541	ptg000004l	12053174	12053533	+	360	6	0	6	0	32.87
lncRNA_6542	ptg000004l	12144943	12145501	+	559	0	0	13	3	85
lncRNA_6543	ptg000004l	12165667	12165907	+	241	4.93	12.08	7.27	25.42	3.89
lncRNA_6544	ptg000004l	12236912	12237433	+	522	3	13	36	8	36
lncRNA_6545	ptg000004l	12257536	12257899	+	364	32	56	12	10	14
lncRNA_6546	ptg000004l	12389572	12390332	+	761	17	16	50	24	140
lncRNA_6547	ptg000004l	12393334	12394183	+	850	22	0	49	0	64
lncRNA_6548	ptg000004l	12396020	12396364	+	345	3.80	1.70	20.45	0.25	4.07
lncRNA_6549	ptg000004l	12409987	12410603	+	617	6	6	33	0	121
lncRNA_6550	ptg000004l	12411801	12412021	+	221	0	0	0	0	16
lncRNA_6551	ptg000004l	12476806	12477491	+	686	26	0.97	19	1	69.54
lncRNA_6552	ptg000004l	12479638	12480001	+	364	0	0	44	12	12
lncRNA_6553	ptg000004l	12485374	12485712	+	339	0	0	12	0	31
lncRNA_6554	ptg000004l	12660200	12660518	+	319	4	0	19.75	3	0
lncRNA_6555	ptg000004l	12662150	12663154	+	1005	7	0	40	23	132
lncRNA_6556	ptg000004l	12796579	12797216	+	638	6.63	4.60	40.83	19.96	2.04
lncRNA_6557	ptg000004l	12813869	12814090	+	222	0	0	0	0	26
lncRNA_6558	ptg000004l	12822514	12822762	+	249	5	15.03	0.70	29.71	4.67
lncRNA_6559	ptg000004l	12828463	12828822	+	360	0.67	0	2.13	3.77	24.17
lncRNA_6560	ptg000004l	12831781	12832063	+	283	0	0	19	2	0
lncRNA_6561	ptg000004l	12833437	12833694	+	258	0	0	27	0	3
lncRNA_6562	ptg000004l	12842687	12846710	+	4024	130.33	349.25	119	362.25	39
lncRNA_6563	ptg000004l	12872956	12873175	+	220	0	0	24	7	0
lncRNA_6564	ptg000004l	12887815	12888077	+	263	0	3	17	8	0
lncRNA_6565	ptg000004l	12907921	12908448	+	528	15	0	19	0	41
lncRNA_6566	ptg000004l	12920073	12921017	+	945	0	0	56.50	2	29
lncRNA_6567	ptg000004l	12921846	12922512	+	667	13	0.50	21	0	83
lncRNA_6568	ptg000004l	12933056	12933463	+	408	3	0	0	0	37
lncRNA_6569	ptg000004l	13352361	13352848	+	488	4.12	1.11	0.70	0.50	57.51
lncRNA_6570	ptg000004l	13356401	13356718	+	318	2	0	7.50	1.50	43
lncRNA_6571	ptg000004l	13413236	13413590	+	355	0	0	11	0	58
lncRNA_6572	ptg000004l	13419102	13419507	+	406	128.67	0	80.48	0	3
lncRNA_6573	ptg000004l	13429103	13429312	+	210	0	0	2	0	16.80
lncRNA_6574	ptg000004l	13435566	13437124	+	1559	0	0	58	6	190
lncRNA_6575	ptg000004l	13441766	13443570	+	1805	92	0	130	7	428
lncRNA_6576	ptg000004l	13445652	13446195	+	544	147	2	77	6	192
lncRNA_6577	ptg000004l	13451485	13452596	+	1112	35.95	88.21	75.76	46.03	153.99
lncRNA_6578	ptg000004l	13615781	13616477	+	697	75.50	115.50	40	104.50	102
lncRNA_6579	ptg000004l	13637246	13637448	+	203	0	4	0	2	16
lncRNA_6580	ptg000004l	13640112	13640818	+	707	17	0	0	0	54
lncRNA_6581	ptg000004l	13644458	13644749	+	292	4	0	0	8	40
lncRNA_6582	ptg000004l	13681914	13682805	+	892	109	0	87	28	358
lncRNA_6583	ptg000004l	13692291	13692957	+	667	8	0	0	10	73
lncRNA_6584	ptg000004l	13741518	13741939	+	422	51	0	0	0	145
lncRNA_6585	ptg000004l	13763700	13763981	+	282	22	0	0	8	18
lncRNA_6586	ptg000004l	13769537	13770031	+	495	42	0	0	4	47
lncRNA_6587	ptg000004l	13779845	13780815	+	971	38.25	0	24	8.12	132
lncRNA_6588	ptg000004l	13787734	13788465	+	732	2.13	1.40	5.70	2.69	90.40
lncRNA_6589	ptg000004l	13790880	13791740	+	861	22.31	0	16.42	1.25	204.65
lncRNA_6590	ptg000004l	13826673	13827652	+	980	18	7	4	1.50	142
lncRNA_6591	ptg000004l	13830403	13830717	+	315	0	0	2	0	36
lncRNA_6592	ptg000004l	13832482	13833024	+	543	1.33	0	3.17	78.33	126.83
lncRNA_6593	ptg000004l	13833250	13835378	+	2129	24.00	0.33	19.17	425.17	455.00
lncRNA_6594	ptg000004l	13850017	13850904	+	888	16	0	8.83	123.83	189.00
lncRNA_6595	ptg000004l	13857401	13858320	+	920	9	0	5	0	67
lncRNA_6596	ptg000004l	13907628	13907896	+	269	0	0	0	0	43
lncRNA_6597	ptg000004l	13915308	13916748	+	1441	2	4	2	0	139
lncRNA_6598	ptg000004l	13921199	13921513	+	315	27.50	0	9	1	31.83
lncRNA_6599	ptg000004l	13922423	13922738	+	316	24	0	0	0	17
lncRNA_6600	ptg000004l	13925172	13925420	+	249	14.33	0.25	2.35	0.50	22.97
lncRNA_6601	ptg000004l	13927956	13929040	+	1085	9.50	35.50	25	8	82
lncRNA_6602	ptg000004l	13942672	13943597	+	926	62.70	6.85	11.79	0.25	174.10
lncRNA_6603	ptg000004l	13944801	13945261	+	461	3	0	0	0	123
lncRNA_6604	ptg000004l	13956221	13956605	+	385	17	2	30.50	1	13
lncRNA_6605	ptg000004l	13968391	13969916	+	1526	35.33	5	26.50	6.00	171.67
lncRNA_6606	ptg000004l	13981319	13982244	+	926	50	0	50	0	107
lncRNA_6607	ptg000004l	13994485	13994975	+	491	82.83	1.33	3.00	8.50	54.28
lncRNA_6608	ptg000004l	14000258	14000484	+	227	0	0	18	6	0
lncRNA_6609	ptg000004l	14001198	14002017	+	820	8	0	8	18	56
lncRNA_6610	ptg000004l	14036511	14037261	+	751	36.63	1.32	25.01	48.48	263.30
lncRNA_6611	ptg000004l	14081608	14081973	+	366	35.16	1.98	40.35	0	92.21
lncRNA_6612	ptg000004l	14084093	14084679	+	587	0	4.20	43.60	0	0.33
lncRNA_6613	ptg000004l	14090480	14091203	+	724	8	0	0	0	91
lncRNA_6614	ptg000004l	14094988	14095819	+	832	12.50	1.50	0	0	135.00
lncRNA_6615	ptg000004l	14104963	14105167	+	205	0	6	0	17	0
lncRNA_6616	ptg000004l	14113302	14113926	+	625	8.20	0.20	20	8	113.40
lncRNA_6617	ptg000004l	14114495	14115714	+	1220	20.64	3.93	0.98	1.55	94.39
lncRNA_6618	ptg000004l	14123742	14124085	+	344	0	0	20	6	0
lncRNA_6619	ptg000004l	14138491	14138822	+	332	2	0	16	0	0
lncRNA_6620	ptg000004l	14180266	14181050	+	785	18.27	2.12	13.48	19.32	73.68
lncRNA_6621	ptg000004l	14198479	14198683	+	205	0	0	0	18	0
lncRNA_6622	ptg000004l	14273854	14274534	+	681	15	0	12	2	211
lncRNA_6623	ptg000004l	14282246	14282482	+	237	0	0	0	0	16
lncRNA_6624	ptg000004l	14286019	14286295	+	277	1.80	22.80	0	0.80	0
lncRNA_6625	ptg000004l	14293821	14294095	+	275	0	0	0	0	18
lncRNA_6626	ptg000004l	14325289	14325677	+	389	15.79	44.93	0.40	0	19.53
lncRNA_6627	ptg000004l	14451279	14451833	+	555	0	44	0	0	0
lncRNA_6628	ptg000004l	14470732	14471096	+	365	56.50	24.50	39.50	11	197
lncRNA_6629	ptg000004l	14494081	14494673	+	593	8	0	0	0	50
lncRNA_6630	ptg000004l	14525511	14526374	+	864	30	2	67.50	7	181
lncRNA_6631	ptg000004l	14534465	14534667	+	203	18	12	10	0	0
lncRNA_6632	ptg000004l	14547651	14548486	+	836	18.40	2.30	0	0.10	103
lncRNA_6633	ptg000004l	14550218	14550841	+	624	9.81	0	0.30	1.94	73.00
lncRNA_6634	ptg000004l	14575751	14576725	+	975	110.50	2	105.50	10	256
lncRNA_6635	ptg000004l	14586727	14586956	+	230	0	0	0	4	15
lncRNA_6636	ptg000004l	14619015	14619641	+	627	44.73	0	37.10	23.10	173.70
lncRNA_6637	ptg000004l	14628315	14628556	+	242	0	0	15.50	0	8
lncRNA_6638	ptg000004l	14632207	14633083	+	877	20.58	2	33.50	0	157.08
lncRNA_6639	ptg000004l	14639648	14640103	+	456	8.10	0	7	0	42
lncRNA_6640	ptg000004l	14647386	14647997	+	612	28.73	0.50	16.50	0	94.50
lncRNA_6641	ptg000004l	14654010	14654568	+	559	231.03	7.50	0.50	0	396.67
lncRNA_6642	ptg000004l	14666813	14667612	+	800	2.59	0	1.97	0	56.79
lncRNA_6643	ptg000004l	14672145	14672625	+	481	1.12	0	0.40	0.30	55.91
lncRNA_6644	ptg000004l	14681683	14682464	+	782	2.00	1.00	3.53	0	59.50
lncRNA_6645	ptg000004l	14683404	14684207	+	804	13.25	0	3.10	0.20	56.00
lncRNA_6646	ptg000004l	14684652	14685149	+	498	13.50	0	3.50	0.20	59.25
lncRNA_6647	ptg000004l	14686878	14687258	+	381	38.10	6	0.40	0	112.66
lncRNA_6648	ptg000004l	14693403	14693894	+	492	58.50	1	75.75	2	135.50
lncRNA_6649	ptg000004l	14697792	14698495	+	704	12.60	4	41	0	76.33
lncRNA_6650	ptg000004l	14702703	14703352	+	650	10	0	0.40	0	55.21
lncRNA_6651	ptg000004l	14711267	14711608	+	342	2	0	16	2.00	47
lncRNA_6652	ptg000004l	14714517	14715671	+	1155	29.20	1	12.25	0	108.33
lncRNA_6653	ptg000004l	14716877	14717166	+	290	22.70	1.50	5.50	4	2.00
lncRNA_6654	ptg000004l	14724710	14725005	+	296	32	0	6	0	57.12
lncRNA_6655	ptg000004l	14726047	14726528	+	482	21	0	1	0	63.50
lncRNA_6656	ptg000004l	15028415	15028978	+	564	15.16	7.92	31.97	11.46	249.24
lncRNA_6657	ptg000004l	15199915	15201090	+	1176	88.00	2	40.09	2.80	311.64
lncRNA_6658	ptg000004l	15225213	15227810	+	2598	104.99	3.50	17.12	0.40	275.64
lncRNA_6659	ptg000004l	15241695	15241895	+	201	17.88	0	0.50	0.50	16.33
lncRNA_6660	ptg000004l	15252704	15253155	+	452	13.54	0.70	4.22	0.71	34.50
lncRNA_6661	ptg000004l	15253996	15255016	+	1021	19.10	1.50	18.73	2.17	121.12
lncRNA_6662	ptg000004l	15257937	15258155	+	219	4.80	0	1.79	1.10	17.67
lncRNA_6663	ptg000004l	15287450	15288033	+	584	17.33	0	7.22	1	42.10
lncRNA_6664	ptg000004l	15293967	15294499	+	533	11.20	4.00	1.50	2	41.84
lncRNA_6665	ptg000004l	15305442	15305648	+	207	0	0	18	0	0
lncRNA_6666	ptg000004l	15309183	15309469	+	287	16	0	0	0	48.10
lncRNA_6667	ptg000004l	15309875	15310284	+	410	9.40	0	1.12	0	44.29
lncRNA_6668	ptg000004l	15310925	15311140	+	216	0.20	2	0	0.77	16.05
lncRNA_6669	ptg000004l	15377362	15377632	+	271	12	0.30	0	4	35
lncRNA_6670	ptg000004l	15379095	15380012	+	918	2.83	0	1	0.17	69.74
lncRNA_6671	ptg000004l	15391586	15392492	+	907	58.89	0.33	44.93	13.88	121.65
lncRNA_6672	ptg000004l	15426978	15427808	+	831	3.25	4	0	1	107.76
lncRNA_6673	ptg000004l	15445400	15446447	+	1048	199.60	4.12	8.33	3.10	726.63
lncRNA_6674	ptg000004l	15451752	15453491	+	1740	29.69	3.40	7.94	0.33	139.11
lncRNA_6675	ptg000005l	578286	578855	+	570	0	0	26	1	0
lncRNA_6676	ptg000005l	285977	286437	+	461	48	0	11.25	0	26
lncRNA_6677	ptg000005l	1243359	1245125	+	1767	70	0	0	59.50	0
lncRNA_6678	ptg000005l	1253549	1255258	+	1710	55.33	10.67	1	55.00	0
lncRNA_6679	ptg000005l	1255747	1256460	+	714	9.50	0	1	29.33	0
lncRNA_6680	ptg000005l	1307669	1325488	+	17820	999.30	396.82	330.40	383.39	447.55
lncRNA_6681	ptg000005l	103283	103521	+	239	3.80	0	0	9.97	21.39
lncRNA_6682	ptg000005l	171629	173131	+	1503	40.83	26.18	20.25	131.29	286.88
lncRNA_6683	ptg000005l	173372	173821	+	450	8.00	4.83	9.33	33.08	20.67
lncRNA_6684	ptg000005l	287939	288198	+	260	2	46.92	78.08	8.20	7.33
lncRNA_6685	ptg000005l	314762	314984	+	223	0	14	4.67	451.83	18.50
lncRNA_6686	ptg000005l	322737	322957	+	221	0	0	19	2	1.47
lncRNA_6687	ptg000005l	422467	422731	+	265	153.17	38	52	109.00	33
lncRNA_6688	ptg000005l	423504	424174	+	671	122.17	20.00	34.83	163.83	48
lncRNA_6689	ptg000005l	425058	425833	+	776	268.75	91.00	125.50	383.50	117.12
lncRNA_6690	ptg000005l	426162	427404	+	1243	276	72	59.50	182.50	322
lncRNA_6691	ptg000005l	429308	429623	+	316	14	0	14	21.64	41.67
lncRNA_6692	ptg000005l	432771	433001	+	231	11	8	4	18	21
lncRNA_6693	ptg000005l	443463	443805	+	343	28.75	0.96	0.71	10.60	2.87
lncRNA_6694	ptg000005l	454654	454945	+	292	15.08	72.28	10.58	29.92	15.54
lncRNA_6695	ptg000005l	456040	456614	+	575	29	40	2.67	186.83	7.50
lncRNA_6696	ptg000005l	458929	459406	+	478	57	0	20	4	34
lncRNA_6697	ptg000005l	497078	497308	+	231	20.80	0.67	0	22.40	5.00
lncRNA_6698	ptg000005l	538172	538383	+	212	7	0	0	0	13
lncRNA_6699	ptg000005l	572986	573280	+	295	1	0	2	0	44
lncRNA_6700	ptg000005l	633971	634262	+	292	0	0	3	20	1
lncRNA_6701	ptg000005l	857020	857500	+	481	45	1	16	16.17	80.50
lncRNA_6702	ptg000005l	897925	898174	+	250	0	4	19	14.50	0
lncRNA_6703	ptg000005l	902019	902590	+	572	0	0	2.00	0	44.00
lncRNA_6704	ptg000005l	905225	905837	+	613	47	0	0	9	43
lncRNA_6705	ptg000005l	923249	923858	+	610	76.91	28.78	28.33	40.55	39.58
lncRNA_6706	ptg000005l	1215417	1215953	+	537	156.39	9.35	198.60	4.87	574.72
lncRNA_6707	ptg000005l	1291276	1291527	+	252	68	0	18	12	15.75
lncRNA_6708	ptg000006l	134380	135846	+	1467	24.06	2.68	11.11	11.98	58.13
lncRNA_6709	ptg000006l	136186	137847	+	1662	20.01	14.48	6.27	3.62	40.96
lncRNA_6710	ptg000006l	225813	227342	+	1530	29.73	1.25	34.34	0	26.94
lncRNA_6711	ptg000006l	302080	307530	+	5451	14.24	0	15.75	0	47.01
lncRNA_6712	ptg000006l	318491	329234	+	10744	42.35	1.07	53.45	6	66.37
lncRNA_6713	ptg000006l	524976	525222	+	247	5.85	1.60	13.11	0.32	19.89
lncRNA_6714	ptg000006l	614515	616874	+	2360	8.01	0	44.92	0	77.83
