# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "24" "-M" "-O" "--fraction" "-a" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/output/01.6-Apul-lncRNA-pipeline/Apul-lncRNA.gtf" "-o" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/output/01.6-lncRNA-pipeline/Apul-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-140.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-145.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-150.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-173.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-178.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-140.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-145.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-150.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-173.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-178.sorted.bam
lncRNA_024	ntLink_4	50937	67599	+	16663	242.65	32.09	400.33	52.35	3290.24
lncRNA_025	ntLink_4	173140	173841	+	702	15.20	3.20	63.51	10.80	188.20
lncRNA_026	ntLink_4	197591	202114	+	4524	225.53	23.74	103.06	24.15	1998.93
lncRNA_027	ntLink_4	197592	202114	+	4523	225.53	23.74	103.06	24.15	1998.83
lncRNA_028	ntLink_4	205712	220348	+	14637	229.91	25.87	182.06	26.03	1000.18
lncRNA_029	ntLink_4	205712	224414	+	18703	261.08	28.77	259.73	33.78	1143.20
lncRNA_030	ntLink_4	209761	214373	+	4613	101.29	6.30	47.78	6.21	300.38
lncRNA_031	ntLink_4	209761	217244	+	7484	112.72	7.50	76.27	8.51	356.15
lncRNA_032	ntLink_4	209775	220348	+	10574	119.91	8.45	123.36	14.61	409.21
lncRNA_033	ntLink_4	209807	214373	+	4567	101.29	6.30	47.69	6.21	300.34
lncRNA_034	ntLink_4	231799	292418	+	60620	133.31	13.10	397.34	42.33	798.21
lncRNA_035	ntLink_4	234879	284021	+	49143	97.86	9.65	255.32	29.87	526.87
lncRNA_036	ntLink_4	234879	288447	+	53569	110.52	10.61	300.26	34.88	605.94
lncRNA_037	ntLink_4	234879	292418	+	57540	125.28	12.20	353.00	39.53	763.39
lncRNA_038	ntLink_4	78823	83718	+	4896	259.27	23.71	175.93	23.95	953.57
lncRNA_039	ntLink_4	279832	284551	+	4720	13.33	1.13	44.81	5.78	133.03
lncRNA_040	ntLink_4	283892	288383	+	4492	16.35	2.17	75.80	8.88	162.06
lncRNA_041	ntLink_4	287958	292449	+	4492	24.07	2.79	107.78	10.63	286.83
lncRNA_042	ntLink_4	293008	301486	+	8479	62.48	6.07	186.33	16.34	427.97
lncRNA_043	ntLink_4	296092	300581	+	4490	41.08	4.77	140.35	14.74	366.89
lncRNA_044	ntLink_4	138410	138915	+	506	13.40	4.00	60.29	10.50	159.77
lncRNA_045	ntLink_4	154801	155224	+	424	132.17	1.20	23.15	0.30	36.90
lncRNA_046	ntLink_6	165288	166854	+	1567	91.87	35.70	91	138	233.10
lncRNA_047	ntLink_6	191352	193228	+	1877	1801	2012.50	1049	1309.50	1298.50
lncRNA_048	ntLink_6	191353	193228	+	1876	1801	2012.50	1049	1309.50	1298.50
lncRNA_049	ntLink_6	887024	888774	+	1751	48	6	75	14	226.50
lncRNA_050	ntLink_6	927634	941396	+	13763	4313.02	5114.88	1981.04	6184.84	3789.20
lncRNA_051	ntLink_6	1001965	1008241	+	6277	1492	986	1120	1305	1220
lncRNA_052	ntLink_6	1014945	1021328	+	6384	149.40	167.73	176.86	65.64	211.17
lncRNA_053	ntLink_6	1169356	1171465	+	2110	99.00	0	0	89.85	0
lncRNA_054	ntLink_6	1238382	1240516	+	2135	38	1	20.33	119.55	134.43
lncRNA_055	ntLink_6	1298281	1299686	+	1406	51	113.00	503.00	131.00	135.00
lncRNA_056	ntLink_6	1556697	1558178	+	1482	1783	1421	736	2000	1615
lncRNA_057	ntLink_6	1731339	1743427	+	12089	188.60	69.52	103.32	138.07	583.05
lncRNA_058	ntLink_6	1760035	1761189	+	1155	104	13	67	274	53
lncRNA_059	ntLink_6	1761499	1763251	+	1753	170.17	31.50	126.50	421.00	44.50
lncRNA_060	ntLink_6	1807662	1813376	+	5715	431.27	281.27	162.33	283.55	535.76
lncRNA_061	ntLink_6	1810184	1813376	+	3193	375.27	185.57	112.33	184.90	309.36
lncRNA_062	ntLink_6	2322048	2324010	+	1963	241	68	107	148	91.50
lncRNA_063	ntLink_6	2344447	2346508	+	2062	84.50	143	37.50	86.50	67.50
lncRNA_064	ntLink_6	2344447	2348350	+	3904	276.50	302	136.50	162.50	200.50
lncRNA_065	ntLink_6	3021294	3023864	+	2571	5574	6622	3863	3351	3176
lncRNA_066	ntLink_6	3104605	3127014	+	22410	180.83	81.75	297.76	109.29	1258.00
lncRNA_067	ntLink_6	3153310	3161270	+	7961	900.92	1191.80	994.29	1366.67	491.86
lncRNA_068	ntLink_6	3153310	3161270	+	7961	900.92	1191.80	994.29	1366.67	491.86
lncRNA_069	ntLink_6	3154320	3161270	+	6951	886.42	1169.80	965.79	1340.57	456.36
lncRNA_070	ntLink_6	3159118	3161270	+	2153	505.26	546.99	362.88	688.05	250.55
lncRNA_071	ntLink_6	3303635	3308522	+	4888	156	194	339	435	957.10
lncRNA_072	ntLink_6	3333659	3335439	+	1781	210	61	52	208	117
lncRNA_073	ntLink_6	3403792	3405295	+	1504	60	54	53	58	72
lncRNA_074	ntLink_6	3723575	3725631	+	2057	848	518	360	543	458
lncRNA_075	ntLink_6	3728362	3729877	+	1516	89	56	56	99	115.50
lncRNA_076	ntLink_6	3732721	3736180	+	3460	1214	1070	674	834	933
lncRNA_077	ntLink_6	3902456	3904097	+	1642	302	234	397	889	334
lncRNA_078	ntLink_6	4200605	4200879	+	275	1	6	20	5	3
lncRNA_079	ntLink_6	4643942	4695273	+	51332	426.01	276.22	400.62	1271.05	868.20
lncRNA_080	ntLink_6	4644236	4695273	+	51038	426.01	276.22	395.62	1270.05	868.20
lncRNA_081	ntLink_6	4774294	4776062	+	1769	1438	1183	590.50	89.33	1126.43
lncRNA_082	ntLink_6	4876497	4879026	+	2530	82	2.50	1.50	0	2.33
lncRNA_083	ntLink_6	4934724	4936246	+	1523	272	420.50	505.50	774.50	554.50
lncRNA_084	ntLink_6	4935133	4936246	+	1114	272	420.50	472.50	774.50	554.50
lncRNA_085	ntLink_6	4940807	4943404	+	2598	272.17	188.39	290.86	716.55	652.42
lncRNA_086	ntLink_6	4983266	4986098	+	2833	38	4	32	38	24
lncRNA_087	ntLink_6	5056296	5057086	+	791	618	377	293	471	446
lncRNA_088	ntLink_6	5264579	5268941	+	4363	91	87	123	26	166.61
lncRNA_089	ntLink_6	5512045	5516297	+	4253	131.80	84.87	42.74	98.52	83.67
lncRNA_090	ntLink_6	5539145	5539663	+	519	121.33	1.33	27.00	8.00	59.00
lncRNA_091	ntLink_6	5544081	5548619	+	4539	380.10	783.57	204.34	278.84	443.59
lncRNA_092	ntLink_6	5544118	5548619	+	4502	380.10	783.57	204.34	278.84	443.59
lncRNA_093	ntLink_6	5946509	5949059	+	2551	2332.67	1841	1080	1475	2121
lncRNA_094	ntLink_6	6012591	6015271	+	2681	6373	6686	4053	3414	2286
lncRNA_095	ntLink_6	6082989	6085635	+	2647	544.55	233.35	303.95	250.33	6.92
lncRNA_096	ntLink_6	6095080	6098561	+	3482	5900	5298	3117	5086.50	1938
lncRNA_097	ntLink_6	6118657	6120984	+	2328	3119	3293	1774	1999.50	629
lncRNA_098	ntLink_6	6139204	6139693	+	490	52.67	3	58.00	3.40	37.47
lncRNA_099	ntLink_6	6259250	6276061	+	16812	8.98	16.12	7.72	48.98	84.58
lncRNA_100	ntLink_6	6261771	6278023	+	16253	14.98	17.12	5.72	48.18	84.58
lncRNA_101	ntLink_6	6296499	6324890	+	28392	1082.20	846.53	420.45	839.99	1414.77
lncRNA_102	ntLink_6	6401129	6401909	+	781	11.45	16.36	18.33	38.88	35.63
lncRNA_103	ntLink_6	6405654	6415929	+	10276	376.99	194.17	320.82	448.05	648.86
lncRNA_104	ntLink_6	6407319	6415929	+	8611	297.50	180.25	243.02	414.10	534.95
lncRNA_105	ntLink_6	6976270	6985119	+	8850	14222.00	15562	11593	17162.00	18720
lncRNA_106	ntLink_6	7051258	7060082	+	8825	848.14	499.42	294.39	688.94	220.78
lncRNA_107	ntLink_6	7084724	7086726	+	2003	3310.50	3363	1836	2037.50	1613
lncRNA_108	ntLink_6	7095666	7097165	+	1500	43	19	27	0	28
lncRNA_109	ntLink_6	7121592	7126840	+	5249	32371.00	43138.60	28130.50	35791.58	25102.50
lncRNA_110	ntLink_6	7160481	7162069	+	1589	125.58	25.93	89.33	156.25	79.08
lncRNA_111	ntLink_6	7183060	7184097	+	1038	436	230	383	978	1200
lncRNA_112	ntLink_6	7352372	7354751	+	2380	46	36	172	139	138
lncRNA_113	ntLink_6	7404645	7406757	+	2113	7	355.35	56.13	45.50	111.17
lncRNA_114	ntLink_6	7432118	7432653	+	536	89	91	10	131.50	39.20
lncRNA_115	ntLink_6	7465724	7467150	+	1427	242.00	182.08	61.83	571.25	119.67
lncRNA_116	ntLink_6	7465724	7467150	+	1427	242.00	182.08	61.83	571.25	119.67
lncRNA_117	ntLink_6	7490732	7509930	+	19199	785.38	237.00	644.57	709.95	643.22
lncRNA_118	ntLink_6	7490784	7509930	+	19147	785.38	237.00	644.57	709.95	631.22
lncRNA_119	ntLink_6	7491249	7493377	+	2129	77.00	31.67	80.00	73.33	118.33
lncRNA_120	ntLink_6	7531737	7551215	+	19479	512.63	361.26	307.50	513.06	350.57
lncRNA_121	ntLink_6	7534721	7551215	+	16495	452.63	295.26	236.50	455.56	264.07
lncRNA_122	ntLink_6	7543813	7551215	+	7403	294.60	181.37	171.70	301.73	172.65
lncRNA_123	ntLink_6	7543970	7551215	+	7246	294.60	181.37	171.70	301.73	170.65
lncRNA_124	ntLink_6	7544216	7551215	+	7000	290.20	180.57	170.30	300.93	162.85
lncRNA_125	ntLink_6	7548693	7551215	+	2523	281.88	173.61	163.54	294.43	151.81
lncRNA_126	ntLink_6	7548693	7551215	+	2523	281.88	173.61	163.54	294.43	151.81
lncRNA_127	ntLink_6	7982428	7985761	+	3334	168.00	156.83	139.79	78.00	136.50
lncRNA_128	ntLink_6	7958933	7960033	+	1101	29	38.83	9	48.50	43.50
lncRNA_129	ntLink_6	7985981	7989110	+	3130	3386.22	6992.42	1742.78	1908.09	980.14
lncRNA_130	ntLink_6	7994841	7998012	+	3172	419.41	765.60	1461.93	313.82	224.13
lncRNA_131	ntLink_6	8000055	8009818	+	9764	2073.81	2785.44	957.74	1382.33	1225.17
lncRNA_132	ntLink_6	8000055	8009818	+	9764	2073.81	2785.44	957.74	1382.33	1225.17
lncRNA_133	ntLink_6	8000055	8009818	+	9764	2073.81	2785.44	957.74	1382.33	1225.17
lncRNA_134	ntLink_6	8003503	8009818	+	6316	1818.38	2755.78	881.58	1334.99	1195.83
lncRNA_135	ntLink_6	8094359	8095011	+	653	724.50	608.00	474.00	266.67	764.50
lncRNA_136	ntLink_6	8098091	8098434	+	344	14	18	11	23.00	2
lncRNA_137	ntLink_6	8500544	8501080	+	537	67.88	1.67	120.26	27.88	352.31
lncRNA_138	ntLink_6	8611530	8612434	+	905	11.12	3.60	26.19	1.50	104.49
lncRNA_139	ntLink_6	8849749	8907898	+	58150	7701.06	817.20	2873.97	12489.83	706.90
lncRNA_140	ntLink_6	8861091	8886766	+	25676	134.17	136.00	1135.67	2095	192.17
lncRNA_141	ntLink_6	8926294	8927205	+	912	5	0	15	22	0
lncRNA_142	ntLink_6	8959738	8961696	+	1959	425.98	150.93	22.48	48.92	1048.49
lncRNA_143	ntLink_6	9216475	9218591	+	2117	728.50	691	470.50	531.50	767
lncRNA_144	ntLink_6	9216490	9218591	+	2102	728.50	691	470.50	531.50	767
lncRNA_145	ntLink_6	9484842	9488677	+	3836	475	564	405	757	345
lncRNA_146	ntLink_6	9521333	9521586	+	254	20	4	21	10	5
lncRNA_147	ntLink_6	9559780	9563720	+	3941	81.83	35.61	42.00	53.60	94.84
lncRNA_148	ntLink_6	9559786	9569239	+	9454	512.82	355.32	485.57	588.33	655.41
lncRNA_149	ntLink_6	9559993	9569239	+	9247	511.32	355.32	485.57	588.33	651.41
lncRNA_150	ntLink_6	9559993	9569239	+	9247	511.32	355.32	485.57	588.33	651.41
lncRNA_151	ntLink_6	9559995	9569239	+	9245	511.32	355.32	485.57	588.33	651.41
lncRNA_152	ntLink_6	9559995	9569239	+	9245	511.32	355.32	485.57	588.33	651.41
lncRNA_153	ntLink_6	9560006	9563720	+	3715	80.08	35.61	42.00	53.47	90.65
lncRNA_154	ntLink_6	9560006	9569239	+	9234	511.32	355.32	485.57	588.33	651.41
